alder,asfr_2023,asfr_2023_norm
15,0.031333228889237036,2.221033076980429e-05
16,0.21805494984736157,0.00015456666081951678
17,0.6983018568481194,0.0004949861781749781
18,1.6469768473062427,0.0011674475260175403
19,4.739035017970166,0.0033592304084229915
20,7.77859920928289,0.0055138033164292225
21,13.422818791946309,0.009514667201587971
22,20.19587566153659,0.014315699164430738
23,27.985976789168276,0.019837655531792474
24,39.353794509051674,0.027895650211561356
25,51.95182965850253,0.03682567554371083
26,69.0407586650628,0.04893903823222015
27,79.53786191536749,0.056379833310768214
28,96.96303421739728,0.0687315396068868
29,106.88219711304536,0.07576266588023392
30,115.69480553934312,0.08200941908861684
31,116.1790240236349,0.08235265382956841
32,113.92308668612768,0.0807535491015141
33,105.50541284167758,0.07478674239102576
34,95.02344498847181,0.06735667592832152
35,83.46924043525921,0.05916656230115619
36,66.16226219960264,0.046898637006940004
37,56.16703539823009,0.0398135933887908
38,42.54072751617942,0.030154684429826304
39,32.06310473001731,0.0227276979362053
40,21.98451794510908,0.015583565201711341
41,15.261503286653328,0.010818005295249336
42,10.630112000911968,0.007535077361319142
43,6.885976333072938,0.004881074100956407
44,3.592709428671574,0.0025466658751533877
45,2.118138424821002,0.0015014269738305359
46,1.6748450033790732,0.00118720166519388
47,0.8244023083264633,0.0005843715634940675
48,0.3825136612021858,0.0002711420188867829
49,0.220902940770399,0.0001565854384135422
