pop_1.6,pop_1.8,pop_2.1,pop_2.3,år,pop_1.4
5490887,6179449,7435691,8410703,2123,4906541
5472442,6167792,7439752,8429497,2124,4883693
5453791,6155868,7443431,8447916,2125,4860733
5434975,6143688,7446843,8466184,2126,4837675
5415989,6131286,7450034,8484358,2127,4814533
5396877,6118706,7453089,8502596,2128,4791339
5377666,6106043,7456139,8521023,2129,4768087
5358403,6093347,7459222,8539715,2130,4744804
5339108,6080636,7462426,8558791,2131,4721524
5319799,6067924,7465860,8578293,2132,4698236
5300455,6055190,7469433,8598265,2133,4674948
5281088,6042434,7473187,8618735,2134,4651671
5261715,6029696,7477094,8639617,2135,4628397
5242308,6016937,7481119,8660825,2136,4605123
5222850,6004153,7485243,8682309,2137,4581858
5203358,5991295,7489350,8703911,2138,4558602
5183823,5978313,7493407,8725539,2139,4535329
5164208,5965206,7497341,8747088,2140,4512043
5144508,5951953,7501080,8768422,2141,4488745
5124698,5938545,7504553,8789448,2142,4465431
5104783,5924940,7507700,8810095,2143,4442094
5084749,5911112,7510445,8830315,2144,4418731
