aldersgruppe,asfr_2017,asfr_2018,asfr_2019,asfr_2020,asfr_2021,asfr_2022,asfr_2023
15-19 år,0.00910597736449442,0.008048825142506343,0.007294974586342205,0.005563965739636745,0.0054115069304572425,0.0049106249568739175,0.005143646457785723
20-24 år,0.10602313150524764,0.10308643649578102,0.09302717530873658,0.08554252022721721,0.07723133431458365,0.07592430510887695,0.07775723752016296
25-29 år,0.31641094532244884,0.30902817949428135,0.30309753924138966,0.3015326077244813,0.30001000215469575,0.2997255227365471,0.287111821720712
30-34 år,0.3566159077393619,0.3668638396430721,0.3706307467350483,0.375560719065057,0.386274643579452,0.3805013166658294,0.38565639647780936
35-39 år,0.17442092950286764,0.17576278937305304,0.18463624191190414,0.18965604736987227,0.1894049852235496,0.19419938898231098,0.199257404719459
40-44 år,0.03521447528447084,0.0346940346639492,0.038556115345388706,0.0396647881457112,0.03927088121027146,0.04174571282438064,0.04147391506430557
45-49 år,0.0022086332811086557,0.0025158951873568494,0.0027572068711903056,0.002479351728024261,0.002396646586990233,0.0029931287251809932,0.003599578039765623
