alder,befolkning,fodte,asfr,asfr_norm
15-19 år,158536,231,1.457082303073119,0.005143646457785723
20-24 år,162029,3569,22.026921106715466,0.07775723752016296
25-29 år,179424,14593,81.3324861779918,0.287111821720712
30-34 år,193166,21103,109.24800430717622,0.38565639647780936
35-39 år,181397,10239,56.44525543421336,0.199257404719459
40-44 år,174403,2049,11.74865111265288,0.04147391506430557
45-49 år,175545,179,1.0196815631319605,0.003599578039765623
