år,pop_1.66
2023,5488984
2024,5495356
2025,5501882
2026,5508749
2027,5515554
2028,5522497
2029,5529515
2030,5536478
2031,5543531
2032,5550671
2033,5557952
2034,5565382
2035,5572860
2036,5580660
2037,5588679
2038,5596565
2039,5604104
2040,5611201
2041,5617867
2042,5624279
2043,5630257
2044,5635620
2045,5640326
2046,5644306
2047,5647701
2048,5650348
2049,5652089
2050,5653139
2051,5653208
2052,5650737
2053,5645718
2054,5638496
2055,5628683
2056,5616300
2057,5601508
2058,5584538
2059,5565502
2060,5544350
2061,5521414
2062,5497283
2063,5472032
2064,5445665
2065,5419138
2066,5392246
2067,5365488
2068,5339200
2069,5313395
2070,5287473
2071,5261151
2072,5234217
2073,5206880
