sex,alder,pop_2023,pop_2024,pop_2025,pop_2026,pop_2027,pop_2028,pop_2029,pop_2030,pop_2031,pop_2032,pop_2033,pop_2034,pop_2035,pop_2036,pop_2037,pop_2038,pop_2039,pop_2040,pop_2041,pop_2042,pop_2043,pop_2044,pop_2045,pop_2046,pop_2047,pop_2048,pop_2049,pop_2050,pop_2051,pop_2052,pop_2053,pop_2054,pop_2055,pop_2056,pop_2057,pop_2058,pop_2059,pop_2060,pop_2061,pop_2062,pop_2063,pop_2064,pop_2065,pop_2066,pop_2067,pop_2068,pop_2069,pop_2070,pop_2071,pop_2072,pop_2073,pop_2074,pop_2075,pop_2076,pop_2077,pop_2078,pop_2079,pop_2080,pop_2081,pop_2082,pop_2083,pop_2084,pop_2085,pop_2086,pop_2087,pop_2088,pop_2089,pop_2090,pop_2091,pop_2092,pop_2093,pop_2094,pop_2095,pop_2096,pop_2097,pop_2098,pop_2099,pop_2100,pop_2101,pop_2102,pop_2103,pop_2104,pop_2105,pop_2106,pop_2107,pop_2108,pop_2109,pop_2110,pop_2111,pop_2112,pop_2113,pop_2114,pop_2115,pop_2116,pop_2117,pop_2118,pop_2119,pop_2120,pop_2121,pop_2122,pop_2123
K,10,31377.0,30586.0,30156.0,29845.0,29592.0,28422.0,27519.0,27279.0,26586.0,27794.0,25055.0,25174.0,24119.0,23480.0,23024.0,22283.0,21651.0,21009.0,20265.0,19813.0,19228.0,18287.0,18447.0,17591.0,17175.0,16907.0,16863.0,16930.0,16814.0,16677.0,16309.0,16357.0,16103.0,15916.0,15704.0,15545.0,14964.0,14632.0,14541.0,14239.0,13751.0,13592.0,13298.0,12899.0,12544.0,12319.0,11800.0,11467.0,11249.0,10947.0,10749.0,10446.0,10180.0,9922.0,9638.0,9492.0,9307.0,9178.0,9102.0,9017.0,8805.0,8665.0,8645.0,8570.0,8320.0,8246.0,8074.0,8029.0,7793.0,7636.0,7569.0,7383.0,7011.0,7008.0,6999.0,6653.0,6548.0,6316.0,6142.0,6105.0,5959.0,5675.0,5595.0,5476.0,5267.0,5344.0,5162.0,5049.0,4862.0,4958.0,4864.0,4749.0,4551.0,4589.0,4492.0,4485.0,4430.0,4173.0,4148.0,4083.0,4018.0
K,11,31526.0,31341.0,30557.0,30127.0,29816.0,29562.0,28393.0,27505.0,27258.0,26548.0,27769.0,25025.0,25145.0,24098.0,23456.0,23001.0,22251.0,21635.0,20990.0,20246.0,19785.0,19207.0,18256.0,18420.0,17577.0,17168.0,16889.0,16842.0,16918.0,16803.0,16649.0,16299.0,16342.0,16086.0,15903.0,15686.0,15536.0,14947.0,14625.0,14529.0,14222.0,13742.0,13584.0,13283.0,12886.0,12532.0,12308.0,11795.0,11457.0,11235.0,10937.0,10739.0,10439.0,10169.0,9915.0,9629.0,9483.0,9301.0,9168.0,9091.0,9007.0,8797.0,8660.0,8633.0,8562.0,8313.0,8237.0,8063.0,8026.0,7788.0,7635.0,7566.0,7374.0,7004.0,6999.0,6992.0,6647.0,6546.0,6311.0,6133.0,6094.0,5955.0,5671.0,5587.0,5472.0,5261.0,5339.0,5154.0,5042.0,4855.0,4952.0,4861.0,4744.0,4550.0,4586.0,4488.0,4473.0,4427.0,4168.0,4145.0,4079.0
K,12,32628.0,31500.0,31307.0,30529.0,30100.0,29787.0,29536.0,28369.0,27472.0,27234.0,26520.0,27735.0,25001.0,25127.0,24074.0,23426.0,22984.0,22226.0,21615.0,20969.0,20230.0,19765.0,19190.0,18233.0,18394.0,17562.0,17152.0,16869.0,16827.0,16898.0,16793.0,16635.0,16286.0,16327.0,16075.0,15882.0,15667.0,15509.0,14935.0,14605.0,14516.0,14210.0,13731.0,13572.0,13269.0,12876.0,12522.0,12293.0,11781.0,11442.0,11226.0,10924.0,10729.0,10429.0,10159.0,9902.0,9622.0,9472.0,9287.0,9160.0,9081.0,8990.0,8785.0,8648.0,8627.0,8550.0,8309.0,8234.0,8054.0,8019.0,7776.0,7630.0,7560.0,7367.0,6998.0,6989.0,6984.0,6642.0,6542.0,6305.0,6126.0,6094.0,5953.0,5661.0,5583.0,5470.0,5256.0,5333.0,5149.0,5033.0,4853.0,4949.0,4857.0,4742.0,4546.0,4581.0,4485.0,4467.0,4419.0,4166.0,4141.0
K,13,33044.0,32599.0,31473.0,31275.0,30502.0,30073.0,29759.0,29514.0,28350.0,27451.0,27204.0,26490.0,27712.0,24976.0,25100.0,24055.0,23397.0,22963.0,22207.0,21592.0,20947.0,20204.0,19745.0,19166.0,18211.0,18374.0,17545.0,17141.0,16854.0,16811.0,16879.0,16771.0,16619.0,16270.0,16315.0,16060.0,15871.0,15649.0,15498.0,14923.0,14596.0,14506.0,14193.0,13712.0,13558.0,13258.0,12868.0,12511.0,12283.0,11770.0,11433.0,11214.0,10906.0,10718.0,10416.0,10147.0,9893.0,9615.0,9457.0,9277.0,9142.0,9072.0,8978.0,8775.0,8638.0,8612.0,8540.0,8300.0,8226.0,8044.0,8013.0,7771.0,7626.0,7554.0,7364.0,6986.0,6980.0,6976.0,6630.0,6534.0,6295.0,6120.0,6087.0,5944.0,5654.0,5576.0,5462.0,5253.0,5327.0,5142.0,5030.0,4846.0,4945.0,4850.0,4737.0,4540.0,4579.0,4481.0,4463.0,4416.0,4162.0
K,14,32594.0,33014.0,32571.0,31444.0,31234.0,30482.0,30035.0,29728.0,29490.0,28316.0,27425.0,27183.0,26469.0,27683.0,24945.0,25084.0,24036.0,23371.0,22942.0,22182.0,21583.0,20925.0,20184.0,19725.0,19147.0,18192.0,18353.0,17530.0,17124.0,16841.0,16796.0,16863.0,16758.0,16598.0,16252.0,16306.0,16041.0,15859.0,15628.0,15483.0,14911.0,14587.0,14491.0,14184.0,13697.0,13543.0,13251.0,12858.0,12495.0,12272.0,11758.0,11421.0,11200.0,10899.0,10706.0,10405.0,10139.0,9882.0,9605.0,9445.0,9266.0,9131.0,9066.0,8969.0,8760.0,8629.0,8603.0,8533.0,8288.0,8218.0,8036.0,8005.0,7769.0,7615.0,7545.0,7358.0,6979.0,6974.0,6974.0,6621.0,6526.0,6289.0,6114.0,6083.0,5940.0,5642.0,5568.0,5459.0,5247.0,5319.0,5138.0,5022.0,4839.0,4934.0,4843.0,4733.0,4534.0,4574.0,4473.0,4454.0,4412.0
K,15,31915.0,32550.0,32977.0,32538.0,31408.0,31208.0,30447.0,30010.0,29698.0,29464.0,28287.0,27406.0,27160.0,26447.0,27656.0,24917.0,25057.0,24010.0,23343.0,22920.0,22163.0,21561.0,20905.0,20158.0,19701.0,19123.0,18170.0,18345.0,17513.0,17110.0,16820.0,16779.0,16847.0,16740.0,16584.0,16239.0,16293.0,16024.0,15839.0,15615.0,15467.0,14898.0,14571.0,14477.0,14172.0,13685.0,13526.0,13235.0,12846.0,12479.0,12257.0,11750.0,11409.0,11190.0,10886.0,10696.0,10398.0,10133.0,9874.0,9596.0,9437.0,9258.0,9121.0,9055.0,8962.0,8751.0,8624.0,8595.0,8524.0,8278.0,8209.0,8034.0,7998.0,7760.0,7612.0,7535.0,7350.0,6969.0,6969.0,6969.0,6616.0,6524.0,6282.0,6110.0,6072.0,5937.0,5636.0,5566.0,5451.0,5243.0,5308.0,5134.0,5017.0,4834.0,4926.0,4841.0,4727.0,4532.0,4566.0,4471.0,4447.0
K,16,32102.0,31886.0,32514.0,32935.0,32508.0,31388.0,31180.0,30418.0,29971.0,29670.0,29418.0,28266.0,27374.0,27130.0,26419.0,27628.0,24895.0,25026.0,23993.0,23322.0,22908.0,22143.0,21534.0,20885.0,20134.0,19682.0,19108.0,18159.0,18326.0,17497.0,17084.0,16806.0,16766.0,16827.0,16724.0,16562.0,16224.0,16274.0,16003.0,15820.0,15606.0,15452.0,14885.0,14551.0,14466.0,14155.0,13677.0,13509.0,13219.0,12831.0,12470.0,12248.0,11736.0,11401.0,11175.0,10877.0,10684.0,10385.0,10127.0,9863.0,9590.0,9430.0,9254.0,9108.0,9046.0,8954.0,8742.0,8608.0,8581.0,8518.0,8270.0,8203.0,8027.0,7990.0,7752.0,7605.0,7524.0,7340.0,6961.0,6957.0,6962.0,6609.0,6521.0,6276.0,6104.0,6060.0,5930.0,5628.0,5563.0,5445.0,5236.0,5304.0,5129.0,5012.0,4833.0,4918.0,4837.0,4726.0,4529.0,4560.0,4468.0
K,17,31505.0,32069.0,31859.0,32491.0,32895.0,32485.0,31361.0,31156.0,30386.0,29938.0,29637.0,29389.0,28247.0,27350.0,27108.0,26389.0,27615.0,24866.0,25002.0,23971.0,23298.0,22881.0,22123.0,21504.0,20861.0,20117.0,19663.0,19092.0,18139.0,18303.0,17479.0,17062.0,16794.0,16747.0,16810.0,16705.0,16543.0,16212.0,16263.0,15977.0,15802.0,15587.0,15432.0,14873.0,14535.0,14453.0,14139.0,13666.0,13496.0,13204.0,12815.0,12460.0,12238.0,11724.0,11390.0,11162.0,10865.0,10670.0,10370.0,10119.0,9851.0,9582.0,9418.0,9245.0,9101.0,9039.0,8949.0,8736.0,8600.0,8573.0,8511.0,8255.0,8195.0,8019.0,7984.0,7745.0,7597.0,7515.0,7337.0,6956.0,6948.0,6954.0,6600.0,6512.0,6272.0,6100.0,6052.0,5923.0,5625.0,5554.0,5440.0,5230.0,5298.0,5125.0,5005.0,4829.0,4914.0,4837.0,4723.0,4525.0,4553.0
K,18,31573.0,31479.0,32037.0,31824.0,32462.0,32854.0,32453.0,31324.0,31134.0,30368.0,29909.0,29613.0,29356.0,28226.0,27323.0,27082.0,26358.0,27582.0,24847.0,24973.0,23952.0,23285.0,22860.0,22097.0,21475.0,20838.0,20098.0,19647.0,19066.0,18123.0,18285.0,17466.0,17048.0,16782.0,16730.0,16790.0,16682.0,16526.0,16201.0,16243.0,15963.0,15786.0,15577.0,15415.0,14861.0,14516.0,14440.0,14126.0,13655.0,13482.0,13198.0,12799.0,12450.0,12227.0,11711.0,11380.0,11154.0,10848.0,10665.0,10359.0,10112.0,9833.0,9574.0,9412.0,9234.0,9087.0,9030.0,8943.0,8730.0,8586.0,8567.0,8503.0,8243.0,8186.0,8014.0,7980.0,7738.0,7590.0,7509.0,7335.0,6952.0,6944.0,6939.0,6590.0,6511.0,6267.0,6098.0,6042.0,5918.0,5619.0,5548.0,5434.0,5223.0,5292.0,5121.0,4996.0,4823.0,4911.0,4828.0,4718.0,4523.0
K,19,31441.0,31540.0,31443.0,32002.0,31788.0,32439.0,32827.0,32418.0,31290.0,31109.0,30335.0,29876.0,29579.0,29329.0,28183.0,27286.0,27053.0,26342.0,27553.0,24823.0,24950.0,23920.0,23258.0,22833.0,22080.0,21451.0,20820.0,20077.0,19628.0,19050.0,18104.0,18264.0,17450.0,17035.0,16762.0,16710.0,16772.0,16665.0,16515.0,16183.0,16233.0,15951.0,15768.0,15565.0,15401.0,14845.0,14507.0,14425.0,14115.0,13640.0,13472.0,13190.0,12787.0,12436.0,12216.0,11700.0,11369.0,11134.0,10842.0,10658.0,10340.0,10101.0,9826.0,9569.0,9401.0,9228.0,9080.0,9020.0,8932.0,8719.0,8577.0,8562.0,8492.0,8237.0,8177.0,8007.0,7974.0,7733.0,7580.0,7498.0,7327.0,6948.0,6938.0,6927.0,6580.0,6506.0,6262.0,6093.0,6039.0,5907.0,5612.0,5536.0,5422.0,5221.0,5289.0,5114.0,4993.0,4819.0,4907.0,4823.0,4714.0
