sex,alder,pop_2038,pop_2039,pop_2040,pop_2041,pop_2042,pop_2043,pop_2044,pop_2045,pop_2046,pop_2047,pop_2048,pop_2049,pop_2050,pop_2051,pop_2052,pop_2053,pop_2054,pop_2055,pop_2056,pop_2057,pop_2058,pop_2059,pop_2060,pop_2061,pop_2062,pop_2063,pop_2064,pop_2065,pop_2066,pop_2067,pop_2068,pop_2069,pop_2070,pop_2071,pop_2072,pop_2073,pop_2074,pop_2075,pop_2076,pop_2077,pop_2078
K,19,27667.0,27434.0,26778.0,27976.0,25247.0,26811.0,26640.0,26151.0,26024.0,25763.0,25491.0,25361.0,25002.0,24676.0,24693.0,24289.0,23919.0,23736.0,23808.0,23766.0,23605.0,25202.0,27199.0,28614.0,30135.0,31763.0,31329.0,31306.0,30577.0,30281.0,29622.0,29335.0,28849.0,28453.0,28027.0,27788.0,27308.0,26960.0,26838.0,26586.0,26364.0
K,20,28494.0,27664.0,27430.0,26774.0,27972.0,25246.0,26808.0,26637.0,26148.0,26022.0,25761.0,25490.0,25358.0,25000.0,24675.0,24691.0,24289.0,23918.0,23734.0,23807.0,23766.0,23604.0,25201.0,27198.0,28611.0,30133.0,31763.0,31328.0,31306.0,30575.0,30280.0,29619.0,29335.0,28849.0,28452.0,28026.0,27787.0,27308.0,26959.0,26837.0,26586.0
K,21,29662.0,28492.0,27661.0,27428.0,26773.0,27970.0,25244.0,26807.0,26636.0,26145.0,26020.0,25758.0,25489.0,25358.0,25000.0,24675.0,24689.0,24288.0,23918.0,23734.0,23805.0,23766.0,23603.0,25199.0,27198.0,28611.0,30133.0,31762.0,31328.0,31306.0,30575.0,30278.0,29618.0,29335.0,28849.0,28452.0,28026.0,27787.0,27306.0,26959.0,26837.0
K,22,29904.0,29655.0,28486.0,27657.0,27427.0,26770.0,27969.0,25241.0,26803.0,26634.0,26142.0,26018.0,25757.0,25486.0,25358.0,24999.0,24674.0,24689.0,24286.0,23918.0,23733.0,23804.0,23765.0,23603.0,25199.0,27198.0,28610.0,30133.0,31760.0,31327.0,31305.0,30574.0,30277.0,29618.0,29334.0,28848.0,28451.0,28025.0,27787.0,27306.0,26959.0
K,23,30167.0,29899.0,29651.0,28484.0,27656.0,27425.0,26768.0,27968.0,25238.0,26803.0,26633.0,26139.0,26017.0,25757.0,25485.0,25357.0,24999.0,24672.0,24688.0,24285.0,23917.0,23733.0,23803.0,23764.0,23603.0,25199.0,27197.0,28610.0,30133.0,31759.0,31326.0,31305.0,30572.0,30277.0,29617.0,29334.0,28847.0,28451.0,28025.0,27787.0,27306.0
K,24,30555.0,30164.0,29896.0,29647.0,28484.0,27655.0,27425.0,26767.0,27965.0,25234.0,26800.0,26631.0,26138.0,26015.0,25757.0,25485.0,25357.0,24999.0,24670.0,24688.0,24285.0,23917.0,23732.0,23803.0,23764.0,23603.0,25199.0,27196.0,28610.0,30133.0,31758.0,31326.0,31304.0,30572.0,30277.0,29616.0,29334.0,28846.0,28451.0,28024.0,27785.0
K,25,31302.0,30554.0,30162.0,29892.0,29643.0,28479.0,27655.0,27421.0,26766.0,27962.0,25231.0,26800.0,26627.0,26137.0,26014.0,25755.0,25481.0,25355.0,24998.0,24669.0,24688.0,24284.0,23916.0,23731.0,23801.0,23764.0,23602.0,25196.0,27196.0,28608.0,30133.0,31757.0,31324.0,31302.0,30572.0,30277.0,29615.0,29333.0,28846.0,28451.0,28023.0
K,26,31440.0,31299.0,30551.0,30158.0,29886.0,29642.0,28474.0,27655.0,27420.0,26765.0,27959.0,25230.0,26798.0,26627.0,26135.0,26013.0,25755.0,25480.0,25353.0,24997.0,24669.0,24687.0,24282.0,23915.0,23731.0,23800.0,23763.0,23599.0,25195.0,27195.0,28608.0,30130.0,31757.0,31323.0,31299.0,30569.0,30275.0,29615.0,29333.0,28846.0,28449.0
K,27,32528.0,31431.0,31293.0,30543.0,30155.0,29882.0,29639.0,28474.0,27653.0,27418.0,26761.0,27958.0,25228.0,26798.0,26627.0,26135.0,26013.0,25754.0,25480.0,25351.0,24997.0,24668.0,24686.0,24282.0,23912.0,23731.0,23799.0,23761.0,23599.0,25193.0,27194.0,28607.0,30129.0,31757.0,31323.0,31299.0,30569.0,30273.0,29613.0,29331.0,28844.0
K,28,32938.0,32525.0,31428.0,31288.0,30538.0,30152.0,29880.0,29632.0,28472.0,27650.0,27416.0,26759.0,27954.0,25228.0,26797.0,26624.0,26134.0,26013.0,25754.0,25479.0,25351.0,24996.0,24668.0,24686.0,24282.0,23911.0,23731.0,23797.0,23761.0,23598.0,25191.0,27193.0,28606.0,30128.0,31755.0,31323.0,31298.0,30568.0,30273.0,29613.0,29330.0
