sex,alder,pop_2023,pop_2024,pop_2025,pop_2026,pop_2027,pop_2028,pop_2029,pop_2030,pop_2031,pop_2032,pop_2033,pop_2034,pop_2035,pop_2036,pop_2037,pop_2038,pop_2039,pop_2040,pop_2041,pop_2042,pop_2043,pop_2044,pop_2045,pop_2046,pop_2047,pop_2048,pop_2049,pop_2050,pop_2051,pop_2052,pop_2053,pop_2054,pop_2055,pop_2056,pop_2057,pop_2058,pop_2059,pop_2060,pop_2061,pop_2062,pop_2063,pop_2064,pop_2065,pop_2066,pop_2067,pop_2068,pop_2069,pop_2070,pop_2071,pop_2072,pop_2073
K,0,25310.0,25150.0,24725.0,23891.0,23198.0,22380.0,21897.0,21276.0,20500.0,19935.0,19249.0,18730.0,18355.0,17927.0,17212.0,17253.0,17262.0,16944.0,16923.0,16740.0,16568.0,16581.0,16315.0,15827.0,15752.0,15545.0,15232.0,14867.0,14757.0,14324.0,14015.0,13698.0,13236.0,12996.0,12752.0,12201.0,12148.0,11847.0,11420.0,11177.0,10745.0,10526.0,10361.0,10248.0,9831.0,9542.0,9480.0,9293.0,9118.0,8991.0,8982.0
K,1,28037.0,25289.0,25130.0,24707.0,23870.0,23180.0,22350.0,21869.0,21259.0,20479.0,19917.0,19228.0,18714.0,18342.0,17911.0,17194.0,17234.0,17245.0,16926.0,16908.0,16720.0,16553.0,16555.0,16303.0,15808.0,15734.0,15530.0,15218.0,14846.0,14745.0,14306.0,14001.0,13683.0,13225.0,12987.0,12736.0,12188.0,12140.0,11831.0,11408.0,11164.0,10734.0,10512.0,10352.0,10234.0,9823.0,9536.0,9469.0,9283.0,9107.0,8977.0
K,2,26820.0,28015.0,25259.0,25103.0,24675.0,23852.0,23159.0,22326.0,21848.0,21234.0,20453.0,19898.0,19212.0,18695.0,18315.0,17898.0,17179.0,17216.0,17233.0,16907.0,16898.0,16706.0,16535.0,16540.0,16276.0,15793.0,15722.0,15513.0,15198.0,14827.0,14733.0,14298.0,13987.0,13674.0,13213.0,12976.0,12728.0,12175.0,12128.0,11814.0,11397.0,11153.0,10719.0,10494.0,10346.0,10229.0,9813.0,9529.0,9463.0,9276.0,9097.0
K,3,27466.0,26794.0,27994.0,25230.0,25082.0,24657.0,23831.0,23140.0,22308.0,21825.0,21217.0,20446.0,19870.0,19199.0,18670.0,18298.0,17867.0,17164.0,17203.0,17219.0,16889.0,16888.0,16693.0,16509.0,16522.0,16251.0,15773.0,15712.0,15497.0,15184.0,14816.0,14722.0,14283.0,13977.0,13658.0,13201.0,12965.0,12711.0,12160.0,12120.0,11804.0,11391.0,11141.0,10710.0,10483.0,10338.0,10218.0,9801.0,9520.0,9454.0,9267.0
K,4,27692.0,27434.0,26768.0,27965.0,25194.0,25050.0,24629.0,23814.0,23119.0,22289.0,21807.0,21203.0,20428.0,19840.0,19173.0,18647.0,18275.0,17850.0,17146.0,17187.0,17201.0,16876.0,16875.0,16680.0,16491.0,16507.0,16239.0,15751.0,15701.0,15480.0,15163.0,14800.0,14707.0,14267.0,13966.0,13639.0,13188.0,12952.0,12691.0,12152.0,12105.0,11795.0,11380.0,11131.0,10701.0,10476.0,10322.0,10202.0,9789.0,9513.0,9446.0
K,5,28546.0,27652.0,27401.0,26737.0,27938.0,25167.0,25023.0,24595.0,23789.0,23092.0,22259.0,21794.0,21179.0,20405.0,19829.0,19151.0,18631.0,18262.0,17835.0,17123.0,17170.0,17183.0,16865.0,16863.0,16668.0,16478.0,16498.0,16232.0,15738.0,15684.0,15464.0,15148.0,14783.0,14689.0,14254.0,13950.0,13618.0,13169.0,12940.0,12674.0,12141.0,12092.0,11784.0,11370.0,11121.0,10689.0,10466.0,10310.0,10192.0,9784.0,9504.0
K,6,29714.0,28515.0,27625.0,27374.0,26716.0,27922.0,25141.0,25002.0,24568.0,23763.0,23067.0,22242.0,21767.0,21162.0,20380.0,19802.0,19134.0,18620.0,18246.0,17814.0,17100.0,17153.0,17163.0,16842.0,16846.0,16652.0,16459.0,16484.0,16208.0,15720.0,15670.0,15453.0,15132.0,14766.0,14670.0,14243.0,13941.0,13610.0,13162.0,12918.0,12657.0,12125.0,12086.0,11777.0,11360.0,11105.0,10680.0,10450.0,10297.0,10183.0,9776.0
K,7,29958.0,29680.0,28487.0,27596.0,27353.0,26682.0,27892.0,25120.0,24977.0,24539.0,23738.0,23051.0,22225.0,21749.0,21141.0,20361.0,19785.0,19116.0,18604.0,18220.0,17798.0,17081.0,17130.0,17146.0,16829.0,16830.0,16632.0,16451.0,16467.0,16189.0,15711.0,15654.0,15433.0,15114.0,14753.0,14659.0,14230.0,13932.0,13594.0,13149.0,12903.0,12641.0,12111.0,12076.0,11762.0,11354.0,11098.0,10672.0,10439.0,10292.0,10176.0
K,8,30221.0,29927.0,29653.0,28460.0,27563.0,27326.0,26646.0,27868.0,25098.0,24953.0,24513.0,23712.0,23027.0,22197.0,21723.0,21129.0,20337.0,19761.0,19097.0,18589.0,18203.0,17789.0,17058.0,17111.0,17127.0,16812.0,16819.0,16624.0,16437.0,16447.0,16171.0,15696.0,15646.0,15420.0,15102.0,14737.0,14639.0,14213.0,13919.0,13582.0,13136.0,12886.0,12628.0,12100.0,12063.0,11750.0,11337.0,11088.0,10664.0,10425.0,10280.0
K,9,30613.0,30183.0,29894.0,29619.0,28422.0,27543.0,27296.0,26621.0,27839.0,25079.0,24932.0,24489.0,23683.0,22993.0,22176.0,21697.0,21109.0,20318.0,19744.0,19077.0,18578.0,18184.0,17766.0,17038.0,17096.0,17112.0,16801.0,16802.0,16605.0,16423.0,16436.0,16158.0,15681.0,15631.0,15404.0,15082.0,14723.0,14626.0,14194.0,13904.0,13566.0,13122.0,12874.0,12604.0,12088.0,12046.0,11736.0,11322.0,11077.0,10654.0,10412.0
K,10,31377.0,30578.0,30154.0,29865.0,29597.0,28400.0,27516.0,27272.0,26593.0,27812.0,25052.0,24901.0,24472.0,23647.0,22970.0,22153.0,21670.0,21088.0,20300.0,19722.0,19062.0,18557.0,18170.0,17753.0,17022.0,17071.0,17103.0,16785.0,16780.0,16588.0,16411.0,16421.0,16142.0,15662.0,15608.0,15387.0,15072.0,14705.0,14602.0,14181.0,13890.0,13545.0,13108.0,12858.0,12590.0,12077.0,12035.0,11728.0,11314.0,11068.0,10636.0
K,11,31526.0,31342.0,30539.0,30124.0,29839.0,29574.0,28368.0,27489.0,27243.0,26564.0,27776.0,25019.0,24875.0,24456.0,23626.0,22946.0,22128.0,21653.0,21067.0,20278.0,19705.0,19042.0,18530.0,18152.0,17740.0,17009.0,17054.0,17086.0,16767.0,16758.0,16572.0,16393.0,16409.0,16123.0,15643.0,15585.0,15369.0,15057.0,14686.0,14586.0,14167.0,13878.0,13523.0,13095.0,12845.0,12576.0,12070.0,12018.0,11719.0,11302.0,11059.0
K,12,32628.0,31493.0,31309.0,30505.0,30097.0,29813.0,29547.0,28336.0,27461.0,27210.0,26531.0,27742.0,24992.0,24847.0,24421.0,23602.0,22929.0,22100.0,21637.0,21048.0,20260.0,19683.0,19021.0,18510.0,18136.0,17718.0,16992.0,17041.0,17063.0,16746.0,16740.0,16558.0,16374.0,16393.0,16101.0,15627.0,15568.0,15347.0,15046.0,14668.0,14572.0,14163.0,13869.0,13508.0,13085.0,12835.0,12557.0,12055.0,12002.0,11703.0,11291.0
K,13,33044.0,32593.0,31459.0,31286.0,30481.0,30067.0,29776.0,29514.0,28307.0,27430.0,27186.0,26501.0,27720.0,24971.0,24828.0,24401.0,23580.0,22899.0,22078.0,21620.0,21034.0,20242.0,19665.0,18999.0,18501.0,18115.0,17698.0,16974.0,17023.0,17045.0,16736.0,16725.0,16548.0,16355.0,16377.0,16088.0,15604.0,15557.0,15326.0,15036.0,14651.0,14558.0,14154.0,13852.0,13497.0,13073.0,12823.0,12547.0,12048.0,11989.0,11694.0
K,14,32594.0,33008.0,32570.0,31420.0,31260.0,30450.0,30042.0,29750.0,29476.0,28271.0,27394.0,27157.0,26476.0,27694.0,24946.0,24808.0,24377.0,23549.0,22876.0,22052.0,21600.0,21019.0,20220.0,19651.0,18985.0,18486.0,18097.0,17679.0,16962.0,17004.0,17029.0,16720.0,16704.0,16530.0,16342.0,16355.0,16080.0,15582.0,15539.0,15312.0,15016.0,14634.0,14539.0,14139.0,13838.0,13485.0,13065.0,12807.0,12538.0,12035.0,11975.0
K,15,31915.0,32564.0,32980.0,32545.0,31387.0,31216.0,30415.0,30022.0,29726.0,29442.0,28244.0,27366.0,27130.0,26452.0,27666.0,24921.0,24793.0,24353.0,23527.0,22850.0,22025.0,21572.0,21002.0,20201.0,19628.0,18963.0,18468.0,18082.0,17662.0,16947.0,16990.0,17008.0,16704.0,16678.0,16512.0,16325.0,16336.0,16063.0,15567.0,15521.0,15298.0,15005.0,14627.0,14524.0,14124.0,13827.0,13471.0,13053.0,12791.0,12524.0,12024.0
K,16,32102.0,31890.0,32537.0,32940.0,32510.0,31349.0,31188.0,30386.0,29985.0,29697.0,29403.0,28216.0,27348.0,27105.0,26410.0,27648.0,24894.0,24768.0,24334.0,23504.0,22831.0,22000.0,21550.0,20983.0,20178.0,19609.0,18947.0,18449.0,18065.0,17645.0,16931.0,16976.0,16990.0,16684.0,16667.0,16499.0,16314.0,16326.0,16038.0,15552.0,15505.0,15288.0,14990.0,14612.0,14509.0,14109.0,13819.0,13450.0,13041.0,12776.0,12510.0
K,17,31505.0,32071.0,31854.0,32507.0,32894.0,32484.0,31312.0,31159.0,30347.0,29957.0,29659.0,29374.0,28193.0,27324.0,27083.0,26378.0,27626.0,24872.0,24740.0,24310.0,23491.0,22810.0,21986.0,21524.0,20956.0,20154.0,19585.0,18928.0,18425.0,18042.0,17631.0,16916.0,16959.0,16971.0,16667.0,16656.0,16483.0,16299.0,16310.0,16021.0,15530.0,15486.0,15272.0,14979.0,14596.0,14491.0,14094.0,13798.0,13442.0,13022.0,12764.0
K,18,31573.0,31463.0,32046.0,31826.0,32476.0,32851.0,32453.0,31284.0,31140.0,30320.0,29930.0,29637.0,29348.0,28169.0,27306.0,27058.0,26361.0,27591.0,24841.0,24719.0,24286.0,23470.0,22783.0,21971.0,21511.0,20935.0,20127.0,19565.0,18914.0,18409.0,18024.0,17616.0,16894.0,16941.0,16953.0,16653.0,16641.0,16465.0,16288.0,16293.0,16003.0,15512.0,15472.0,15260.0,14969.0,14581.0,14474.0,14083.0,13782.0,13422.0,13006.0
K,19,31441.0,31544.0,31430.0,32010.0,31795.0,32450.0,32823.0,32413.0,31255.0,31106.0,30287.0,29911.0,29611.0,29311.0,28141.0,27280.0,27031.0,26337.0,27559.0,24823.0,24687.0,24264.0,23448.0,22756.0,21944.0,21497.0,20910.0,20106.0,19538.0,18892.0,18394.0,18007.0,17599.0,16884.0,16920.0,16940.0,16629.0,16623.0,16457.0,16277.0,16274.0,15989.0,15494.0,15457.0,15247.0,14956.0,14566.0,14458.0,14065.0,13770.0,13413.0
K,20,31111.0,31396.0,31509.0,31392.0,31980.0,31758.0,32419.0,32788.0,32383.0,31222.0,31082.0,30257.0,29885.0,29585.0,29281.0,28112.0,27251.0,27015.0,26304.0,27513.0,24804.0,24654.0,24239.0,23428.0,22720.0,21916.0,21469.0,20898.0,20090.0,19525.0,18869.0,18385.0,17991.0,17575.0,16871.0,16907.0,16918.0,16610.0,16606.0,16440.0,16260.0,16255.0,15976.0,15477.0,15448.0,15234.0,14938.0,14552.0,14446.0,14055.0,13758.0
K,21,31588.0,31075.0,31372.0,31479.0,31362.0,31957.0,31720.0,32380.0,32753.0,32353.0,31192.0,31046.0,30230.0,29850.0,29553.0,29246.0,28063.0,27223.0,26977.0,26280.0,27484.0,24769.0,24639.0,24214.0,23411.0,22691.0,21896.0,21439.0,20876.0,20074.0,19500.0,18845.0,18367.0,17970.0,17558.0,16859.0,16885.0,16896.0,16590.0,16594.0,16422.0,16245.0,16237.0,15955.0,15458.0,15438.0,15216.0,14919.0,14533.0,14434.0,14031.0
