år,pop_2.1
2023,5488984
2024,5512303
2025,5537071
2026,5562747
2027,5588771
2028,5615013
2029,5640771
2030,5666451
2031,5691132
2032,5714714
2033,5737417
2034,5759476
2035,5780031
2036,5798867
2037,5816699
2038,5831075
2039,5842732
2040,5851785
2041,5858890
2042,5864268
2043,5867689
2044,5869445
2045,5869039
2046,5866828
2047,5862470
2048,5856275
2049,5848649
2050,5839303
2051,5828141
2052,5815237
2053,5801179
2054,5786128
2055,5769351
2056,5752026
2057,5733818
2058,5714766
2059,5695931
2060,5676538
2061,5657965
2062,5638918
2063,5620401
2064,5602527
2065,5585276
2066,5568447
2067,5552541
2068,5537698
2069,5523835
2070,5510370
2071,5496142
2072,5482593
2073,5468217
2074,5453783
2075,5438251
2076,5422024
2077,5405278
2078,5387450
2079,5369048
2080,5348777
2081,5328595
2082,5307246
2083,5285991
2084,5264760
2085,5244000
2086,5223299
2087,5204053
2088,5185055
2089,5168165
2090,5151579
2091,5136417
2092,5123038
2093,5111173
2094,5100807
2095,5091347
2096,5082728
2097,5074908
2098,5067698
2099,5060971
2100,5054352
2101,5048125
2102,5042177
2103,5037099
2104,5031486
2105,5026117
2106,5021005
2107,5015997
2108,5011400
2109,5007395
2110,5003902
2111,5000592
2112,4997161
2113,4993915
2114,4991355
2115,4989602
2116,4988089
2117,4987019
2118,4985622
2119,4983344
2120,4981350
2121,4978770
2122,4975853
2123,4972637
