år,pop_1.5
2023,5488984
2024,5499094
2025,5508432
2026,5517115
2027,5525334
2028,5532771
2029,5539814
2030,5546079
2031,5551650
2032,5556740
2033,5561398
2034,5565516
2035,5569233
2036,5572723
2037,5575903
2038,5579025
2039,5581903
2040,5584296
2041,5586457
2042,5588427
2043,5589788
2044,5590729
2045,5591256
2046,5591247
2047,5590657
2048,5589509
2049,5587654
2050,5585039
2051,5580196
2052,5573224
2053,5564189
2054,5552797
2055,5539303
2056,5523172
2057,5504668
2058,5483622
2059,5460516
2060,5434944
2061,5407415
2062,5378160
2063,5347261
