sex,alder,pop_2023,pop_2024,pop_2025,pop_2026,pop_2027,pop_2028,pop_2029,pop_2030,pop_2031,pop_2032,pop_2033,pop_2034,pop_2035,pop_2036,pop_2037,pop_2038,pop_2039,pop_2040,pop_2041,pop_2042,pop_2043,pop_2044,pop_2045,pop_2046,pop_2047,pop_2048,pop_2049,pop_2050,pop_2051,pop_2052,pop_2053,pop_2054,pop_2055,pop_2056,pop_2057,pop_2058
K,16,32102.0,31905.0,32583.0,33028.0,32608.0,31505.0,31359.0,30588.0,30201.0,29936.0,29687.0,28532.0,27670.0,27438.0,26784.0,27989.0,25242.0,26893.0,26916.0,26147.0,25986.0,25879.0,25398.0,25226.0,25054.0,24734.0,24371.0,24443.0,24164.0,23924.0,23774.0,23659.0,23589.0,23378.0,23385.0,23301.0
K,17,31505.0,32096.0,31898.0,32579.0,33019.0,32598.0,31495.0,31354.0,30586.0,30198.0,29932.0,29685.0,28528.0,27668.0,27436.0,26782.0,27986.0,25241.0,26888.0,26914.0,26144.0,25983.0,25877.0,25397.0,25224.0,25053.0,24733.0,24368.0,24443.0,24163.0,23924.0,23773.0,23659.0,23589.0,23377.0,23384.0
K,18,31573.0,31499.0,32088.0,31893.0,32569.0,33013.0,32588.0,31490.0,31352.0,30578.0,30192.0,29927.0,29676.0,28519.0,27665.0,27430.0,26779.0,27982.0,25239.0,26885.0,26913.0,26140.0,25982.0,25874.0,25393.0,25223.0,25053.0,24733.0,24368.0,24442.0,24163.0,23924.0,23773.0,23657.0,23588.0,23377.0
K,19,31441.0,31565.0,31493.0,32083.0,31888.0,32561.0,33007.0,32583.0,31484.0,31344.0,30573.0,30185.0,29923.0,29673.0,28514.0,27661.0,27429.0,26776.0,27979.0,25238.0,26883.0,26913.0,26139.0,25981.0,25873.0,25392.0,25223.0,25053.0,24733.0,24368.0,24442.0,24162.0,23924.0,23773.0,23655.0,23587.0
K,20,31111.0,31432.0,31556.0,31481.0,32072.0,31881.0,32556.0,32999.0,32576.0,31479.0,31337.0,30568.0,30183.0,29916.0,29666.0,28512.0,27657.0,27427.0,26773.0,27978.0,25234.0,26881.0,26912.0,26139.0,25980.0,25872.0,25389.0,25223.0,25050.0,24733.0,24368.0,24440.0,24161.0,23924.0,23771.0,23655.0
K,21,31588.0,31103.0,31426.0,31550.0,31471.0,32070.0,31877.0,32553.0,32992.0,32563.0,31470.0,31329.0,30563.0,30182.0,29912.0,29663.0,28507.0,27655.0,27424.0,26770.0,27975.0,25232.0,26878.0,26910.0,26138.0,25979.0,25871.0,25387.0,25223.0,25049.0,24731.0,24368.0,24439.0,24160.0,23924.0,23771.0
K,22,32878.0,31581.0,31093.0,31418.0,31541.0,31457.0,32060.0,31867.0,32545.0,32986.0,32557.0,31467.0,31322.0,30557.0,30177.0,29905.0,29657.0,28506.0,27654.0,27418.0,26769.0,27974.0,25229.0,26876.0,26909.0,26138.0,25976.0,25870.0,25384.0,25222.0,25048.0,24731.0,24366.0,24438.0,24160.0,23923.0
K,23,33088.0,32869.0,31573.0,31085.0,31414.0,31529.0,31450.0,32047.0,31857.0,32538.0,32980.0,32548.0,31465.0,31317.0,30556.0,30173.0,29901.0,29651.0,28505.0,27647.0,27415.0,26765.0,27974.0,25229.0,26874.0,26908.0,26137.0,25976.0,25869.0,25384.0,25222.0,25046.0,24731.0,24365.0,24438.0,24160.0
K,24,33364.0,33080.0,32861.0,31561.0,31073.0,31405.0,31525.0,31440.0,32034.0,31853.0,32532.0,32971.0,32541.0,31458.0,31313.0,30548.0,30169.0,29893.0,29646.0,28502.0,27644.0,27413.0,26763.0,27973.0,25227.0,26872.0,26907.0,26136.0,25975.0,25869.0,25382.0,25221.0,25045.0,24731.0,24365.0,24438.0
K,25,34378.0,33353.0,33065.0,32853.0,31554.0,31062.0,31395.0,31512.0,31434.0,32025.0,31847.0,32526.0,32966.0,32533.0,31453.0,31308.0,30542.0,30165.0,29890.0,29640.0,28499.0,27638.0,27410.0,26760.0,27971.0,25227.0,26872.0,26905.0,26136.0,25972.0,25868.0,25380.0,25220.0,25045.0,24731.0,24364.0
