Kjønn/Fødselskohort;Barnetall;;;;;Gjennomsnittlig barnetall
;0;1;2;3;4 barn eller flere;
Kvinnens alder 20 år;;;;;;
1980;61,6;21,5;13,6;2,8;0,6;0,60
1985;63,6;20,4;12,9;2,6;0,6;0,56
1990;68,0;18,3;11,4;2,1;0,3;0,49
1994;73,5;15,4;9,2;1,7;0,2;0,40
Mannens alder 35 år;;;;;;
1940;18,2;12,8;36,7;22,8;9,6;1,96
1945;18,0;14,9;41,8;19,8;5,5;1,81
1950;20,5;17,0;41,7;16,5;4,3;1,68
1955;24,7;18,4;37,2;15,9;3,8;1,57
1960;29,9;18,6;32,3;15,3;3,9;1,46
1965;33,2;19,4;30,8;13,4;3,2;1,35
1970;35,7;20,4;28,78;11,1;2,8;1,26
1975;38,4;20,7;28,6;10,0;2,2;1,18
1980;40,3;20,4;27,7;9,2;2,3;1,14
1985;42,0;20,4;27,5;8,3;1,9;1,08
1989;45,3;19,8;25,9;7,6;1,4;1,00
Mannens alder 40 år;;;;;;
1940;14,9;10,4;36,2;26,0;12,4;2,15
1945;14,9;12,4;41,1;23,3;8,3;2,01
1950;16,3;13,9;41,4;21,1;7,4;1,92
1955;19,2;14,7;37,4;21,4;7,4;1,86
1960;23,3;14,7;33,5;21,2;7,3;1,77
1965;25,7;15,5;33,7;19,1;6,0;1,66
1970;26,5;16,3;34,6;17,3;5,4;1,61
1975;28,8;16,4;34,1;16,3;4,4;1,53
1980;30,6;16,8;33,7;14,7;4,3;1,47
1984;32,1;16,4;34,7;13,2;3,6;1,41
Mannens alder 45 år;;;;;;
1940;13,9;10,0;35,8;26,4;13,9;2,22
1945;13,3;11,5;40,4;24,3;10,5;2,09
1950;14,8;12,6;41,0;22,3;9,3;2,02
1955;17,2;13,5;37,1;23,1;9,2;1,98
1960;20,7;13,4;34,1;22,7;9,1;1,90
1965;22,9;14,3;34,1;20,8;7,9;1,80
1970;23,4;14,8;35,4;19,4;7,0;1,75
1975;25,5;15,0;35,7;18,0;5,8;1,66
1979;27,1;15,1;35,9;16,5;5,4;1,60
Mannens alder 50 år;;;;;;
1940;13,6;9,8;35,7;26,5;14,4;2,25
1945;13,3;11,5;40,4;24,3;10,5;2,12
1950;14,4;12,3;40,7;22,6;10,0;2,06
1955;16,6;13,2;37,1;23,3;9,9;2,01
1960;19,9;13,0;34,2;23,0;9,9;1,95
1965;22,0;13,9;34,2;21,2;8,7;1,84
1970;22,4;14,5;35,5;19,8;7,7;1,80
1974;23,6;14,6;36,0;18,9;6,9;1,74
1For kohortene 1935 til 1950 - kvinner bosatt i Norge per 31.12. 1998. For kohorten 1955 - kvinner bosatt i Norge per 31.12. 2001. For kohorten 1960 - kvinner bosatt i Norge per 31.12. 2005. For kohorten 1965 - kvinner bosatt i Norge per 31.12.2010. For kohorten1970 - kvinner bosatt i Norge pr 31.12.2015. For kohorten 1975 - kvinner bosatt i Norge pr 31.12.2020. For kohortene 1979-2004 - kvinner bosatt pr 31.12.2024.;;;;;;
2For kohortene 1940 til 1950 - menn bosatt i Norge per 31.12. 2004. For kohorten 1955 - menn bosatt i Norge per 31.12. 2005. For kohorten 1960 - menn bosatt i Norge per 31.12. 2010. For kohorten 1965 - menn bosatt i Norge per 31.12.2015. For kohorten 1970 - menn bosatt i orge pr 31.12.2020. For kohortene 1974 til 2004 - menn bosatt i Norge per 31.12.2024 .;;;;;;
