år,pop_1.5
2063,5347261
2064,5315010
2065,5282799
2066,5250320
2067,5217996
2068,5185946
2069,5154327
2070,5122546
2071,5090233
2072,5057202
2073,5023633
2074,4989099
2075,4953759
2076,4917669
2077,4880641
2078,4842510
2079,4803186
2080,4762397
2081,4720013
2082,4676293
2083,4631656
2084,4586691
2085,4541875
2086,4497175
2087,4452625
2088,4408348
2089,4364609
2090,4321798
2091,4279750
2092,4238226
2093,4197787
2094,4158579
2095,4119875
2096,4081490
2097,4043413
2098,4005035
2099,3966514
2100,3927553
2101,3888019
2102,3848141
2103,3808469
2104,3769159
2105,3730421
2106,3692038
2107,3654108
2108,3616578
2109,3579772
2110,3543740
2111,3508485
2112,3474149
2113,3439816
