sex,alder,pop_2023,pop_2064,pop_2065,pop_2066,pop_2067,pop_2068,pop_2069,pop_2070,pop_2071,pop_2072,pop_2073,pop_2074,pop_2075,pop_2076,pop_2077,pop_2078,pop_2079,pop_2080,pop_2081,pop_2082,pop_2083,pop_2084,pop_2085,pop_2086,pop_2087,pop_2088,pop_2089,pop_2090,pop_2091,pop_2092,pop_2093,pop_2094,pop_2095,pop_2096,pop_2097,pop_2098,pop_2099,pop_2100,pop_2101,pop_2102,pop_2103,pop_2104,pop_2105,pop_2106,pop_2107,pop_2108,pop_2109,pop_2110,pop_2111,pop_2112,pop_2113
K,0,18502.0,25735.0,25655.0,25331.0,25063.0,24948.0,24576.0,24493.0,24012.0,23970.0,23575.0,23340.0,23085.0,22960.0,22725.0,22421.0,22370.0,21940.0,21811.0,21433.0,21279.0,21097.0,20796.0,21052.0,20763.0,20778.0,20853.0,20957.0,21265.0,21609.0,21814.0,22399.0,22616.0,23275.0,23446.0,23954.0,24091.0,24123.0,24283.0,24097.0,24222.0,23810.0,23600.0,23447.0,23537.0,23168.0,23005.0,22579.0,22479.0,22469.0,22309.0
K,1,18768.0,18501.0,25733.0,25653.0,25328.0,25062.0,24947.0,24573.0,24492.0,24012.0,23968.0,23573.0,23340.0,23084.0,22960.0,22725.0,22421.0,22370.0,21939.0,21810.0,21433.0,21278.0,21095.0,20795.0,21051.0,20762.0,20777.0,20853.0,20956.0,21265.0,21608.0,21814.0,22398.0,22615.0,23275.0,23445.0,23953.0,24091.0,24122.0,24282.0,24093.0,24219.0,23809.0,23600.0,23446.0,23536.0,23168.0,23004.0,22578.0,22479.0,22468.0
K,2,18734.0,18768.0,18498.0,25730.0,25653.0,25328.0,25061.0,24946.0,24573.0,24491.0,24012.0,23967.0,23572.0,23337.0,23084.0,22959.0,22725.0,22420.0,22370.0,21938.0,21810.0,21433.0,21278.0,21094.0,20794.0,21051.0,20759.0,20775.0,20852.0,20956.0,21265.0,21608.0,21814.0,22397.0,22614.0,23274.0,23445.0,23951.0,24091.0,24122.0,24281.0,24092.0,24219.0,23807.0,23599.0,23446.0,23536.0,23166.0,23004.0,22576.0,22479.0
K,3,19065.0,18734.0,18768.0,18498.0,25730.0,25651.0,25327.0,25060.0,24946.0,24572.0,24490.0,24011.0,23967.0,23571.0,23333.0,23081.0,22956.0,22725.0,22419.0,22370.0,21938.0,21810.0,21433.0,21278.0,21092.0,20792.0,21051.0,20756.0,20775.0,20850.0,20955.0,21264.0,21608.0,21813.0,22397.0,22614.0,23274.0,23443.0,23951.0,24091.0,24120.0,24281.0,24091.0,24218.0,23805.0,23598.0,23445.0,23536.0,23165.0,23004.0,22576.0
K,4,19182.0,19065.0,18733.0,18767.0,18497.0,25730.0,25650.0,25327.0,25059.0,24945.0,24571.0,24489.0,24010.0,23964.0,23571.0,23328.0,23080.0,22956.0,22725.0,22419.0,22369.0,21938.0,21810.0,21433.0,21278.0,21092.0,20792.0,21051.0,20756.0,20775.0,20850.0,20954.0,21263.0,21606.0,21813.0,22396.0,22613.0,23274.0,23443.0,23951.0,24091.0,24120.0,24280.0,24090.0,24218.0,23805.0,23597.0,23444.0,23535.0,23165.0,23002.0
K,5,19333.0,19182.0,19065.0,18733.0,18767.0,18497.0,25730.0,25650.0,25327.0,25059.0,24945.0,24571.0,24489.0,24010.0,23963.0,23571.0,23328.0,23080.0,22956.0,22725.0,22419.0,22369.0,21938.0,21810.0,21433.0,21278.0,21092.0,20792.0,21051.0,20756.0,20774.0,20850.0,20954.0,21263.0,21606.0,21813.0,22396.0,22613.0,23274.0,23443.0,23950.0,24091.0,24120.0,24280.0,24090.0,24218.0,23805.0,23597.0,23442.0,23535.0,23164.0
K,6,19385.0,19333.0,19182.0,19065.0,18733.0,18767.0,18497.0,25730.0,25650.0,25327.0,25059.0,24945.0,24571.0,24489.0,24010.0,23963.0,23571.0,23328.0,23080.0,22956.0,22725.0,22419.0,22369.0,21938.0,21810.0,21433.0,21278.0,21092.0,20792.0,21051.0,20756.0,20774.0,20850.0,20954.0,21263.0,21606.0,21812.0,22396.0,22613.0,23274.0,23443.0,23950.0,24091.0,24120.0,24280.0,24089.0,24218.0,23805.0,23597.0,23441.0,23535.0
K,7,19595.0,19385.0,19333.0,19182.0,19065.0,18733.0,18767.0,18497.0,25730.0,25650.0,25327.0,25059.0,24945.0,24571.0,24489.0,24010.0,23961.0,23570.0,23328.0,23080.0,22956.0,22724.0,22419.0,22369.0,21938.0,21809.0,21433.0,21278.0,21092.0,20791.0,21051.0,20756.0,20774.0,20850.0,20954.0,21263.0,21606.0,21812.0,22396.0,22613.0,23274.0,23443.0,23950.0,24091.0,24120.0,24280.0,24088.0,24218.0,23805.0,23597.0,23441.0
K,8,20148.0,19595.0,19385.0,19333.0,19182.0,19065.0,18733.0,18767.0,18497.0,25730.0,25649.0,25327.0,25059.0,24945.0,24571.0,24488.0,24010.0,23960.0,23569.0,23328.0,23079.0,22956.0,22723.0,22419.0,22369.0,21938.0,21809.0,21433.0,21278.0,21091.0,20790.0,21051.0,20756.0,20774.0,20850.0,20954.0,21263.0,21606.0,21812.0,22396.0,22613.0,23274.0,23443.0,23950.0,24091.0,24120.0,24280.0,24088.0,24218.0,23805.0,23597.0
K,9,20190.0,20148.0,19595.0,19385.0,19333.0,19182.0,19065.0,18733.0,18767.0,18497.0,25730.0,25649.0,25327.0,25059.0,24945.0,24571.0,24487.0,24010.0,23960.0,23569.0,23328.0,23079.0,22956.0,22723.0,22419.0,22369.0,21938.0,21809.0,21433.0,21278.0,21091.0,20790.0,21051.0,20755.0,20774.0,20850.0,20954.0,21263.0,21606.0,21812.0,22395.0,22613.0,23274.0,23443.0,23950.0,24091.0,24120.0,24279.0,24088.0,24218.0,23804.0
