sex,alder,pop_2023,pop_2024,pop_2025,pop_2026,pop_2027,pop_2028,pop_2029,pop_2030,pop_2031,pop_2032,pop_2033,pop_2034,pop_2035,pop_2036,pop_2037,pop_2038,pop_2039,pop_2040,pop_2041,pop_2042,pop_2043,pop_2044,pop_2045,pop_2046,pop_2047,pop_2048,pop_2049,pop_2050,pop_2051,pop_2052,pop_2053,pop_2054,pop_2055,pop_2056,pop_2057,pop_2058,pop_2059,pop_2060,pop_2061,pop_2062,pop_2063,pop_2064,pop_2065,pop_2066,pop_2067,pop_2068,pop_2069,pop_2070,pop_2071,pop_2072,pop_2073
K,0,25310.0,25230.0,25180.0,25290.0,25341.0,25510.0,25514.0,25344.0,25529.0,25515.0,25449.0,25637.0,25761.0,25800.0,25839.0,25828.0,25879.0,25451.0,25222.0,25043.0,24606.0,24543.0,24119.0,23873.0,23609.0,23140.0,22630.0,22447.0,22032.0,21751.0,21506.0,21338.0,20938.0,20798.0,20690.0,20331.0,20344.0,20330.0,20152.0,20238.0,20186.0,20215.0,20299.0,20073.0,20134.0,19835.0,20041.0,19763.0,19779.0,19777.0,19682.0
K,1,28037.0,25291.0,25194.0,25162.0,25268.0,25317.0,25484.0,25484.0,25316.0,25504.0,25492.0,25422.0,25622.0,25735.0,25772.0,25807.0,25805.0,25853.0,25434.0,25196.0,25025.0,24586.0,24518.0,24091.0,23853.0,23598.0,23119.0,22609.0,22428.0,22012.0,21724.0,21476.0,21317.0,20918.0,20773.0,20666.0,20307.0,20328.0,20308.0,20132.0,20214.0,20163.0,20197.0,20275.0,20057.0,20117.0,19816.0,20022.0,19743.0,19763.0,19757.0
K,2,26820.0,28014.0,25275.0,25173.0,25135.0,25243.0,25289.0,25455.0,25452.0,25284.0,25466.0,25456.0,25395.0,25594.0,25707.0,25747.0,25782.0,25782.0,25836.0,25414.0,25168.0,24999.0,24554.0,24493.0,24072.0,23822.0,23576.0,23094.0,22589.0,22402.0,21992.0,21695.0,21447.0,21301.0,20901.0,20751.0,20650.0,20280.0,20316.0,20284.0,20104.0,20197.0,20135.0,20182.0,20250.0,20040.0,20093.0,19797.0,20004.0,19718.0,19744.0
K,3,27466.0,26790.0,27984.0,25245.0,25147.0,25113.0,25227.0,25259.0,25427.0,25427.0,25259.0,25442.0,25421.0,25373.0,25562.0,25686.0,25723.0,25750.0,25758.0,25816.0,25385.0,25148.0,24981.0,24522.0,24465.0,24042.0,23791.0,23537.0,23074.0,22568.0,22377.0,21972.0,21677.0,21422.0,21279.0,20885.0,20737.0,20633.0,20258.0,20289.0,20254.0,20083.0,20182.0,20114.0,20161.0,20228.0,20014.0,20080.0,19780.0,19983.0,19703.0
K,4,27692.0,27446.0,26761.0,27963.0,25222.0,25123.0,25084.0,25202.0,25227.0,25405.0,25393.0,25229.0,25416.0,25391.0,25350.0,25542.0,25662.0,25701.0,25720.0,25733.0,25797.0,25353.0,25114.0,24953.0,24497.0,24442.0,24020.0,23776.0,23513.0,23058.0,22549.0,22348.0,21952.0,21660.0,21400.0,21256.0,20870.0,20712.0,20613.0,20235.0,20272.0,20233.0,20061.0,20164.0,20091.0,20141.0,20205.0,20004.0,20053.0,19758.0,19966.0
K,5,28546.0,27659.0,27417.0,26736.0,27936.0,25201.0,25104.0,25059.0,25175.0,25197.0,25379.0,25368.0,25205.0,25388.0,25365.0,25321.0,25516.0,25638.0,25670.0,25697.0,25709.0,25776.0,25331.0,25087.0,24927.0,24473.0,24413.0,23995.0,23740.0,23488.0,23034.0,22532.0,22320.0,21934.0,21640.0,21386.0,21244.0,20847.0,20697.0,20594.0,20217.0,20252.0,20208.0,20034.0,20138.0,20070.0,20122.0,20176.0,19981.0,20041.0,19739.0
K,6,29714.0,28517.0,27627.0,27388.0,26707.0,27908.0,25182.0,25077.0,25028.0,25156.0,25173.0,25356.0,25338.0,25186.0,25371.0,25345.0,25289.0,25496.0,25615.0,25650.0,25673.0,25687.0,25749.0,25307.0,25069.0,24898.0,24453.0,24395.0,23981.0,23718.0,23466.0,23009.0,22504.0,22299.0,21905.0,21627.0,21360.0,21226.0,20832.0,20674.0,20575.0,20198.0,20230.0,20194.0,20008.0,20121.0,20055.0,20108.0,20157.0,19962.0,20018.0
K,7,29958.0,29693.0,28494.0,27604.0,27365.0,26676.0,27882.0,25162.0,25043.0,25005.0,25121.0,25150.0,25322.0,25318.0,25168.0,25344.0,25325.0,25268.0,25468.0,25590.0,25629.0,25647.0,25662.0,25719.0,25279.0,25048.0,24875.0,24427.0,24363.0,23959.0,23690.0,23440.0,22982.0,22488.0,22279.0,21882.0,21609.0,21348.0,21204.0,20813.0,20649.0,20558.0,20181.0,20207.0,20178.0,19985.0,20104.0,20029.0,20096.0,20140.0,19950.0
K,8,30221.0,29934.0,29664.0,28472.0,27570.0,27330.0,26652.0,27859.0,25136.0,25020.0,24975.0,25092.0,25126.0,25295.0,25294.0,25140.0,25321.0,25292.0,25248.0,25443.0,25561.0,25603.0,25620.0,25635.0,25696.0,25249.0,25020.0,24848.0,24407.0,24342.0,23935.0,23671.0,23420.0,22959.0,22462.0,22259.0,21852.0,21594.0,21328.0,21172.0,20792.0,20618.0,20541.0,20158.0,20184.0,20160.0,19966.0,20086.0,20016.0,20068.0,20120.0
K,9,30613.0,30197.0,29906.0,29638.0,28435.0,27532.0,27307.0,26623.0,27830.0,25113.0,24998.0,24949.0,25061.0,25092.0,25264.0,25279.0,25112.0,25297.0,25272.0,25214.0,25423.0,25542.0,25574.0,25596.0,25615.0,25670.0,25225.0,24998.0,24829.0,24383.0,24316.0,23904.0,23651.0,23391.0,22933.0,22445.0,22234.0,21836.0,21562.0,21303.0,21157.0,20775.0,20601.0,20516.0,20141.0,20162.0,20146.0,19943.0,20069.0,19993.0,20041.0
