sex,alder,pop_2023,pop_2024,pop_2025,pop_2026,pop_2027,pop_2028,pop_2029,pop_2030,pop_2031,pop_2032,pop_2033,pop_2034,pop_2035,pop_2036,pop_2037,pop_2038,pop_2039,pop_2040,pop_2041,pop_2042,pop_2043,pop_2044,pop_2045,pop_2046,pop_2047,pop_2048,pop_2049,pop_2050,pop_2051,pop_2052,pop_2053,pop_2054,pop_2055,pop_2056,pop_2057,pop_2058,pop_2059,pop_2060,pop_2061,pop_2062,pop_2063
K,0,25310.0,27067.0,26681.0,26444.0,26128.0,25660.0,25620.0,25387.0,25006.0,24725.0,24610.0,24280.0,24186.0,24015.0,23891.0,23938.0,23644.0,23389.0,23324.0,23367.0,22748.0,22837.0,22481.0,22322.0,22220.0,21751.0,21172.0,21287.0,20955.0,20558.0,20319.0,20190.0,20149.0,19596.0,19388.0,19334.0,19185.0,19067.0,18736.0,18768.0,18502.0
K,1,28037.0,25305.0,27062.0,26676.0,26439.0,26120.0,25657.0,25616.0,25386.0,25001.0,24722.0,24608.0,24279.0,24186.0,24011.0,23885.0,23938.0,23643.0,23387.0,23323.0,23366.0,22746.0,22835.0,22480.0,22319.0,22219.0,21751.0,21172.0,21287.0,20954.0,20557.0,20319.0,20190.0,20149.0,19596.0,19388.0,19334.0,19185.0,19066.0,18734.0,18768.0
K,2,26820.0,28034.0,25301.0,27061.0,26670.0,26434.0,26116.0,25656.0,25614.0,25384.0,24999.0,24716.0,24605.0,24278.0,24184.0,24009.0,23883.0,23932.0,23639.0,23387.0,23322.0,23365.0,22745.0,22834.0,22480.0,22318.0,22219.0,21750.0,21171.0,21286.0,20953.0,20556.0,20319.0,20190.0,20148.0,19596.0,19387.0,19334.0,19185.0,19066.0,18734.0
K,3,27466.0,26818.0,28027.0,25299.0,27055.0,26668.0,26430.0,26111.0,25652.0,25609.0,25377.0,24996.0,24710.0,24604.0,24276.0,24183.0,24006.0,23881.0,23930.0,23635.0,23386.0,23321.0,23363.0,22744.0,22833.0,22478.0,22316.0,22219.0,21750.0,21169.0,21286.0,20953.0,20555.0,20319.0,20190.0,20148.0,19596.0,19386.0,19333.0,19183.0,19065.0
K,4,27692.0,27462.0,26814.0,28027.0,25294.0,27052.0,26664.0,26425.0,26106.0,25648.0,25605.0,25373.0,24995.0,24708.0,24601.0,24275.0,24181.0,24006.0,23881.0,23927.0,23633.0,23385.0,23320.0,23363.0,22744.0,22832.0,22477.0,22316.0,22219.0,21749.0,21169.0,21286.0,20953.0,20554.0,20319.0,20190.0,20148.0,19596.0,19386.0,19333.0,19182.0
K,5,28546.0,27690.0,27460.0,26812.0,28027.0,25290.0,27050.0,26663.0,26425.0,26103.0,25648.0,25605.0,25373.0,24994.0,24704.0,24598.0,24275.0,24181.0,24006.0,23879.0,23927.0,23633.0,23384.0,23320.0,23363.0,22744.0,22832.0,22477.0,22316.0,22218.0,21748.0,21169.0,21285.0,20953.0,20553.0,20319.0,20190.0,20148.0,19596.0,19385.0,19333.0
K,6,29714.0,28544.0,27689.0,27458.0,26810.0,28026.0,25288.0,27048.0,26660.0,26423.0,26102.0,25644.0,25605.0,25372.0,24993.0,24701.0,24598.0,24275.0,24180.0,24005.0,23878.0,23926.0,23632.0,23384.0,23320.0,23363.0,22744.0,22832.0,22476.0,22316.0,22218.0,21747.0,21169.0,21285.0,20953.0,20552.0,20318.0,20190.0,20148.0,19596.0,19385.0
K,7,29958.0,29713.0,28542.0,27688.0,27456.0,26808.0,28026.0,25286.0,27045.0,26657.0,26422.0,26102.0,25642.0,25602.0,25372.0,24992.0,24699.0,24596.0,24275.0,24179.0,24005.0,23878.0,23926.0,23631.0,23384.0,23320.0,23361.0,22743.0,22832.0,22475.0,22316.0,22218.0,21747.0,21169.0,21285.0,20953.0,20552.0,20318.0,20190.0,20148.0,19595.0
K,8,30221.0,29957.0,29712.0,28540.0,27687.0,27456.0,26807.0,28023.0,25286.0,27045.0,26656.0,26420.0,26102.0,25639.0,25602.0,25370.0,24992.0,24696.0,24596.0,24274.0,24178.0,24003.0,23878.0,23926.0,23631.0,23382.0,23319.0,23361.0,22743.0,22832.0,22474.0,22316.0,22218.0,21747.0,21169.0,21285.0,20953.0,20552.0,20317.0,20190.0,20148.0
K,9,30613.0,30219.0,29954.0,29709.0,28537.0,27686.0,27455.0,26806.0,28022.0,25286.0,27043.0,26655.0,26420.0,26101.0,25638.0,25600.0,25370.0,24991.0,24696.0,24595.0,24274.0,24177.0,24003.0,23877.0,23926.0,23631.0,23381.0,23319.0,23361.0,22742.0,22832.0,22473.0,22316.0,22218.0,21747.0,21169.0,21285.0,20953.0,20552.0,20317.0,20190.0
K,10,31377.0,30612.0,30215.0,29953.0,29709.0,28533.0,27685.0,27452.0,26805.0,28021.0,25284.0,27041.0,26655.0,26420.0,26101.0,25637.0,25599.0,25370.0,24991.0,24696.0,24593.0,24274.0,24177.0,24003.0,23877.0,23926.0,23631.0,23381.0,23319.0,23361.0,22742.0,22832.0,22473.0,22316.0,22218.0,21747.0,21169.0,21285.0,20953.0,20552.0,20316.0
K,11,31526.0,31376.0,30610.0,30214.0,29952.0,29707.0,28531.0,27681.0,27451.0,26804.0,28021.0,25283.0,27040.0,26655.0,26418.0,26101.0,25636.0,25599.0,25370.0,24991.0,24696.0,24593.0,24272.0,24176.0,24003.0,23876.0,23926.0,23631.0,23381.0,23319.0,23361.0,22741.0,22832.0,22473.0,22315.0,22218.0,21747.0,21169.0,21284.0,20953.0,20552.0
K,12,32628.0,31525.0,31374.0,30610.0,30211.0,29951.0,29705.0,28530.0,27681.0,27451.0,26803.0,28020.0,25283.0,27040.0,26655.0,26418.0,26101.0,25634.0,25599.0,25369.0,24991.0,24696.0,24593.0,24272.0,24175.0,24002.0,23876.0,23926.0,23631.0,23381.0,23318.0,23361.0,22741.0,22832.0,22473.0,22315.0,22218.0,21747.0,21169.0,21284.0,20953.0
K,13,33044.0,32627.0,31523.0,31368.0,30608.0,30209.0,29951.0,29702.0,28529.0,27681.0,27450.0,26802.0,28020.0,25282.0,27040.0,26654.0,26418.0,26100.0,25634.0,25599.0,25369.0,24991.0,24695.0,24592.0,24272.0,24175.0,24002.0,23876.0,23926.0,23631.0,23381.0,23318.0,23361.0,22740.0,22832.0,22472.0,22315.0,22218.0,21747.0,21169.0,21283.0
K,14,32594.0,33043.0,32625.0,31523.0,31367.0,30608.0,30208.0,29948.0,29700.0,28529.0,27680.0,27448.0,26801.0,28020.0,25279.0,27040.0,26653.0,26416.0,26099.0,25632.0,25598.0,25369.0,24991.0,24694.0,24592.0,24272.0,24175.0,24002.0,23876.0,23925.0,23631.0,23380.0,23318.0,23361.0,22739.0,22832.0,22472.0,22315.0,22218.0,21747.0,21169.0
K,15,31915.0,32593.0,33040.0,32623.0,31520.0,31363.0,30607.0,30205.0,29946.0,29699.0,28526.0,27679.0,27445.0,26800.0,28019.0,25279.0,27040.0,26649.0,26416.0,26098.0,25631.0,25598.0,25367.0,24990.0,24693.0,24591.0,24271.0,24174.0,24002.0,23873.0,23925.0,23631.0,23380.0,23318.0,23361.0,22739.0,22831.0,22471.0,22315.0,22217.0,21747.0
K,16,32102.0,31912.0,32592.0,33036.0,32621.0,31516.0,31362.0,30604.0,30202.0,29941.0,29697.0,28526.0,27679.0,27443.0,26798.0,28016.0,25277.0,27039.0,26645.0,26416.0,26097.0,25630.0,25598.0,25366.0,24990.0,24692.0,24590.0,24271.0,24173.0,24001.0,23873.0,23925.0,23631.0,23380.0,23318.0,23361.0,22739.0,22831.0,22470.0,22315.0,22217.0
K,17,31505.0,32098.0,31908.0,32587.0,33031.0,32617.0,31511.0,31362.0,30596.0,30197.0,29941.0,29694.0,28524.0,27677.0,27441.0,26797.0,28014.0,25274.0,27039.0,26644.0,26415.0,26096.0,25630.0,25598.0,25365.0,24989.0,24692.0,24590.0,24271.0,24173.0,24001.0,23873.0,23925.0,23631.0,23380.0,23317.0,23361.0,22739.0,22830.0,22470.0,22315.0
K,18,31573.0,31501.0,32095.0,31906.0,32583.0,33027.0,32614.0,31506.0,31357.0,30596.0,30196.0,29937.0,29693.0,28521.0,27676.0,27441.0,26796.0,28012.0,25272.0,27039.0,26642.0,26415.0,26096.0,25630.0,25597.0,25365.0,24988.0,24691.0,24589.0,24271.0,24173.0,24001.0,23873.0,23924.0,23630.0,23379.0,23316.0,23360.0,22739.0,22829.0,22470.0
K,19,31441.0,31572.0,31499.0,32093.0,31903.0,32581.0,33024.0,32614.0,31504.0,31356.0,30591.0,30195.0,29935.0,29692.0,28519.0,27675.0,27440.0,26793.0,28011.0,25272.0,27037.0,26642.0,26415.0,26096.0,25630.0,25597.0,25364.0,24988.0,24691.0,24589.0,24271.0,24173.0,24001.0,23873.0,23924.0,23629.0,23379.0,23315.0,23360.0,22738.0,22827.0
K,20,31111.0,31435.0,31570.0,31497.0,32092.0,31900.0,32578.0,33019.0,32610.0,31498.0,31355.0,30589.0,30194.0,29934.0,29692.0,28518.0,27673.0,27440.0,26791.0,28008.0,25270.0,27034.0,26639.0,26415.0,26096.0,25629.0,25597.0,25364.0,24987.0,24691.0,24588.0,24271.0,24173.0,24001.0,23872.0,23924.0,23629.0,23379.0,23315.0,23359.0,22737.0
K,21,31588.0,31108.0,31434.0,31564.0,31496.0,32088.0,31896.0,32578.0,33018.0,32604.0,31495.0,31353.0,30587.0,30194.0,29933.0,29691.0,28517.0,27671.0,27439.0,26790.0,28008.0,25269.0,27034.0,26639.0,26413.0,26095.0,25629.0,25596.0,25363.0,24986.0,24691.0,24586.0,24270.0,24173.0,24001.0,23871.0,23924.0,23628.0,23379.0,23315.0,23359.0
K,22,32878.0,31585.0,31105.0,31434.0,31560.0,31492.0,32082.0,31890.0,32572.0,33015.0,32599.0,31493.0,31352.0,30585.0,30192.0,29933.0,29690.0,28516.0,27669.0,27438.0,26789.0,28008.0,25265.0,27031.0,26639.0,26410.0,26094.0,25629.0,25596.0,25363.0,24986.0,24691.0,24585.0,24269.0,24173.0,24000.0,23871.0,23924.0,23628.0,23379.0,23314.0
K,23,33088.0,32875.0,31580.0,31099.0,31431.0,31557.0,31488.0,32078.0,31889.0,32567.0,33012.0,32596.0,31492.0,31349.0,30583.0,30191.0,29932.0,29689.0,28513.0,27667.0,27434.0,26789.0,28008.0,25265.0,27031.0,26639.0,26410.0,26094.0,25629.0,25596.0,25361.0,24984.0,24690.0,24584.0,24269.0,24173.0,23999.0,23870.0,23923.0,23628.0,23378.0
K,24,33364.0,33084.0,32870.0,31575.0,31097.0,31427.0,31552.0,31486.0,32075.0,31889.0,32564.0,33008.0,32589.0,31489.0,31347.0,30580.0,30187.0,29929.0,29689.0,28512.0,27667.0,27434.0,26787.0,28008.0,25265.0,27030.0,26639.0,26410.0,26093.0,25628.0,25595.0,25361.0,24984.0,24690.0,24584.0,24269.0,24173.0,23999.0,23870.0,23923.0,23626.0
