sex,alder,pop_2023,pop_2024,pop_2025,pop_2026,pop_2027,pop_2028,pop_2029,pop_2030,pop_2031,pop_2032,pop_2033,pop_2034,pop_2035,pop_2036,pop_2037,pop_2038,pop_2039,pop_2040,pop_2041,pop_2042,pop_2043,pop_2044,pop_2045,pop_2046,pop_2047,pop_2048,pop_2049,pop_2050,pop_2051,pop_2052,pop_2053,pop_2054,pop_2055,pop_2056,pop_2057,pop_2058,pop_2059,pop_2060,pop_2061,pop_2062,pop_2063,pop_2064,pop_2065,pop_2066,pop_2067,pop_2068,pop_2069,pop_2070,pop_2071,pop_2072,pop_2073
K,0,25310.0,25343.0,25879.0,26464.0,27044.0,27769.0,28207.0,28758.0,29414.0,29926.0,30385.0,31042.0,31666.0,32053.0,32695.0,32294.0,31947.0,31988.0,31754.0,31101.0,30710.0,30458.0,30227.0,29822.0,29444.0,28668.0,28484.0,28128.0,27660.0,27245.0,27022.0,27109.0,27012.0,27039.0,27423.0,27313.0,27754.0,28275.0,28182.0,28804.0,29206.0,29474.0,30076.0,30071.0,30333.0,30537.0,30636.0,30621.0,30483.0,30377.0,30160.0
K,1,28037.0,25292.0,25328.0,25848.0,26431.0,27017.0,27745.0,28175.0,28724.0,29387.0,29885.0,30356.0,31015.0,31642.0,32021.0,32648.0,32268.0,31920.0,31964.0,31729.0,31061.0,30682.0,30420.0,30191.0,29788.0,29411.0,28643.0,28452.0,28096.0,27627.0,27227.0,26999.0,27086.0,26985.0,27012.0,27396.0,27280.0,27728.0,28254.0,28154.0,28772.0,29188.0,29438.0,30048.0,30049.0,30306.0,30508.0,30610.0,30592.0,30461.0,30350.0
K,2,26820.0,28014.0,25258.0,25297.0,25831.0,26414.0,26990.0,27720.0,28147.0,28698.0,29347.0,29846.0,30322.0,30976.0,31607.0,31987.0,32613.0,32234.0,31892.0,31931.0,31697.0,31029.0,30654.0,30391.0,30156.0,29751.0,29374.0,28620.0,28435.0,28065.0,27599.0,27194.0,26970.0,27068.0,26957.0,26987.0,27364.0,27250.0,27707.0,28219.0,28123.0,28754.0,29152.0,29403.0,30026.0,30014.0,30267.0,30477.0,30584.0,30565.0,30426.0
K,3,27466.0,26797.0,27989.0,25229.0,25265.0,25808.0,26384.0,26959.0,27702.0,28125.0,28671.0,29321.0,29818.0,30296.0,30930.0,31577.0,31957.0,32585.0,32209.0,31854.0,31904.0,31665.0,31011.0,30622.0,30361.0,30121.0,29727.0,29344.0,28591.0,28402.0,28051.0,27569.0,27171.0,26947.0,27039.0,26932.0,26960.0,27334.0,27219.0,27690.0,28182.0,28083.0,28730.0,29108.0,29373.0,29987.0,29972.0,30241.0,30450.0,30549.0,30525.0
K,4,27692.0,27440.0,26770.0,27958.0,25205.0,25240.0,25779.0,26357.0,26934.0,27675.0,28097.0,28639.0,29296.0,29786.0,30269.0,30899.0,31544.0,31928.0,32558.0,32188.0,31816.0,31865.0,31637.0,30975.0,30590.0,30329.0,30080.0,29708.0,29316.0,28569.0,28370.0,28031.0,27540.0,27141.0,26925.0,27012.0,26904.0,26922.0,27309.0,27195.0,27657.0,28155.0,28052.0,28704.0,29071.0,29340.0,29962.0,29934.0,30221.0,30428.0,30518.0
K,5,28546.0,27667.0,27418.0,26748.0,27926.0,25176.0,25218.0,25754.0,26324.0,26902.0,27654.0,28068.0,28610.0,29270.0,29737.0,30245.0,30874.0,31515.0,31897.0,32527.0,32148.0,31799.0,31831.0,31605.0,30945.0,30562.0,30293.0,30050.0,29676.0,29285.0,28543.0,28340.0,28009.0,27515.0,27117.0,26903.0,26984.0,26879.0,26896.0,27286.0,27160.0,27625.0,28129.0,28021.0,28682.0,29043.0,29312.0,29925.0,29899.0,30199.0,30398.0
K,6,29714.0,28508.0,27636.0,27383.0,26721.0,27902.0,25161.0,25194.0,25731.0,26305.0,26876.0,27629.0,28035.0,28578.0,29241.0,29705.0,30221.0,30845.0,31493.0,31876.0,32501.0,32124.0,31762.0,31802.0,31573.0,30916.0,30528.0,30267.0,30020.0,29645.0,29264.0,28506.0,28317.0,27980.0,27486.0,27091.0,26875.0,26949.0,26856.0,26872.0,27257.0,27135.0,27598.0,28089.0,27981.0,28656.0,29008.0,29285.0,29886.0,29860.0,30172.0
K,7,29958.0,29678.0,28476.0,27610.0,27356.0,26699.0,27875.0,25132.0,25172.0,25700.0,26277.0,26856.0,27587.0,28003.0,28557.0,29209.0,29687.0,30185.0,30818.0,31466.0,31844.0,32469.0,32094.0,31731.0,31773.0,31535.0,30878.0,30485.0,30236.0,29994.0,29607.0,29243.0,28482.0,28287.0,27947.0,27464.0,27069.0,26853.0,26921.0,26823.0,26841.0,27228.0,27106.0,27567.0,28055.0,27951.0,28629.0,28983.0,29256.0,29862.0,29830.0
K,8,30221.0,29932.0,29646.0,28452.0,27582.0,27331.0,26673.0,27848.0,25104.0,25152.0,25678.0,26247.0,26826.0,27562.0,27971.0,28529.0,29181.0,29659.0,30148.0,30796.0,31437.0,31810.0,32435.0,32066.0,31699.0,31743.0,31507.0,30844.0,30461.0,30199.0,29966.0,29576.0,29224.0,28455.0,28262.0,27913.0,27434.0,27043.0,26834.0,26897.0,26801.0,26816.0,27203.0,27081.0,27543.0,28033.0,27924.0,28603.0,28951.0,29231.0,29823.0
K,9,30613.0,30195.0,29900.0,29620.0,28426.0,27554.0,27301.0,26641.0,27813.0,25076.0,25130.0,25650.0,26221.0,26806.0,27537.0,27945.0,28498.0,29141.0,29631.0,30117.0,30762.0,31412.0,31781.0,32397.0,32038.0,31669.0,31697.0,31474.0,30798.0,30435.0,30158.0,29947.0,29542.0,29198.0,28422.0,28229.0,27878.0,27405.0,27015.0,26801.0,26875.0,26767.0,26780.0,27169.0,27051.0,27524.0,27997.0,27903.0,28574.0,28929.0,29208.0
K,10,31377.0,30584.0,30170.0,29874.0,29584.0,28403.0,27532.0,27275.0,26618.0,27787.0,25049.0,25096.0,25622.0,26203.0,26782.0,27494.0,27921.0,28468.0,29120.0,29591.0,30083.0,30735.0,31392.0,31751.0,32362.0,32024.0,31640.0,31660.0,31441.0,30761.0,30409.0,30133.0,29913.0,29504.0,29174.0,28402.0,28200.0,27859.0,27370.0,26989.0,26777.0,26851.0,26740.0,26757.0,27144.0,27034.0,27490.0,27976.0,27872.0,28540.0,28899.0
K,11,31526.0,31341.0,30556.0,30145.0,29840.0,29550.0,28368.0,27511.0,27243.0,26587.0,27747.0,25018.0,25075.0,25603.0,26171.0,26749.0,27465.0,27897.0,28442.0,29080.0,29565.0,30048.0,30698.0,31360.0,31729.0,32330.0,31989.0,31597.0,31631.0,31411.0,30734.0,30379.0,30104.0,29886.0,29473.0,29149.0,28375.0,28173.0,27827.0,27342.0,26958.0,26756.0,26828.0,26707.0,26737.0,27123.0,27008.0,27467.0,27954.0,27839.0,28513.0
K,12,32628.0,31488.0,31306.0,30525.0,30110.0,29798.0,29515.0,28335.0,27480.0,27212.0,26567.0,27712.0,24998.0,25059.0,25577.0,26156.0,26721.0,27436.0,27879.0,28413.0,29057.0,29535.0,30024.0,30669.0,31332.0,31699.0,32292.0,31952.0,31564.0,31605.0,31382.0,30708.0,30355.0,30076.0,29863.0,29448.0,29129.0,28351.0,28152.0,27797.0,27317.0,26934.0,26729.0,26798.0,26675.0,26707.0,27092.0,26984.0,27442.0,27923.0,27800.0
K,13,33044.0,32594.0,31450.0,31272.0,30499.0,30078.0,29762.0,29485.0,28301.0,27454.0,27178.0,26544.0,27674.0,24978.0,25031.0,25549.0,26127.0,26693.0,27408.0,27847.0,28387.0,29027.0,29503.0,29994.0,30638.0,31303.0,31674.0,32262.0,31917.0,31526.0,31576.0,31335.0,30682.0,30327.0,30050.0,29829.0,29425.0,29104.0,28321.0,28124.0,27771.0,27297.0,26904.0,26695.0,26773.0,26654.0,26686.0,27056.0,26955.0,27415.0,27900.0
K,14,32594.0,33004.0,32561.0,31416.0,31235.0,30468.0,30046.0,29732.0,29460.0,28274.0,27433.0,27147.0,26516.0,27637.0,24959.0,25011.0,25524.0,26095.0,26666.0,27388.0,27827.0,28361.0,28993.0,29476.0,29968.0,30607.0,31267.0,31642.0,32230.0,31884.0,31504.0,31551.0,31302.0,30644.0,30304.0,30027.0,29806.0,29397.0,29076.0,28290.0,28105.0,27731.0,27276.0,26870.0,26668.0,26746.0,26631.0,26670.0,27029.0,26930.0,27388.0
K,15,31915.0,32566.0,32962.0,32527.0,31387.0,31202.0,30440.0,30010.0,29695.0,29430.0,28248.0,27405.0,27116.0,26484.0,27612.0,24940.0,24978.0,25507.0,26072.0,26639.0,27363.0,27794.0,28330.0,28964.0,29449.0,29942.0,30576.0,31230.0,31608.0,32205.0,31861.0,31471.0,31522.0,31269.0,30611.0,30273.0,29991.0,29777.0,29373.0,29037.0,28271.0,28070.0,27706.0,27245.0,26847.0,26640.0,26723.0,26601.0,26650.0,27006.0,26904.0
