år,pop_2.1
2063,5347261
2064,5329745
2065,5312117
2066,5293820
2067,5275451
2068,5257398
2069,5239468
2070,5221180
2071,5202284
2072,5182438
2073,5161867
2074,5140229
2075,5117535
2076,5093968
2077,5069205
2078,5043154
2079,5015771
2080,4986696
2081,4956061
2082,4923885
2083,4890773
2084,4857235
2085,4823733
2086,4790667
2087,4757998
2088,4725706
2089,4694591
2090,4664955
2091,4636751
2092,4610022
2093,4585346
2094,4562885
2095,4542114
2096,4522595
2097,4504288
2098,4486462
2099,4469340
2100,4452162
2101,4434581
2102,4416975
2103,4399596
2104,4382437
2105,4365715
2106,4349389
2107,4333331
2108,4317309
2109,4301808
2110,4287050
2111,4272987
2112,4259629
2113,4246209
