år,pop_2.1
2023,5488984
2024,5524064
2025,5558835
2026,5594099
2027,5629238
2028,5664147
2029,5698684
2030,5732939
2031,5767004
2032,5800010
2033,5832787
2034,5864764
2035,5895720
2036,5926369
2037,5956064
2038,5983151
2039,6008135
2040,6030548
2041,6050323
2042,6067936
2043,6082979
2044,6094996
2045,6104329
2046,6111018
2047,6115023
2048,6116752
2049,6116339
2050,6113132
2051,6107731
2052,6100826
2053,6092455
2054,6082510
2055,6071072
2056,6058925
2057,6046733
2058,6033768
2059,6020635
2060,6006980
2061,5993641
2062,5979727
2063,5966735
2064,5953847
2065,5940338
2066,5926986
2067,5913585
2068,5899713
2069,5886241
2070,5872363
2071,5857778
2072,5842766
2073,5827229
