sex,alder,pop_2023,pop_2024,pop_2025,pop_2026,pop_2027,pop_2028,pop_2029,pop_2030,pop_2031,pop_2032,pop_2033,pop_2034,pop_2035,pop_2036,pop_2037,pop_2038,pop_2039,pop_2040,pop_2041,pop_2042,pop_2043,pop_2044,pop_2045,pop_2046,pop_2047,pop_2048,pop_2049,pop_2050,pop_2051,pop_2052,pop_2053,pop_2054,pop_2055,pop_2056,pop_2057,pop_2058
K,0,25310.0,19881.0,19623.0,19243.0,19259.0,19186.0,18809.0,18788.0,18465.0,18221.0,18073.0,17984.0,17772.0,17687.0,17576.0,17560.0,17300.0,17427.0,17225.0,17283.0,17039.0,16840.0,16533.0,16358.0,15976.0,15790.0,15064.0,15070.0,14543.0,14085.0,13604.0,13043.0,12572.0,12216.0,11831.0,11608.0
K,1,28037.0,25305.0,19871.0,19613.0,19238.0,19254.0,19183.0,18804.0,18782.0,18456.0,18213.0,18064.0,17979.0,17764.0,17681.0,17573.0,17560.0,17298.0,17421.0,17222.0,17279.0,17039.0,16839.0,16532.0,16358.0,15975.0,15789.0,15062.0,15070.0,14543.0,14085.0,13604.0,13042.0,12570.0,12216.0,11829.0
K,2,26820.0,28027.0,25289.0,19861.0,19609.0,19230.0,19249.0,19174.0,18798.0,18780.0,18449.0,18208.0,18061.0,17972.0,17762.0,17679.0,17567.0,17558.0,17297.0,17419.0,17218.0,17277.0,17037.0,16836.0,16532.0,16358.0,15975.0,15788.0,15061.0,15068.0,14543.0,14085.0,13602.0,13042.0,12568.0,12216.0
K,3,27466.0,26808.0,28017.0,25278.0,19850.0,19601.0,19222.0,19245.0,19168.0,18791.0,18775.0,18441.0,18204.0,18057.0,17968.0,17757.0,17678.0,17563.0,17553.0,17294.0,17417.0,17215.0,17275.0,17035.0,16835.0,16532.0,16358.0,15974.0,15788.0,15061.0,15068.0,14543.0,14085.0,13600.0,13042.0,12568.0
K,4,27692.0,27456.0,26801.0,28006.0,25270.0,19839.0,19597.0,19214.0,19238.0,19162.0,18786.0,18770.0,18436.0,18199.0,18052.0,17964.0,17752.0,17673.0,17560.0,17552.0,17293.0,17414.0,17212.0,17274.0,17032.0,16835.0,16532.0,16358.0,15974.0,15788.0,15060.0,15068.0,14542.0,14084.0,13600.0,13042.0
K,5,28546.0,27690.0,27454.0,26798.0,28005.0,25268.0,19839.0,19596.0,19213.0,19238.0,19162.0,18786.0,18770.0,18435.0,18199.0,18052.0,17964.0,17752.0,17673.0,17560.0,17552.0,17293.0,17413.0,17212.0,17274.0,17032.0,16835.0,16532.0,16358.0,15974.0,15788.0,15060.0,15068.0,14542.0,14083.0,13599.0
K,6,29714.0,28544.0,27689.0,27452.0,26795.0,28005.0,25267.0,19839.0,19595.0,19213.0,19237.0,19161.0,18786.0,18769.0,18435.0,18198.0,18051.0,17964.0,17751.0,17672.0,17560.0,17552.0,17292.0,17413.0,17212.0,17274.0,17032.0,16835.0,16532.0,16358.0,15974.0,15788.0,15060.0,15068.0,14542.0,14083.0
K,7,29958.0,29712.0,28541.0,27684.0,27451.0,26793.0,28002.0,25265.0,19838.0,19593.0,19213.0,19237.0,19160.0,18786.0,18769.0,18435.0,18198.0,18049.0,17964.0,17751.0,17672.0,17559.0,17551.0,17292.0,17413.0,17212.0,17274.0,17032.0,16835.0,16532.0,16358.0,15974.0,15788.0,15060.0,15068.0,14542.0
K,8,30221.0,29958.0,29711.0,28539.0,27683.0,27449.0,26790.0,27999.0,25264.0,19838.0,19592.0,19213.0,19237.0,19158.0,18786.0,18769.0,18435.0,18198.0,18049.0,17964.0,17751.0,17672.0,17559.0,17550.0,17292.0,17413.0,17212.0,17274.0,17032.0,16835.0,16532.0,16358.0,15973.0,15788.0,15060.0,15068.0
K,9,30613.0,30220.0,29956.0,29710.0,28538.0,27682.0,27448.0,26788.0,27998.0,25264.0,19836.0,19592.0,19212.0,19235.0,19158.0,18786.0,18769.0,18435.0,18198.0,18049.0,17963.0,17751.0,17672.0,17559.0,17550.0,17292.0,17413.0,17212.0,17274.0,17032.0,16835.0,16531.0,16358.0,15973.0,15788.0,15060.0
K,10,31377.0,30613.0,30220.0,29953.0,29707.0,28536.0,27677.0,27447.0,26787.0,27998.0,25263.0,19833.0,19592.0,19209.0,19235.0,19158.0,18786.0,18768.0,18435.0,18198.0,18049.0,17963.0,17751.0,17672.0,17559.0,17550.0,17292.0,17413.0,17212.0,17274.0,17032.0,16835.0,16531.0,16358.0,15973.0,15788.0
K,11,31526.0,31374.0,30610.0,30218.0,29951.0,29704.0,28535.0,27676.0,27446.0,26786.0,27995.0,25259.0,19830.0,19592.0,19208.0,19234.0,19158.0,18786.0,18768.0,18435.0,18198.0,18048.0,17963.0,17751.0,17672.0,17559.0,17550.0,17292.0,17413.0,17212.0,17274.0,17032.0,16835.0,16531.0,16358.0,15973.0
K,12,32628.0,31526.0,31374.0,30608.0,30213.0,29949.0,29700.0,28534.0,27675.0,27444.0,26784.0,27995.0,25257.0,19830.0,19590.0,19208.0,19234.0,19158.0,18784.0,18768.0,18435.0,18198.0,18048.0,17963.0,17751.0,17671.0,17559.0,17550.0,17292.0,17413.0,17211.0,17274.0,17032.0,16835.0,16530.0,16358.0
K,13,33044.0,32627.0,31526.0,31371.0,30607.0,30213.0,29948.0,29699.0,28533.0,27673.0,27443.0,26783.0,27994.0,25256.0,19830.0,19588.0,19207.0,19234.0,19158.0,18784.0,18768.0,18435.0,18197.0,18047.0,17963.0,17750.0,17671.0,17559.0,17550.0,17292.0,17413.0,17211.0,17274.0,17032.0,16835.0,16530.0
K,14,32594.0,33044.0,32626.0,31520.0,31368.0,30606.0,30212.0,29945.0,29698.0,28533.0,27672.0,27442.0,26783.0,27993.0,25256.0,19829.0,19588.0,19206.0,19234.0,19158.0,18784.0,18767.0,18435.0,18197.0,18047.0,17963.0,17750.0,17671.0,17559.0,17550.0,17292.0,17413.0,17210.0,17274.0,17032.0,16835.0
K,15,31915.0,32588.0,33037.0,32625.0,31514.0,31362.0,30603.0,30205.0,29937.0,29694.0,28527.0,27664.0,27440.0,26778.0,27990.0,25254.0,19828.0,19587.0,19205.0,19232.0,19157.0,18784.0,18767.0,18434.0,18195.0,18046.0,17962.0,17749.0,17671.0,17559.0,17549.0,17292.0,17412.0,17210.0,17273.0,17032.0
K,16,32102.0,31910.0,32579.0,33026.0,32620.0,31504.0,31353.0,30600.0,30202.0,29928.0,29690.0,28524.0,27661.0,27436.0,26776.0,27987.0,25254.0,19826.0,19584.0,19205.0,19231.0,19157.0,18781.0,18764.0,18433.0,18195.0,18046.0,17960.0,17748.0,17670.0,17557.0,17549.0,17292.0,17411.0,17210.0,17272.0
K,17,31505.0,32098.0,31905.0,32577.0,33018.0,32610.0,31497.0,31345.0,30598.0,30199.0,29923.0,29685.0,28521.0,27659.0,27431.0,26773.0,27984.0,25252.0,19823.0,19582.0,19205.0,19229.0,19157.0,18781.0,18764.0,18432.0,18193.0,18045.0,17960.0,17746.0,17668.0,17557.0,17548.0,17291.0,17410.0,17210.0
K,18,31573.0,31502.0,32091.0,31899.0,32571.0,33013.0,32605.0,31492.0,31332.0,30592.0,30195.0,29920.0,29676.0,28515.0,27654.0,27424.0,26771.0,27982.0,25251.0,19820.0,19581.0,19204.0,19228.0,19155.0,18781.0,18764.0,18432.0,18191.0,18045.0,17960.0,17746.0,17668.0,17556.0,17548.0,17291.0,17409.0
K,19,31441.0,31571.0,31492.0,32082.0,31895.0,32567.0,33006.0,32601.0,31486.0,31330.0,30590.0,30188.0,29913.0,29673.0,28513.0,27653.0,27421.0,26770.0,27979.0,25250.0,19819.0,19579.0,19204.0,19227.0,19154.0,18781.0,18764.0,18431.0,18190.0,18045.0,17960.0,17746.0,17667.0,17556.0,17548.0,17291.0
