,årstall,0 barn,1 barn,2 barn,3 barn,4 barn eller flere,gjennomsnittlig barnetall,kjønn,alder
1,1935,"16,9","18,5","35,5","20,2","8,9","1,86",Kvinne,30
2,1940,"15,8","16,8","36,0","22,0","9,3","1,92",Kvinne,30
3,1945,"15,2","18,4","41,3","19,1","5,9","1,82",Kvinne,30
4,1950,"16,9","21,1","44,8","14,3","2,9","1,65",Kvinne,30
5,1955,"22,4","23,9","39,4","12,1","2,3","1,48",Kvinne,30
6,1960,"26,2","25,1","34,8","11,7","2,3","1,39",Kvinne,30
7,1965,"29,4","25,7","32,1","10,6","2,1","1,31",Kvinne,30
8,1970,"33,8","26,2","29,1","9,0","1,9","1,19",Kvinne,30
9,1975,"39,2","26,3","25,6","7,2","1,7","1,06",Kvinne,30
10,1980,"41,1","27,3","23,5","6,5","1,6","1,01",Kvinne,30
11,1985,"43,4","26,1","23,0","6,0","1,5","0,97",Kvinne,30
12,1990,"49,9","23,8","20,3","4,9","1,1","0,84",Kvinne,30
13,1994,"56,3","21,4","17,6","4,0","0,7","0,71",Kvinne,30
