,årstall,0 barn,1 barn,2 barn,3 barn,4 barn eller flere,gjennomsnittlig barnetall,kjønn,alder
1,1940,"13,9","10,0","35,8","26,4","13,9","2,22",Mannen,45
2,1945,"13,3","11,5","40,4","24,3","10,5","2,09",Mannen,45
3,1950,"14,8","12,6","41,0","22,3","9,3","2,02",Mannen,45
4,1955,"17,2","13,5","37,1","23,1","9,2","1,98",Mannen,45
5,1960,"20,7","13,4","34,1","22,7","9,1","1,90",Mannen,45
6,1965,"22,9","14,3","34,1","20,8","7,9","1,80",Mannen,45
7,1970,"23,4","14,8","35,4","19,4","7,0","1,75",Mannen,45
8,1975,"25,5","15,0","35,7","18,0","5,8","1,66",Mannen,45
9,1979,"27,1","15,1","35,9","16,5","5,4","1,60",Mannen,45
