,årstall,0 barn,1 barn,2 barn,3 barn,4 barn eller flere,gjennomsnittlig barnetall,kjønn,alder
1,1935,"82,6","14,9","2,4","0,1","0,0","0,20",Kvinnen,20
2,1940,"79,6","16,9","3,2","0,3","0,0","0,24",Kvinnen,20
3,1945,"78,4","17,2","4,1","0,3","0,0","0,26",Kvinnen,20
4,1950,"76,7","19,0","4,0","0,3","0,0","0,28",Kvinnen,20
5,1955,"77,4","19,7","2,8","0,1","0,0","0,26",Kvinnen,20
6,1960,"84,2","14,2","1,6","0,1","0,0","0,18",Kvinnen,20
7,1965,"88,5","10,3","1,1","0,1","0,0","0,13",Kvinnen,20
8,1970,"89,7","9,3","0,9","0,1","0,0","0,11",Kvinnen,20
9,1975,"91,5","7,6","0,8","0,1","0,0","0,09",Kvinnen,20
10,1980,"92,3","6,9","0,7","0,1","0,0","0,09",Kvinnen,20
11,1985,"93,8","5,6","0,6","0,1","0,0","0,07",Kvinnen,20
12,1990,"94,1","5,4","0,6","0,0","0,0","0,07",Kvinnen,20
13,1995,"96,3","3,3","0,4","0,0","0,0","0,04",Kvinnen,20
14,2000,"98,2","1,5","0,2","0,0","0,0","0,02",Kvinnen,20
15,2004,"98,9","1,02","0,08",0,"0,0","0,01",Kvinnen,20
