år,pop_1.5
2023,5488984
2024,5498949
2025,5508419
2026,5517069
2027,5525174
2028,5532794
2029,5539658
2030,5545904
2031,5551491
2032,5556558
2033,5561017
2034,5565197
2035,5568916
2036,5572414
2037,5575442
2038,5578225
2039,5580830
2040,5583300
2041,5585509
2042,5587375
2043,5588638
2044,5589508
2045,5589998
2046,5589926
2047,5589310
2048,5588057
2049,5586266
2050,5583919
2051,5579910
2052,5573558
2053,5564808
2054,5553691
2055,5540264
2056,5524199
2057,5505572
2058,5484465
