sex,alder,pop_2038,pop_2039,pop_2040,pop_2041,pop_2042,pop_2043,pop_2044,pop_2045,pop_2046,pop_2047,pop_2048,pop_2049,pop_2050,pop_2051,pop_2052,pop_2053,pop_2054,pop_2055,pop_2056,pop_2057,pop_2058
K,28,32938.0,32524.0,31434.0,31280.0,30534.0,30147.0,29882.0,29638.0,28463.0,27636.0,27410.0,26745.0,27953.0,25225.0,26800.0,26622.0,26142.0,26017.0,25752.0,25471.0,25351.0
K,29,32476.0,32931.0,32514.0,31430.0,31277.0,30526.0,30144.0,29879.0,29633.0,28460.0,27633.0,27408.0,26744.0,27952.0,25224.0,26799.0,26619.0,26140.0,26016.0,25752.0,25471.0
K,30,31786.0,32466.0,32928.0,32509.0,31427.0,31274.0,30526.0,30143.0,29876.0,29631.0,28458.0,27633.0,27406.0,26742.0,27951.0,25224.0,26798.0,26617.0,26139.0,26016.0,25752.0
K,31,32002.0,31778.0,32461.0,32922.0,32504.0,31426.0,31269.0,30524.0,30142.0,29870.0,29630.0,28455.0,27631.0,27404.0,26740.0,27949.0,25224.0,26797.0,26617.0,26139.0,26015.0
K,32,31395.0,31995.0,31770.0,32457.0,32919.0,32503.0,31421.0,31266.0,30521.0,30140.0,29867.0,29629.0,28454.0,27630.0,27403.0,26739.0,27948.0,25224.0,26796.0,26614.0,26139.0
K,33,31466.0,31392.0,31986.0,31766.0,32452.0,32913.0,32496.0,31421.0,31265.0,30519.0,30137.0,29864.0,29628.0,28454.0,27630.0,27402.0,26739.0,27948.0,25224.0,26795.0,26614.0
K,34,31327.0,31460.0,31387.0,31981.0,31763.0,32450.0,32911.0,32489.0,31411.0,31260.0,30513.0,30132.0,29862.0,29628.0,28451.0,27626.0,27402.0,26739.0,27946.0,25224.0,26793.0
K,35,30991.0,31319.0,31451.0,31383.0,31976.0,31759.0,32447.0,32902.0,32484.0,31407.0,31258.0,30513.0,30128.0,29861.0,29627.0,28447.0,27626.0,27400.0,26736.0,27945.0,25223.0
K,36,31457.0,30984.0,31310.0,31445.0,31375.0,31971.0,31750.0,32445.0,32897.0,32480.0,31407.0,31257.0,30510.0,30126.0,29860.0,29625.0,28444.0,27623.0,27395.0,26732.0,27943.0
K,37,32720.0,31445.0,30982.0,31299.0,31437.0,31370.0,31970.0,31743.0,32442.0,32894.0,32477.0,31405.0,31257.0,30509.0,30124.0,29858.0,29625.0,28443.0,27621.0,27391.0,26731.0
K,38,32933.0,32718.0,31441.0,30981.0,31293.0,31429.0,31367.0,31964.0,31736.0,32434.0,32890.0,32474.0,31402.0,31256.0,30507.0,30121.0,29856.0,29621.0,28442.0,27620.0,27391.0
K,39,33227.0,32927.0,32713.0,31436.0,30978.0,31286.0,31424.0,31360.0,31959.0,31734.0,32429.0,32888.0,32470.0,31397.0,31256.0,30504.0,30120.0,29855.0,29621.0,28440.0,27619.0
K,40,34221.0,33216.0,32910.0,32702.0,31430.0,30974.0,31280.0,31413.0,31354.0,31954.0,31730.0,32427.0,32887.0,32467.0,31395.0,31255.0,30499.0,30117.0,29853.0,29617.0,28436.0
K,41,35538.0,34208.0,33200.0,32902.0,32688.0,31415.0,30966.0,31276.0,31410.0,31343.0,31950.0,31725.0,32421.0,32876.0,32463.0,31388.0,31252.0,30499.0,30116.0,29852.0,29614.0
K,42,35732.0,35526.0,34191.0,33184.0,32893.0,32680.0,31406.0,30961.0,31271.0,31401.0,31338.0,31942.0,31721.0,32415.0,32875.0,32463.0,31382.0,31249.0,30499.0,30114.0,29851.0
K,43,36178.0,35725.0,35512.0,34179.0,33177.0,32888.0,32675.0,31399.0,30954.0,31268.0,31398.0,31332.0,31939.0,31717.0,32411.0,32873.0,32460.0,31377.0,31248.0,30496.0,30112.0
K,44,36766.0,36171.0,35714.0,35501.0,34170.0,33170.0,32881.0,32670.0,31393.0,30950.0,31266.0,31391.0,31330.0,31935.0,31714.0,32409.0,32870.0,32456.0,31376.0,31245.0,30492.0
K,45,37433.0,36747.0,36158.0,35708.0,35490.0,34156.0,33156.0,32870.0,32665.0,31388.0,30942.0,31252.0,31383.0,31326.0,31930.0,31711.0,32401.0,32863.0,32452.0,31371.0,31244.0
K,46,38275.0,37418.0,36728.0,36141.0,35689.0,35477.0,34147.0,33148.0,32862.0,32657.0,31378.0,30941.0,31247.0,31377.0,31323.0,31924.0,31709.0,32397.0,32856.0,32450.0,31369.0
K,47,39082.0,38254.0,37399.0,36716.0,36128.0,35678.0,35464.0,34135.0,33138.0,32853.0,32650.0,31367.0,30932.0,31245.0,31374.0,31317.0,31919.0,31707.0,32394.0,32853.0,32450.0
K,48,38590.0,39065.0,38240.0,37387.0,36700.0,36112.0,35672.0,35452.0,34126.0,33129.0,32843.0,32643.0,31362.0,30927.0,31241.0,31372.0,31314.0,31915.0,31704.0,32388.0,32849.0
K,49,38255.0,38572.0,39043.0,38225.0,37372.0,36678.0,36102.0,35658.0,35441.0,34123.0,33117.0,32834.0,32638.0,31356.0,30926.0,31239.0,31368.0,31313.0,31912.0,31699.0,32387.0
K,50,37095.0,38219.0,38530.0,39017.0,38205.0,37349.0,36658.0,36086.0,35636.0,35429.0,34108.0,33111.0,32823.0,32628.0,31350.0,30921.0,31234.0,31361.0,31309.0,31904.0,31694.0
K,51,36380.0,37064.0,38189.0,38500.0,38982.0,38182.0,37336.0,36639.0,36066.0,35616.0,35422.0,34094.0,33101.0,32815.0,32625.0,31344.0,30910.0,31223.0,31357.0,31301.0,31900.0
K,52,35761.0,36351.0,37035.0,38161.0,38480.0,38970.0,38163.0,37323.0,36620.0,36051.0,35613.0,35407.0,34084.0,33090.0,32809.0,32617.0,31333.0,30903.0,31218.0,31349.0,31295.0
K,53,35473.0,35733.0,36322.0,37015.0,38127.0,38450.0,38946.0,38144.0,37305.0,36608.0,36040.0,35606.0,35397.0,34075.0,33079.0,32804.0,32608.0,31326.0,30899.0,31213.0,31346.0
K,54,34803.0,35444.0,35712.0,36300.0,36992.0,38099.0,38427.0,38931.0,38126.0,37282.0,36594.0,36029.0,35597.0,35384.0,34067.0,33075.0,32791.0,32600.0,31322.0,30899.0,31208.0
K,55,35025.0,34763.0,35401.0,35678.0,36248.0,36961.0,38068.0,38396.0,38890.0,38108.0,37260.0,36577.0,36011.0,35586.0,35366.0,34052.0,33066.0,32782.0,32591.0,31308.0,30891.0
K,56,34421.0,34977.0,34724.0,35357.0,35652.0,36217.0,36926.0,38035.0,38375.0,38857.0,38095.0,37240.0,36562.0,35998.0,35568.0,35356.0,34042.0,33056.0,32773.0,32576.0,31303.0
K,57,34501.0,34387.0,34939.0,34689.0,35325.0,35610.0,36180.0,36891.0,38009.0,38341.0,38831.0,38087.0,37231.0,36549.0,35985.0,35559.0,35345.0,34029.0,33049.0,32761.0,32572.0
K,58,33903.0,34472.0,34351.0,34904.0,34655.0,35288.0,35584.0,36150.0,36868.0,37980.0,38320.0,38816.0,38072.0,37223.0,36534.0,35974.0,35548.0,35338.0,34020.0,33038.0,32750.0
K,59,33497.0,33867.0,34440.0,34310.0,34862.0,34625.0,35256.0,35556.0,36123.0,36838.0,37954.0,38305.0,38806.0,38063.0,37208.0,36527.0,35965.0,35538.0,35330.0,34015.0,33027.0
