år,pop_1.1
2063,5347261
2064,5305365
2065,5263343
2066,5221218
2067,5179367
2068,5137992
2069,5097025
2070,5056001
2071,5014746
2072,4972665
2073,4930268
2074,4886928
2075,4842907
2076,4798164
2077,4752522
2078,4706002
2079,4658491
2080,4609518
2081,4559020
2082,4507148
2083,4454679
2084,4401813
2085,4348986
2086,4296355
2087,4244018
2088,4191726
2089,4140095
2090,4089081
2091,4038554
2092,3988220
2093,3938660
2094,3889775
2095,3841277
2096,3792686
2097,3743958
2098,3694816
2099,3645378
2100,3595194
2101,3544357
2102,3493217
2103,3442254
2104,3391651
2105,3341671
2106,3292164
2107,3243083
2108,3194303
2109,3146476
2110,3099688
2111,3053804
2112,3008890
2113,2964130
