sex,alder,pop_2023,pop_2024,pop_2025,pop_2026,pop_2027,pop_2028,pop_2029,pop_2030,pop_2031,pop_2032,pop_2033,pop_2034,pop_2035,pop_2036,pop_2037,pop_2038
K,0,25310.0,26871.0,26712.0,26207.0,26073.0,25814.0,25536.0,25403.0,25043.0,24711.0,24728.0,24329.0,23944.0,23756.0,23822.0,23788.0
K,1,28037.0,25303.0,26865.0,26701.0,26196.0,26066.0,25801.0,25526.0,25394.0,25031.0,24704.0,24718.0,24322.0,23939.0,23752.0,23820.0
K,2,26820.0,28024.0,25293.0,26855.0,26684.0,26182.0,26057.0,25794.0,25516.0,25384.0,25025.0,24697.0,24712.0,24316.0,23931.0,23748.0
K,3,27466.0,26808.0,28010.0,25285.0,26845.0,26674.0,26171.0,26051.0,25789.0,25506.0,25381.0,25019.0,24690.0,24704.0,24302.0,23927.0
K,4,27692.0,27458.0,26801.0,28000.0,25273.0,26832.0,26663.0,26165.0,26045.0,25780.0,25500.0,25377.0,25012.0,24685.0,24702.0,24298.0
K,5,28546.0,27689.0,27456.0,26799.0,27998.0,25269.0,26830.0,26663.0,26165.0,26044.0,25779.0,25500.0,25377.0,25012.0,24685.0,24702.0
K,6,29714.0,28544.0,27688.0,27455.0,26798.0,27998.0,25267.0,26830.0,26661.0,26164.0,26041.0,25778.0,25500.0,25376.0,25012.0,24684.0
K,7,29958.0,29714.0,28543.0,27687.0,27455.0,26798.0,27996.0,25266.0,26830.0,26659.0,26164.0,26041.0,25777.0,25500.0,25374.0,25012.0
K,8,30221.0,29958.0,29714.0,28541.0,27687.0,27455.0,26796.0,27995.0,25263.0,26830.0,26658.0,26163.0,26041.0,25776.0,25498.0,25373.0
K,9,30613.0,30221.0,29955.0,29711.0,28538.0,27686.0,27452.0,26794.0,27995.0,25262.0,26829.0,26657.0,26163.0,26041.0,25776.0,25498.0
K,10,31377.0,30612.0,30220.0,29954.0,29709.0,28534.0,27686.0,27450.0,26794.0,27991.0,25261.0,26828.0,26656.0,26163.0,26039.0,25774.0
K,11,31526.0,31374.0,30611.0,30220.0,29951.0,29708.0,28534.0,27685.0,27450.0,26793.0,27989.0,25260.0,26827.0,26655.0,26161.0,26037.0
K,12,32628.0,31524.0,31371.0,30611.0,30216.0,29950.0,29708.0,28533.0,27682.0,27449.0,26793.0,27987.0,25258.0,26823.0,26652.0,26160.0
K,13,33044.0,32628.0,31523.0,31370.0,30611.0,30215.0,29948.0,29708.0,28532.0,27679.0,27448.0,26792.0,27986.0,25256.0,26822.0,26651.0
K,14,32594.0,33044.0,32627.0,31523.0,31369.0,30607.0,30212.0,29946.0,29707.0,28532.0,27676.0,27446.0,26791.0,27986.0,25256.0,26822.0
K,15,31915.0,32589.0,33039.0,32619.0,31518.0,31362.0,30606.0,30207.0,29939.0,29702.0,28524.0,27673.0,27443.0,26790.0,27985.0,25255.0
K,16,32102.0,31907.0,32582.0,33031.0,32610.0,31508.0,31358.0,30600.0,30202.0,29933.0,29698.0,28522.0,27672.0,27441.0,26787.0,27984.0
K,17,31505.0,32097.0,31900.0,32576.0,33023.0,32605.0,31496.0,31351.0,30592.0,30197.0,29932.0,29688.0,28515.0,27672.0,27438.0,26782.0
K,18,31573.0,31498.0,32092.0,31896.0,32565.0,33018.0,32596.0,31488.0,31339.0,30587.0,30192.0,29927.0,29685.0,28508.0,27669.0,27436.0
K,19,31441.0,31568.0,31492.0,32087.0,31888.0,32560.0,33008.0,32588.0,31483.0,31334.0,30577.0,30188.0,29917.0,29676.0,28502.0,27667.0
K,20,31111.0,31438.0,31559.0,31486.0,32076.0,31879.0,32554.0,32998.0,32576.0,31479.0,31323.0,30570.0,30183.0,29915.0,29669.0,28494.0
