sex,alder,pop_2023,pop_2024,pop_2025,pop_2026,pop_2027,pop_2028,pop_2029,pop_2030,pop_2031,pop_2032,pop_2033,pop_2034,pop_2035,pop_2036,pop_2037,pop_2038,pop_2039,pop_2040,pop_2041,pop_2042,pop_2043,pop_2044,pop_2045,pop_2046,pop_2047,pop_2048,pop_2049,pop_2050,pop_2051,pop_2052,pop_2053,pop_2054,pop_2055,pop_2056,pop_2057,pop_2058
K,16,32102.0,31905.0,32581.0,33031.0,32606.0,31512.0,31357.0,30585.0,30200.0,29932.0,29686.0,28531.0,27662.0,27438.0,26765.0,27996.0,25249.0,37629.0,36983.0,36677.0,36384.0,35880.0,35300.0,35048.0,34957.0,34102.0,33642.0,33681.0,33350.0,33160.0,32831.0,32698.0,32296.0,32249.0,32051.0,31802.0
K,17,31505.0,32098.0,31901.0,32574.0,33022.0,32598.0,31500.0,31349.0,30579.0,30194.0,29928.0,29684.0,28526.0,27658.0,27436.0,26763.0,27994.0,25245.0,37625.0,36980.0,36675.0,36384.0,35874.0,35300.0,35045.0,34956.0,34098.0,33642.0,33679.0,33349.0,33158.0,32830.0,32696.0,32294.0,32249.0,32051.0
K,18,31573.0,31498.0,32093.0,31894.0,32568.0,33012.0,32593.0,31495.0,31343.0,30575.0,30185.0,29921.0,29676.0,28523.0,27656.0,27428.0,26760.0,27986.0,25243.0,37621.0,36976.0,36672.0,36382.0,35870.0,35297.0,35042.0,34954.0,34097.0,33641.0,33676.0,33347.0,33158.0,32829.0,32695.0,32292.0,32248.0
K,19,31441.0,31571.0,31493.0,32088.0,31884.0,32562.0,33002.0,32587.0,31488.0,31329.0,30569.0,30182.0,29911.0,29671.0,28521.0,27652.0,27424.0,26757.0,27984.0,25240.0,37614.0,36973.0,36666.0,36377.0,35868.0,35296.0,35041.0,34950.0,34096.0,33640.0,33675.0,33345.0,33158.0,32828.0,32694.0,32292.0
K,20,31111.0,31431.0,31563.0,31486.0,32079.0,31874.0,32554.0,32995.0,32577.0,31476.0,31324.0,30559.0,30176.0,29905.0,29667.0,28517.0,27649.0,27422.0,26755.0,27977.0,25235.0,37609.0,36970.0,36657.0,36375.0,35863.0,35295.0,35036.0,34948.0,34096.0,33638.0,33673.0,33344.0,33158.0,32825.0,32691.0
K,21,31588.0,31103.0,31426.0,31559.0,31478.0,32069.0,31870.0,32543.0,32985.0,32567.0,31469.0,31320.0,30555.0,30171.0,29902.0,29662.0,28512.0,27644.0,27418.0,26750.0,27971.0,25231.0,37604.0,36968.0,36654.0,36374.0,35861.0,35288.0,35030.0,34945.0,34094.0,33636.0,33671.0,33344.0,33155.0,32824.0
K,22,32878.0,31578.0,31097.0,31415.0,31551.0,31468.0,32060.0,31861.0,32535.0,32982.0,32558.0,31462.0,31313.0,30553.0,30167.0,29898.0,29658.0,28506.0,27639.0,27415.0,26746.0,27969.0,25230.0,37601.0,36964.0,36651.0,36373.0,35859.0,35288.0,35026.0,34945.0,34093.0,33634.0,33669.0,33342.0,33154.0
K,23,33088.0,32874.0,31573.0,31086.0,31404.0,31540.0,31455.0,32050.0,31854.0,32523.0,32975.0,32554.0,31459.0,31305.0,30549.0,30163.0,29894.0,29652.0,28500.0,27637.0,27411.0,26744.0,27968.0,25227.0,37599.0,36961.0,36651.0,36373.0,35858.0,35287.0,35025.0,34943.0,34092.0,33633.0,33668.0,33342.0
K,24,33364.0,33074.0,32866.0,31565.0,31084.0,31392.0,31536.0,31449.0,32038.0,31844.0,32515.0,32961.0,32545.0,31453.0,31303.0,30543.0,30158.0,29888.0,29645.0,28495.0,27633.0,27409.0,26742.0,27965.0,25225.0,37595.0,36956.0,36651.0,36372.0,35855.0,35286.0,35024.0,34941.0,34091.0,33631.0,33666.0
K,25,34378.0,33359.0,33061.0,32850.0,31551.0,31067.0,31379.0,31526.0,31442.0,32025.0,31826.0,32508.0,32954.0,32534.0,31448.0,31299.0,30536.0,30154.0,29882.0,29642.0,28490.0,27629.0,27405.0,26739.0,27964.0,25222.0,37593.0,36952.0,36649.0,36369.0,35854.0,35283.0,35022.0,34940.0,34090.0,33629.0
K,26,35747.0,34365.0,33344.0,33049.0,32840.0,31535.0,31058.0,31363.0,31516.0,31428.0,32013.0,31823.0,32498.0,32945.0,32529.0,31444.0,31290.0,30532.0,30150.0,29879.0,29638.0,28488.0,27622.0,27403.0,26738.0,27963.0,25221.0,37590.0,36949.0,36647.0,36367.0,35853.0,35282.0,35021.0,34939.0,34088.0
K,27,35920.0,35736.0,34356.0,33330.0,33041.0,32829.0,31516.0,31045.0,31346.0,31512.0,31417.0,32003.0,31811.0,32490.0,32938.0,32517.0,31443.0,31283.0,30527.0,30146.0,29873.0,29635.0,28483.0,27619.0,27399.0,26736.0,27961.0,25219.0,37583.0,36946.0,36646.0,36365.0,35850.0,35282.0,35021.0,34938.0
K,28,36385.0,35914.0,35728.0,34344.0,33321.0,33027.0,32820.0,31503.0,31034.0,31329.0,31503.0,31404.0,31993.0,31806.0,32482.0,32933.0,32514.0,31437.0,31280.0,30521.0,30139.0,29867.0,29634.0,28477.0,27616.0,27399.0,26733.0,27959.0,25215.0,37581.0,36946.0,36645.0,36364.0,35849.0,35281.0,35020.0
K,29,36994.0,36380.0,35905.0,35717.0,34326.0,33310.0,33010.0,32808.0,31494.0,31023.0,31320.0,31495.0,31396.0,31985.0,31802.0,32475.0,32927.0,32509.0,31431.0,31275.0,30514.0,30139.0,29863.0,29627.0,28476.0,27615.0,27397.0,26728.0,27959.0,25213.0,37581.0,36943.0,36644.0,36362.0,35848.0,35281.0
K,30,37694.0,36989.0,36368.0,35893.0,35703.0,34316.0,33299.0,32994.0,32802.0,31491.0,31016.0,31314.0,31487.0,31388.0,31980.0,31790.0,32467.0,32923.0,32502.0,31422.0,31271.0,30510.0,30134.0,29862.0,29625.0,28471.0,27613.0,27395.0,26725.0,27958.0,25213.0,37578.0,36943.0,36641.0,36360.0,35848.0
