år,pop_2.1
2023,5488984
2024,5520436
2025,5550894
2026,5580271
2027,5608620
2028,5635751
2029,5661724
2030,5686663
2031,5710724
2032,5733794
2033,5755754
2034,5776982
2035,5797650
2036,5817654
2037,5837123
2038,5856074
2039,5874320
2040,5892046
2041,5909333
2042,5925907
2043,5941931
2044,5957299
2045,5972266
2046,5986473
2047,6000219
2048,6013837
2049,6027166
2050,6040695
2051,6054408
2052,6068762
2053,6084133
2054,6100366
2055,6115936
2056,6130363
2057,6143150
2058,6154682
