sex,alder,pop_2023,pop_2024,pop_2025,pop_2026,pop_2027,pop_2028,pop_2029,pop_2030,pop_2031,pop_2032,pop_2033,pop_2034,pop_2035,pop_2036,pop_2037,pop_2038,pop_2039,pop_2040,pop_2041,pop_2042,pop_2043,pop_2044,pop_2045,pop_2046,pop_2047,pop_2048,pop_2049,pop_2050,pop_2051,pop_2052,pop_2053,pop_2054,pop_2055,pop_2056,pop_2057,pop_2058,pop_2059,pop_2060,pop_2061,pop_2062,pop_2063,pop_2064,pop_2065,pop_2066,pop_2067,pop_2068,pop_2069,pop_2070,pop_2071,pop_2072,pop_2073,pop_2074,pop_2075,pop_2076,pop_2077,pop_2078,pop_2079,pop_2080,pop_2081,pop_2082,pop_2083,pop_2084,pop_2085,pop_2086,pop_2087,pop_2088,pop_2089,pop_2090,pop_2091,pop_2092,pop_2093,pop_2094,pop_2095,pop_2096,pop_2097,pop_2098,pop_2099,pop_2100,pop_2101,pop_2102,pop_2103,pop_2104,pop_2105,pop_2106,pop_2107,pop_2108,pop_2109,pop_2110,pop_2111,pop_2112,pop_2113,pop_2114,pop_2115,pop_2116,pop_2117,pop_2118,pop_2119,pop_2120,pop_2121,pop_2122,pop_2123
K,10,31377.0,30612.0,30221.0,29957.0,29710.0,28537.0,27685.0,27451.0,26785.0,28000.0,25266.0,27011.0,26661.0,26368.0,26152.0,25775.0,25687.0,24952.0,25087.0,24683.0,24624.0,24346.0,24061.0,23838.0,23855.0,23454.0,23702.0,23563.0,23173.0,23213.0,23233.0,22965.0,22360.0,22304.0,21941.0,21681.0,21463.0,21080.0,21005.0,20502.0,20232.0,20126.0,19796.0,19505.0,19429.0,19153.0,19125.0,18925.0,18850.0,18492.0,18395.0,18345.0,18301.0,17911.0,17915.0,17605.0,17564.0,17433.0,17386.0,17279.0,17065.0,16904.0,16654.0,16774.0,16370.0,16241.0,16149.0,15987.0,15727.0,15526.0,15474.0,15160.0,15025.0,14921.0,14519.0,14531.0,14233.0,14289.0,14147.0,14050.0,13832.0,13669.0,13616.0,13360.0,13465.0,13410.0,13023.0,12995.0,12981.0,12678.0,12847.0,12538.0,12549.0,12498.0,12372.0,12070.0,12162.0,12138.0,11813.0,11626.0,11603.0
K,11,31526.0,31376.0,30610.0,30216.0,29954.0,29706.0,28536.0,27685.0,27451.0,26784.0,27997.0,25265.0,27010.0,26660.0,26366.0,26151.0,25774.0,25687.0,24952.0,25086.0,24683.0,24624.0,24346.0,24061.0,23838.0,23855.0,23454.0,23702.0,23563.0,23173.0,23213.0,23233.0,22965.0,22360.0,22303.0,21941.0,21681.0,21463.0,21080.0,21004.0,20502.0,20232.0,20126.0,19796.0,19505.0,19429.0,19153.0,19125.0,18925.0,18850.0,18492.0,18395.0,18345.0,18301.0,17911.0,17915.0,17605.0,17563.0,17433.0,17386.0,17279.0,17065.0,16904.0,16654.0,16774.0,16370.0,16241.0,16149.0,15986.0,15727.0,15526.0,15474.0,15160.0,15025.0,14921.0,14519.0,14531.0,14233.0,14289.0,14147.0,14050.0,13832.0,13669.0,13616.0,13360.0,13465.0,13410.0,13023.0,12995.0,12981.0,12678.0,12847.0,12538.0,12549.0,12498.0,12372.0,12070.0,12162.0,12138.0,11813.0,11626.0
K,12,32628.0,31523.0,31372.0,30610.0,30214.0,29949.0,29702.0,28533.0,27684.0,27451.0,26783.0,27997.0,25265.0,27009.0,26659.0,26365.0,26149.0,25774.0,25687.0,24951.0,25086.0,24681.0,24623.0,24346.0,24061.0,23836.0,23855.0,23453.0,23702.0,23562.0,23173.0,23213.0,23233.0,22965.0,22360.0,22303.0,21941.0,21680.0,21463.0,21080.0,21004.0,20502.0,20232.0,20126.0,19796.0,19505.0,19429.0,19153.0,19125.0,18925.0,18850.0,18492.0,18393.0,18345.0,18301.0,17911.0,17915.0,17604.0,17563.0,17433.0,17386.0,17279.0,17065.0,16904.0,16654.0,16774.0,16370.0,16241.0,16149.0,15986.0,15727.0,15526.0,15474.0,15160.0,15025.0,14921.0,14519.0,14531.0,14233.0,14289.0,14147.0,14050.0,13832.0,13669.0,13616.0,13360.0,13464.0,13410.0,13023.0,12995.0,12981.0,12678.0,12847.0,12538.0,12549.0,12498.0,12372.0,12070.0,12162.0,12138.0,11813.0
K,13,33044.0,32627.0,31520.0,31370.0,30609.0,30210.0,29949.0,29699.0,28530.0,27684.0,27451.0,26782.0,27996.0,25265.0,27008.0,26657.0,26362.0,26147.0,25773.0,25686.0,24951.0,25086.0,24681.0,24623.0,24346.0,24060.0,23835.0,23853.0,23452.0,23702.0,23562.0,23173.0,23213.0,23233.0,22965.0,22360.0,22303.0,21941.0,21680.0,21463.0,21079.0,21004.0,20502.0,20232.0,20126.0,19796.0,19505.0,19429.0,19153.0,19125.0,18925.0,18850.0,18492.0,18393.0,18345.0,18301.0,17910.0,17915.0,17604.0,17563.0,17433.0,17386.0,17279.0,17065.0,16904.0,16654.0,16774.0,16369.0,16241.0,16149.0,15986.0,15727.0,15526.0,15474.0,15159.0,15024.0,14921.0,14519.0,14531.0,14233.0,14289.0,14146.0,14050.0,13832.0,13669.0,13616.0,13360.0,13463.0,13410.0,13023.0,12995.0,12981.0,12678.0,12846.0,12538.0,12548.0,12498.0,12372.0,12070.0,12162.0,12138.0
K,14,32594.0,33043.0,32624.0,31516.0,31369.0,30607.0,30209.0,29949.0,29695.0,28530.0,27683.0,27446.0,26781.0,27995.0,25265.0,27007.0,26655.0,26361.0,26147.0,25773.0,25684.0,24950.0,25086.0,24681.0,24623.0,24346.0,24060.0,23835.0,23853.0,23451.0,23702.0,23562.0,23173.0,23213.0,23233.0,22965.0,22360.0,22303.0,21941.0,21679.0,21463.0,21077.0,21004.0,20502.0,20232.0,20126.0,19796.0,19505.0,19429.0,19153.0,19125.0,18925.0,18850.0,18492.0,18393.0,18345.0,18301.0,17909.0,17915.0,17604.0,17563.0,17433.0,17386.0,17279.0,17065.0,16904.0,16654.0,16774.0,16369.0,16241.0,16149.0,15986.0,15727.0,15526.0,15474.0,15159.0,15024.0,14921.0,14519.0,14531.0,14233.0,14289.0,14146.0,14050.0,13832.0,13669.0,13616.0,13360.0,13463.0,13410.0,13023.0,12995.0,12981.0,12678.0,12846.0,12538.0,12548.0,12498.0,12372.0,12070.0,12162.0
K,15,31915.0,32591.0,33033.0,32617.0,31507.0,31358.0,30601.0,30208.0,29945.0,29691.0,28527.0,27678.0,27440.0,26777.0,27989.0,25261.0,27004.0,26651.0,26360.0,26146.0,25771.0,25684.0,24950.0,25082.0,24681.0,24623.0,24345.0,24058.0,23834.0,23853.0,23451.0,23701.0,23562.0,23171.0,23213.0,23230.0,22964.0,22360.0,22303.0,21941.0,21679.0,21463.0,21076.0,21003.0,20502.0,20231.0,20125.0,19795.0,19505.0,19429.0,19153.0,19125.0,18925.0,18850.0,18492.0,18391.0,18345.0,18301.0,17909.0,17915.0,17604.0,17563.0,17433.0,17386.0,17279.0,17065.0,16904.0,16654.0,16774.0,16368.0,16241.0,16148.0,15986.0,15727.0,15525.0,15474.0,15159.0,15024.0,14921.0,14519.0,14531.0,14233.0,14289.0,14146.0,14050.0,13832.0,13669.0,13616.0,13359.0,13463.0,13410.0,13022.0,12994.0,12981.0,12677.0,12843.0,12538.0,12548.0,12498.0,12372.0,12070.0
K,16,32102.0,31907.0,32580.0,33024.0,32608.0,31502.0,31353.0,30593.0,30203.0,29940.0,29685.0,28525.0,27675.0,27437.0,26772.0,27984.0,25261.0,27002.0,26648.0,26359.0,26144.0,25770.0,25681.0,24950.0,25082.0,24679.0,24623.0,24344.0,24057.0,23833.0,23852.0,23450.0,23701.0,23561.0,23170.0,23213.0,23230.0,22964.0,22360.0,22303.0,21941.0,21679.0,21462.0,21076.0,21002.0,20501.0,20230.0,20124.0,19794.0,19504.0,19429.0,19152.0,19125.0,18925.0,18848.0,18491.0,18391.0,18345.0,18301.0,17908.0,17913.0,17604.0,17562.0,17432.0,17386.0,17279.0,17065.0,16904.0,16654.0,16773.0,16368.0,16241.0,16148.0,15985.0,15727.0,15525.0,15474.0,15159.0,15024.0,14921.0,14519.0,14531.0,14233.0,14288.0,14146.0,14050.0,13832.0,13669.0,13615.0,13358.0,13463.0,13410.0,13022.0,12994.0,12980.0,12676.0,12843.0,12538.0,12548.0,12498.0,12371.0
K,17,31505.0,32098.0,31905.0,32575.0,33017.0,32606.0,31495.0,31346.0,30584.0,30200.0,29935.0,29682.0,28519.0,27673.0,27434.0,26769.0,27980.0,25259.0,26996.0,26645.0,26357.0,26143.0,25769.0,25680.0,24949.0,25081.0,24678.0,24623.0,24344.0,24056.0,23833.0,23849.0,23450.0,23700.0,23559.0,23170.0,23211.0,23230.0,22963.0,22360.0,22303.0,21939.0,21679.0,21462.0,21075.0,21000.0,20501.0,20229.0,20124.0,19794.0,19502.0,19429.0,19152.0,19125.0,18924.0,18848.0,18491.0,18391.0,18345.0,18301.0,17908.0,17913.0,17604.0,17562.0,17431.0,17385.0,17278.0,17063.0,16904.0,16654.0,16773.0,16367.0,16240.0,16147.0,15985.0,15727.0,15525.0,15474.0,15159.0,15024.0,14920.0,14519.0,14531.0,14233.0,14288.0,14145.0,14050.0,13832.0,13669.0,13614.0,13358.0,13463.0,13410.0,13022.0,12993.0,12980.0,12676.0,12843.0,12538.0,12548.0,12498.0
K,18,31573.0,31501.0,32086.0,31895.0,32564.0,33012.0,32599.0,31486.0,31338.0,30576.0,30194.0,29934.0,29673.0,28513.0,27673.0,27433.0,26764.0,27978.0,25258.0,26995.0,26642.0,26355.0,26143.0,25768.0,25680.0,24946.0,25080.0,24677.0,24623.0,24344.0,24055.0,23833.0,23848.0,23450.0,23700.0,23558.0,23169.0,23211.0,23230.0,22963.0,22360.0,22303.0,21939.0,21679.0,21462.0,21074.0,21000.0,20500.0,20229.0,20123.0,19794.0,19502.0,19429.0,19152.0,19124.0,18924.0,18848.0,18491.0,18390.0,18345.0,18301.0,17908.0,17913.0,17603.0,17561.0,17431.0,17385.0,17278.0,17063.0,16904.0,16654.0,16773.0,16367.0,16240.0,16147.0,15984.0,15726.0,15525.0,15474.0,15159.0,15023.0,14920.0,14519.0,14531.0,14233.0,14287.0,14145.0,14049.0,13832.0,13669.0,13614.0,13357.0,13462.0,13410.0,13022.0,12993.0,12979.0,12675.0,12843.0,12538.0,12548.0
K,19,31441.0,31565.0,31498.0,32074.0,31890.0,32557.0,33007.0,32592.0,31479.0,31334.0,30570.0,30187.0,29932.0,29669.0,28510.0,27670.0,27427.0,26762.0,27977.0,25255.0,26995.0,26641.0,26351.0,26143.0,25767.0,25677.0,24944.0,25080.0,24676.0,24623.0,24343.0,24054.0,23833.0,23847.0,23450.0,23699.0,23558.0,23169.0,23211.0,23230.0,22961.0,22360.0,22303.0,21939.0,21678.0,21459.0,21073.0,20998.0,20500.0,20229.0,20123.0,19793.0,19501.0,19428.0,19152.0,19123.0,18923.0,18848.0,18491.0,18390.0,18345.0,18301.0,17908.0,17913.0,17601.0,17561.0,17430.0,17384.0,17278.0,17063.0,16904.0,16654.0,16772.0,16366.0,16240.0,16147.0,15983.0,15726.0,15525.0,15474.0,15159.0,15022.0,14920.0,14519.0,14531.0,14233.0,14287.0,14145.0,14048.0,13831.0,13669.0,13614.0,13357.0,13462.0,13410.0,13021.0,12993.0,12978.0,12674.0,12843.0,12538.0
