år,pop_2.1
2038,5578769
2039,5581315
2040,5587422
2041,5596978
2042,5609858
2043,5625748
2044,5644429
2045,5662165
2046,5678973
2047,5694722
2048,5709644
2049,5723398
2050,5736049
2051,5747838
2052,5757155
2053,5763734
2054,5767741
2055,5769340
2056,5768037
2057,5764129
2058,5757539
