år,pop_1.1
2023,5488984
2024,5484682
2025,5480111
2026,5474995
2027,5469617
2028,5464000
2029,5457967
2030,5451602
2031,5444821
2032,5437630
2033,5430196
2034,5422630
2035,5414887
2036,5407006
2037,5399015
2038,5390967
2039,5382771
2040,5374465
2041,5365997
2042,5357256
2043,5348408
2044,5339294
2045,5329787
2046,5319760
2047,5309360
2048,5298254
2049,5285374
2050,5269888
2051,5251468
2052,5230272
2053,5206526
2054,5180211
2055,5151141
2056,5118925
2057,5084022
2058,5046510
