år,pop_2.1
2038,5578769
2039,5581535
2040,5587635
2041,5597275
2042,5609934
2043,5625844
2044,5644454
2045,5662220
2046,5679139
2047,5694899
2048,5709808
2049,5723596
2050,5736247
2051,5747988
2052,5757310
2053,5764012
2054,5768241
2055,5769688
2056,5768418
2057,5764431
2058,5757838
2059,5748980
2060,5737767
2061,5724275
2062,5709313
2063,5692965
2064,5675514
2065,5657695
2066,5639537
2067,5622090
2068,5605550
2069,5590477
2070,5576089
2071,5562569
2072,5549778
2073,5537656
2074,5525886
2075,5514660
2076,5503733
2077,5492448
2078,5480800
