sex,alder,pop_2023,pop_2024,pop_2025,pop_2026
K,0,25310.0,27327.0,27044.0,26910.0
K,1,28037.0,25497.0,27527.0,27148.0
K,2,26820.0,28204.0,25677.0,27610.0
K,3,27466.0,27013.0,28407.0,25776.0
K,4,27692.0,27656.0,27223.0,28497.0
K,5,28546.0,27908.0,27891.0,27336.0
K,6,29714.0,28769.0,28148.0,27980.0
K,7,29958.0,29906.0,28962.0,28251.0
K,8,30221.0,30192.0,30128.0,29082.0
K,9,30613.0,30425.0,30396.0,30233.0
K,10,31377.0,30845.0,30656.0,30482.0
K,11,31526.0,31606.0,31083.0,30770.0
K,12,32628.0,31774.0,31851.0,31200.0
K,13,33044.0,32842.0,32004.0,31951.0
K,14,32594.0,33291.0,33077.0,32124.0
K,15,31915.0,32834.0,33537.0,33188.0
K,16,32102.0,32164.0,33065.0,33640.0
K,17,31505.0,32372.0,32394.0,33167.0
K,18,31573.0,31748.0,32592.0,32499.0
K,19,31441.0,31831.0,31975.0,32702.0
K,20,31111.0,31694.0,32069.0,32085.0
K,21,31588.0,31376.0,31941.0,32175.0
K,22,32878.0,31845.0,31614.0,32040.0
K,23,33088.0,33116.0,32057.0,31717.0
K,24,33364.0,33332.0,33353.0,32144.0
K,25,34378.0,33641.0,33571.0,33464.0
K,26,35747.0,34624.0,33909.0,33682.0
K,27,35920.0,36026.0,34924.0,34005.0
K,28,36385.0,36168.0,36273.0,35049.0
K,29,36994.0,36657.0,36458.0,36401.0
K,30,37694.0,37282.0,36937.0,36602.0
K,31,38587.0,37964.0,37563.0,37060.0
K,32,39395.0,38873.0,38242.0,37688.0
K,33,38889.0,39663.0,39126.0,38346.0
K,34,38601.0,39190.0,39990.0,39246.0
K,35,37403.0,38900.0,39492.0,40096.0
K,36,36743.0,37678.0,39152.0,39611.0
K,37,36160.0,37013.0,37922.0,39283.0
K,38,35848.0,36449.0,37310.0,38051.0
K,39,35243.0,36101.0,36737.0,37436.0
K,40,35525.0,35494.0,36354.0,36839.0
K,41,34990.0,35770.0,35746.0,36468.0
K,42,35089.0,35251.0,36025.0,35858.0
K,43,34563.0,35338.0,35488.0,36151.0
K,44,34236.0,34833.0,35566.0,35635.0
K,45,33520.0,34466.0,35067.0,35664.0
K,46,34033.0,33776.0,34745.0,35196.0
K,47,35177.0,34297.0,34021.0,34853.0
K,48,36600.0,35422.0,34553.0,34123.0
K,49,36215.0,36845.0,35692.0,34671.0
K,50,37446.0,36503.0,37114.0,35802.0
K,51,37536.0,37702.0,36783.0,37237.0
K,52,37024.0,37825.0,37971.0,36904.0
K,53,37660.0,37297.0,38090.0,38106.0
K,54,37209.0,37920.0,37591.0,38210.0
K,55,36217.0,37450.0,38151.0,37698.0
K,56,35480.0,36495.0,37712.0,38245.0
K,57,34879.0,35731.0,36755.0,37832.0
K,58,34275.0,35106.0,36001.0,36858.0
K,59,33194.0,34524.0,35382.0,36117.0
K,60,32018.0,33408.0,34713.0,35468.0
K,61,31506.0,32257.0,33609.0,34815.0
K,62,31028.0,31734.0,32487.0,33678.0
K,63,30842.0,31247.0,31952.0,32559.0
K,64,30683.0,31095.0,31488.0,32054.0
K,65,29874.0,30571.0,30963.0,31253.0
K,66,30085.0,29761.0,30514.0,30739.0
K,67,29117.0,29972.0,29684.0,30304.0
K,68,28485.0,29014.0,29850.0,29439.0
K,69,27981.0,28368.0,28939.0,29640.0
K,70,27198.0,27587.0,27984.0,28409.0
K,71,25526.0,26743.0,27166.0,27507.0
K,72,25882.0,25173.0,26316.0,26705.0
K,73,25567.0,25504.0,24822.0,25865.0
K,74,25427.0,25180.0,25144.0,24418.0
K,75,25805.0,24459.0,24320.0,24202.0
