sex,alder,pop_2023,pop_4107,pop_4108,pop_4109,pop_4110,pop_4111,pop_4112,pop_4113,pop_4114,pop_4115,pop_4116,pop_4117,pop_4118,pop_4119,pop_4120,pop_4121,pop_4122,pop_4123,pop_4124,pop_4125,pop_4126,pop_4127,pop_4128,pop_4129,pop_4130,pop_4131,pop_4132,pop_4133,pop_4134,pop_4135,pop_4136,pop_4137,pop_4138,pop_4139,pop_4140,pop_4141,pop_4142,pop_4143,pop_4144,pop_4145,pop_4146,pop_4147,pop_4148,pop_4149,pop_4150,pop_4151,pop_4152,pop_4153,pop_4154,pop_4155,pop_4156,pop_4157,pop_4158,pop_4159,pop_4160,pop_4161,pop_4162,pop_4163
M,64,34976.0,34491.0,33439.0,34862.0,32260.0,32345.0,32051.0,31718.0,31345.0,31097.0,30906.0,30618.0,30205.0,29905.0,29621.0,29492.0,29183.0,29171.0,28879.0,28621.0,28645.0,28563.0,28307.0,28378.0,28026.0,27703.0,27378.0,27036.0,26777.0,26524.0,26247.0,25592.0,25523.0,25106.0,24728.0,24470.0,24377.0,23988.0,23893.0,23625.0,23348.0,23050.0,22815.0,22610.0,22696.0,22370.0,22175.0,21910.0,21763.0,21599.0,21700.0,21323.0,21134,20994,20755.0,20679.0,20513.0,20236.0
M,65,35601.0,34934.0,34458.0,33391.0,34832.0,32239.0,32323.0,32010.0,31682.0,31318.0,31062.0,30882.0,30583.0,30174.0,29888.0,29582.0,29468.0,29153.0,29140.0,28854.0,28591.0,28618.0,28543.0,28282.0,28353.0,27998.0,27674.0,27340.0,27010.0,26748.0,26487.0,26227.0,25577.0,25499.0,25080.0,24701.0,24438.0,24347.0,23962.0,23866.0,23597.0,23329.0,23024.0,22791.0,22584.0,22668.0,22352.0,22152.0,21883.0,21730.0,21576.0,21673.0,21299,21119,20975.0,20725.0,20658.0,20489.0
M,66,37008.0,35566.0,34893.0,34427.0,33359.0,34795.0,32206.0,32291.0,31976.0,31652.0,31285.0,31025.0,30858.0,30547.0,30146.0,29862.0,29560.0,29443.0,29128.0,29114.0,28817.0,28561.0,28590.0,28508.0,28250.0,28319.0,27978.0,27651.0,27316.0,26986.0,26722.0,26454.0,26196.0,25560.0,25474.0,25044.0,24684.0,24410.0,24316.0,23934.0,23842.0,23571.0,23308.0,22999.0,22760.0,22564.0,22640.0,22323.0,22114.0,21863.0,21707.0,21543.0,21647,21273,21085.0,20959.0,20699.0,20634.0
M,67,36800.0,36966.0,35519.0,34853.0,34394.0,33334.0,34753.0,32163.0,32247.0,31938.0,31619.0,31260.0,30994.0,30828.0,30521.0,30123.0,29833.0,29530.0,29405.0,29102.0,29081.0,28793.0,28533.0,28563.0,28468.0,28219.0,28293.0,27940.0,27626.0,27287.0,26960.0,26689.0,26424.0,26168.0,25532.0,25451.0,25023.0,24652.0,24381.0,24290.0,23904.0,23821.0,23540.0,23281.0,22964.0,22735.0,22539.0,22617.0,22290.0,22090.0,21840.0,21675.0,21505,21616,21242.0,21059.0,20937.0,20679.0
M,68,36891.0,36745.0,36915.0,35485.0,34808.0,34354.0,33301.0,34723.0,32128.0,32214.0,31901.0,31600.0,31235.0,30969.0,30804.0,30490.0,30089.0,29805.0,29507.0,29372.0,29068.0,29042.0,28763.0,28506.0,28538.0,28434.0,28182.0,28267.0,27914.0,27595.0,27259.0,26934.0,26655.0,26385.0,26136.0,25510.0,25425.0,24993.0,24619.0,24357.0,24258.0,23873.0,23801.0,23514.0,23260.0,22937.0,22704.0,22512.0,22593.0,22261.0,22067.0,21818.0,21655,21487,21580.0,21226.0,21025.0,20906.0
M,69,36561.0,36845.0,36707.0,36870.0,35451.0,34775.0,34315.0,33266.0,34685.0,32096.0,32182.0,31864.0,31574.0,31203.0,30939.0,30767.0,30463.0,30065.0,29772.0,29482.0,29346.0,29043.0,29010.0,28737.0,28470.0,28502.0,28406.0,28144.0,28239.0,27892.0,27568.0,27229.0,26910.0,26622.0,26353.0,26114.0,25488.0,25401.0,24971.0,24590.0,24324.0,24240.0,23850.0,23771.0,23478.0,23243.0,22919.0,22651.0,22484.0,22559.0,22230.0,22045.0,21798,21628,21465.0,21551.0,21192.0,20992.0
M,70,37293.0,36479.0,36752.0,36625.0,36803.0,35379.0,34701.0,34235.0,33196.0,34617.0,32043.0,32116.0,31800.0,31518.0,31150.0,30865.0,30700.0,30406.0,30017.0,29713.0,29428.0,29287.0,28981.0,28957.0,28686.0,28420.0,28454.0,28358.0,28080.0,28185.0,27838.0,27519.0,27176.0,26868.0,26574.0,26295.0,26053.0,25435.0,25344.0,24931.0,24540.0,24270.0,24181.0,23805.0,23726.0,23437.0,23194.0,22874.0,22598.0,22431.0,22506.0,22161.0,22004,21753,21582.0,21408.0,21500.0,21131.0
M,71,37497.0,37202.0,36401.0,36679.0,36538.0,36726.0,35313.0,34655.0,34154.0,33133.0,34544.0,31991.0,32058.0,31739.0,31458.0,31088.0,30798.0,30640.0,30350.0,29966.0,29663.0,29386.0,29224.0,28917.0,28896.0,28631.0,28346.0,28396.0,28301.0,28036.0,28126.0,27785.0,27475.0,27126.0,26821.0,26519.0,26231.0,26003.0,25385.0,25290.0,24877.0,24491.0,24219.0,24131.0,23750.0,23673.0,23388.0,23145.0,22827.0,22548.0,22375.0,22459.0,22115,21952,21693.0,21528.0,21360.0,21444.0
M,72,37926.0,37429.0,37120.0,36327.0,36600.0,36459.0,36655.0,35216.0,34569.0,34087.0,33064.0,34476.0,31938.0,31993.0,31671.0,31409.0,31014.0,30741.0,30592.0,30302.0,29896.0,29624.0,29315.0,29166.0,28846.0,28840.0,28574.0,28288.0,28336.0,28251.0,27979.0,28082.0,27723.0,27402.0,27071.0,26757.0,26475.0,26173.0,25947.0,25326.0,25230.0,24831.0,24435.0,24165.0,24086.0,23705.0,23636.0,23328.0,23095.0,22778.0,22483.0,22319.0,22401,22068,21904.0,21641.0,21475.0,21309.0
M,73,38232.0,37842.0,37359.0,37030.0,36250.0,36533.0,36387.0,36563.0,35141.0,34485.0,34016.0,33006.0,34406.0,31882.0,31925.0,31601.0,31356.0,30960.0,30672.0,30534.0,30254.0,29836.0,29558.0,29248.0,29105.0,28791.0,28781.0,28506.0,28230.0,28277.0,28184.0,27935.0,28023.0,27667.0,27354.0,27013.0,26710.0,26419.0,26127.0,25898.0,25278.0,25186.0,24774.0,24378.0,24126.0,24029.0,23656.0,23579.0,23287.0,23050.0,22746.0,22433.0,22260,22358,22007.0,21854.0,21584.0,21417.0
