sex,alder,pop_2023,pop_2114,pop_2115,pop_2116,pop_2117,pop_2118,pop_2119,pop_2120,pop_2121,pop_2122,pop_2123
K,53,24600.0,24530.0,24332.0,24010.0,23996.0,23840.0,23818.0,23473.0,23394.0,23164.0,23124.0
K,54,24691.0,24649.0,24575.0,24370.0,24055.0,24032.0,23876.0,23842.0,23504.0,23425.0,23192.0
K,55,25187.0,24728.0,24684.0,24609.0,24401.0,24081.0,24054.0,23908.0,23874.0,23535.0,23448.0
K,56,25226.0,25223.0,24760.0,24717.0,24647.0,24434.0,24116.0,24079.0,23943.0,23901.0,23562.0
K,57,25699.0,25273.0,25261.0,24795.0,24747.0,24679.0,24465.0,24149.0,24112.0,23962.0,23932.0
K,58,25840.0,25733.0,25310.0,25292.0,24810.0,24780.0,24708.0,24495.0,24171.0,24144.0,23997.0
K,59,26247.0,25882.0,25763.0,25343.0,25327.0,24837.0,24821.0,24743.0,24522.0,24190.0,24174.0
K,60,26424.0,26277.0,25903.0,25785.0,25359.0,25351.0,24863.0,24838.0,24767.0,24549.0,24204.0
K,61,26625.0,26448.0,26303.0,25925.0,25797.0,25388.0,25370.0,24887.0,24860.0,24784.0,24573.0
K,62,26846.0,26643.0,26478.0,26325.0,25950.0,25822.0,25411.0,25388.0,24910.0,24889.0,24803.0
K,63,27212.0,26872.0,26666.0,26496.0,26360.0,25977.0,25843.0,25445.0,25407.0,24924.0,24910.0
K,64,27498.0,27248.0,26891.0,26696.0,26530.0,26383.0,26008.0,25865.0,25465.0,25430.0,24932.0
K,65,27737.0,27416.0,27167.0,26796.0,26617.0,26459.0,26278.0,25911.0,25770.0,25386.0,25341.0
K,66,28040.0,27630.0,27319.0,27079.0,26678.0,26520.0,26363.0,26176.0,25820.0,25671.0,25318.0
K,67,28114.0,27935.0,27537.0,27226.0,26968.0,26558.0,26398.0,26267.0,26085.0,25741.0,25563.0
K,68,28202.0,28018.0,27833.0,27438.0,27125.0,26886.0,26463.0,26288.0,26173.0,26000.0,25634.0
K,69,28293.0,28082.0,27922.0,27740.0,27338.0,27029.0,26797.0,26368.0,26187.0,26077.0,25911.0
K,70,28261.0,28079.0,27886.0,27659.0,27487.0,27111.0,26805.0,26528.0,26155.0,25948.0,25852.0
K,71,27882.0,28010.0,27835.0,27684.0,27431.0,27283.0,26868.0,26584.0,26301.0,25939.0,25739.0
K,72,28308.0,27631.0,27796.0,27603.0,27471.0,27224.0,27061.0,26638.0,26344.0,26070.0,25718.0
K,73,28101.0,28046.0,27376.0,27572.0,27382.0,27218.0,26996.0,26843.0,26397.0,26124.0,25834.0
K,74,28031.0,27870.0,27798.0,27152.0,27324.0,27141.0,26981.0,26774.0,26595.0,26162.0,25893.0
K,75,27826.0,27507.0,27333.0,27289.0,26651.0,26844.0,26660.0,26466.0,26327.0,26141.0,25687.0
K,76,27207.0,27339.0,27005.0,26893.0,26805.0,26214.0,26366.0,26212.0,26013.0,25868.0,25675.0
K,77,26853.0,26713.0,26842.0,26508.0,26469.0,26338.0,25770.0,25925.0,25768.0,25597.0,25376.0
K,78,26556.0,26321.0,26285.0,26367.0,26053.0,26042.0,25901.0,25290.0,25441.0,25312.0,25171.0
