sex,alder,pop_2023,pop_2054,pop_2055,pop_2056,pop_2057,pop_2058,pop_2059,pop_2060,pop_2061,pop_2062,pop_2063
K,0,22748.0,22673.0,22306.0,22256.0,21885.0,21983.0,21619.0,21602.0,21553.0,21397.0,21073.0
K,1,22915.0,22814.0,22745.0,22371.0,22331.0,21960.0,22034.0,21685.0,21666.0,21611.0,21452.0
K,2,23195.0,22980.0,22876.0,22817.0,22429.0,22409.0,22024.0,22109.0,21756.0,21730.0,21653.0
K,3,23455.0,23266.0,23047.0,22953.0,22877.0,22503.0,22475.0,22083.0,22192.0,21808.0,21801.0
K,4,23834.0,23525.0,23346.0,23103.0,23023.0,22943.0,22550.0,22533.0,22143.0,22255.0,21876.0
K,5,23944.0,23927.0,23614.0,23415.0,23185.0,23087.0,23022.0,22645.0,22614.0,22213.0,22318.0
K,6,24563.0,24025.0,23997.0,23686.0,23500.0,23249.0,23167.0,23100.0,22724.0,22689.0,22283.0
K,7,24850.0,24646.0,24092.0,24087.0,23773.0,23582.0,23322.0,23253.0,23168.0,22793.0,22768.0
K,8,25013.0,24921.0,24740.0,24172.0,24167.0,23846.0,23647.0,23400.0,23327.0,23243.0,22868.0
K,9,25200.0,25095.0,25001.0,24825.0,24258.0,24242.0,23916.0,23736.0,23477.0,23387.0,23303.0
K,10,25451.0,25283.0,25154.0,25080.0,24928.0,24330.0,24323.0,24008.0,23804.0,23571.0,23461.0
K,11,25497.0,25524.0,25371.0,25238.0,25158.0,25003.0,24418.0,24402.0,24089.0,23868.0,23648.0
K,12,26067.0,25575.0,25626.0,25448.0,25312.0,25230.0,25088.0,24502.0,24499.0,24171.0,23937.0
K,13,26110.0,26168.0,25668.0,25703.0,25518.0,25391.0,25309.0,25164.0,24582.0,24567.0,24259.0
K,14,26325.0,26191.0,26262.0,25734.0,25792.0,25603.0,25469.0,25387.0,25248.0,24647.0,24629.0
K,15,26768.0,26410.0,26279.0,26352.0,25814.0,25871.0,25673.0,25546.0,25455.0,25322.0,24734.0
K,16,26712.0,26867.0,26482.0,26358.0,26423.0,25906.0,25943.0,25755.0,25633.0,25535.0,25410.0
K,17,26806.0,26799.0,26946.0,26561.0,26425.0,26509.0,25994.0,26023.0,25833.0,25709.0,25611.0
K,18,26922.0,26893.0,26894.0,27035.0,26638.0,26520.0,26579.0,26078.0,26098.0,25914.0,25786.0
K,19,27199.0,27028.0,26973.0,26973.0,27115.0,26713.0,26611.0,26645.0,26148.0,26174.0,25999.0
K,20,27408.0,27271.0,27127.0,27042.0,27053.0,27187.0,26799.0,26692.0,26723.0,26242.0,26248.0
K,21,27579.0,27486.0,27355.0,27210.0,27135.0,27138.0,27275.0,26881.0,26779.0,26797.0,26313.0
K,22,27830.0,27658.0,27570.0,27441.0,27286.0,27219.0,27213.0,27345.0,26956.0,26850.0,26875.0
K,23,28009.0,27914.0,27728.0,27667.0,27531.0,27362.0,27300.0,27284.0,27425.0,27013.0,26934.0
K,24,28353.0,28091.0,27996.0,27807.0,27735.0,27601.0,27444.0,27374.0,27358.0,27492.0,27090.0
K,25,28773.0,28458.0,28189.0,28082.0,27907.0,27831.0,27690.0,27537.0,27470.0,27444.0,27581.0
K,26,29233.0,28874.0,28534.0,28298.0,28176.0,27989.0,27932.0,27781.0,27625.0,27546.0,27519.0
K,27,29175.0,29325.0,28958.0,28617.0,28376.0,28268.0,28082.0,28021.0,27871.0,27725.0,27632.0
K,28,29690.0,29263.0,29400.0,29055.0,28699.0,28465.0,28345.0,28183.0,28110.0,27973.0,27806.0
K,29,30089.0,29789.0,29347.0,29477.0,29148.0,28780.0,28555.0,28438.0,28255.0,28190.0,28049.0
K,30,28504.0,30198.0,29886.0,29438.0,29581.0,29234.0,28874.0,28667.0,28533.0,28336.0,28278.0
K,31,31158.0,28605.0,30288.0,29973.0,29530.0,29691.0,29330.0,28958.0,28742.0,28635.0,28431.0
K,32,29960.0,31235.0,28710.0,30385.0,30073.0,29628.0,29782.0,29408.0,29047.0,28855.0,28724.0
K,33,30720.0,30055.0,31338.0,28801.0,30482.0,30175.0,29720.0,29872.0,29507.0,29137.0,28952.0
