sex,alder,pop_2023,pop_2024,pop_2025,pop_2026
M,25,36562.0,35627.0,36071.0,35842.0
M,26,37633.0,36832.0,35893.0,36193.0
M,27,37911.0,37901.0,37071.0,36004.0
M,28,38057.0,38189.0,38178.0,37208.0
M,29,38611.0,38323.0,38431.0,38299.0
M,30,39820.0,38897.0,38567.0,38557.0
M,31,40282.0,40083.0,39191.0,38693.0
M,32,40727.0,40550.0,40383.0,39336.0
M,33,40275.0,41001.0,40823.0,40507.0
M,34,40075.0,40541.0,41303.0,40932.0
M,35,38393.0,40333.0,40788.0,41414.0
M,36,38662.0,38661.0,40631.0,40930.0
M,37,37985.0,38958.0,38908.0,40745.0
M,38,37174.0,38262.0,39230.0,39035.0
M,39,37362.0,37448.0,38531.0,39344.0
M,40,37429.0,37610.0,37716.0,38659.0
M,41,36190.0,37706.0,37852.0,37816.0
M,42,36976.0,36465.0,37953.0,37975.0
M,43,36250.0,37273.0,36722.0,38092.0
M,44,36012.0,36511.0,37519.0,36830.0
M,45,34884.0,36269.0,36749.0,37632.0
M,46,35776.0,35145.0,36519.0,36879.0
M,47,36463.0,36037.0,35392.0,36637.0
M,48,37822.0,36743.0,36288.0,35486.0
M,49,38079.0,38065.0,36986.0,36389.0
M,50,39204.0,38342.0,38332.0,37105.0
M,51,38960.0,39505.0,38615.0,38442.0
M,52,38530.0,39220.0,39787.0,38752.0
M,53,39127.0,38787.0,39499.0,39895.0
M,54,38711.0,39391.0,39094.0,39603.0
M,55,37445.0,38956.0,39689.0,39226.0
M,56,37508.0,37694.0,39223.0,39798.0
M,57,36634.0,37736.0,37965.0,39330.0
M,58,35796.0,36869.0,37965.0,38103.0
M,59,33856.0,36037.0,37143.0,38066.0
M,60,33238.0,34069.0,36231.0,37238.0
M,61,32420.0,33442.0,34281.0,36328.0
M,62,31875.0,32643.0,33672.0,34385.0
M,63,31627.0,32105.0,32842.0,33763.0
M,64,30857.0,31862.0,32298.0,32929.0
M,65,29861.0,30736.0,31701.0,32021.0
M,66,29798.0,29792.0,30571.0,31454.0
M,67,28764.0,29671.0,29745.0,30320.0
M,68,27721.0,28638.0,29553.0,29532.0
M,69,26980.0,27621.0,28524.0,29331.0
M,70,26474.0,26623.0,27189.0,28019.0
M,71,25160.0,26055.0,26266.0,26688.0
M,72,25075.0,24794.0,25696.0,25747.0
M,73,24671.0,24737.0,24473.0,25229.0
M,74,24612.0,24358.0,24437.0,24049.0
M,75,24288.0,23749.0,23516.0,23532.0
M,76,24418.0,23422.0,22894.0,22552.0
M,77,20835.0,23574.0,22635.0,22014.0
M,78,19491.0,20100.0,22768.0,21755.0
M,79,16617.0,18857.0,19379.0,21884.0
M,80,14484.0,15270.0,17388.0,17826.0
M,81,11843.0,13411.0,14060.0,16012.0
M,82,11475.0,10922.0,12414.0,12974.0
M,83,10253.0,10666.0,10098.0,11385.0
M,84,9065.0,9510.0,9930.0,9296.0
M,85,7812.0,7695.0,8093.0,8391.0
M,86,6657.0,6602.0,6524.0,6824.0
M,87,5523.0,5650.0,5572.0,5567.0
