sex,alder,pop_2023,pop_4087,pop_4088,pop_4089,pop_4090,pop_4091,pop_4092,pop_4093,pop_4094,pop_4095,pop_4096,pop_4097,pop_4098,pop_4099,pop_4100,pop_4101,pop_4102,pop_4103,pop_4104,pop_4105,pop_4106,pop_4107,pop_4108,pop_4109,pop_4110,pop_4111,pop_4112,pop_4113,pop_4114,pop_4115,pop_4116,pop_4117,pop_4118,pop_4119,pop_4120,pop_4121,pop_4122,pop_4123,pop_4124,pop_4125,pop_4126,pop_4127,pop_4128,pop_4129,pop_4130,pop_4131,pop_4132,pop_4133,pop_4134,pop_4135,pop_4136,pop_4137,pop_4138,pop_4139,pop_4140,pop_4141,pop_4142,pop_4143,pop_4144,pop_4145,pop_4146,pop_4147,pop_4148,pop_4149,pop_4150,pop_4151,pop_4152,pop_4153,pop_4154,pop_4155,pop_4156,pop_4157,pop_4158,pop_4159,pop_4160,pop_4161,pop_4162,pop_4163
K,39,31045.0,30662.0,30070.0,30175.0,29696.0,29228.0,28950.0,28724.0,28430.0,28276.0,28048.0,27805.0,27632.0,27518.0,27581.0,27089.0,26933.0,26873.0,26312.0,26247.0,25998.0,25785.0,25610.0,25410.0,24732.0,24627.0,24256.0,23934.0,23647.0,23459.0,23303.0,22868.0,22768.0,22282.0,22316,21875.0,21800.0,21653.0,21451.0,21072.0,29296.0,29165.0,29042.0,28811.0,28489.0,28242.0,28043.0,27821.0,27274.0,27112.0,26776.0,26466.0,26328.0,26036.0,25913.0,25368.0,25260.0,25062.0,24708.0,24365.0,24295.0,23832.0,23826.0,23667.0,23840.0,23862.0,23933.0,24377.0,24375.0,25116.0,25859.0,26146,26622.0,27039.0,27513.0,27641.0,27606,27650.0
K,40,29460.0,31045.0,30661.0,30069.0,30175.0,29696.0,29228.0,28950.0,28724.0,28430.0,28276.0,28048.0,27805.0,27632.0,27517.0,27581.0,27089.0,26933.0,26873.0,26312.0,26247.0,25998.0,25785.0,25610.0,25410.0,24732.0,24627.0,24255.0,23934.0,23647.0,23459.0,23303.0,22868.0,22767.0,22282,22316.0,21875.0,21800.0,21653.0,21450.0,21072.0,29296.0,29164.0,29041.0,28810.0,28488.0,28242.0,28043.0,27820.0,27274.0,27112.0,26776.0,26466.0,26328.0,26036.0,25912.0,25368.0,25260.0,25061.0,24708.0,24365.0,24295.0,23832.0,23826.0,23667.0,23840.0,23862.0,23933.0,24377.0,24375.0,25116.0,25859,26146.0,26621.0,27038.0,27513.0,27641,27604.0
K,41,32072.0,29459.0,31045.0,30661.0,30069.0,30175.0,29696.0,29228.0,28950.0,28724.0,28430.0,28275.0,28048.0,27804.0,27632.0,27517.0,27581.0,27089.0,26933.0,26873.0,26312.0,26247.0,25997.0,25785.0,25610.0,25410.0,24732.0,24627.0,24254.0,23933.0,23647.0,23458.0,23303.0,22868.0,22767,22282.0,22316.0,21875.0,21800.0,21653.0,21450.0,21071.0,29296.0,29164.0,29040.0,28810.0,28488.0,28242.0,28043.0,27820.0,27274.0,27112.0,26776.0,26466.0,26328.0,26036.0,25911.0,25368.0,25260.0,25061.0,24708.0,24365.0,24295.0,23832.0,23825.0,23667.0,23840.0,23862.0,23933.0,24377.0,24375.0,25116,25859.0,26146.0,26621.0,27038.0,27512,27641.0
K,42,30865.0,32072.0,29459.0,31045.0,30661.0,30068.0,30175.0,29696.0,29228.0,28949.0,28724.0,28429.0,28275.0,28048.0,27804.0,27632.0,27517.0,27581.0,27089.0,26933.0,26873.0,26312.0,26247.0,25997.0,25785.0,25610.0,25409.0,24732.0,24626.0,24254.0,23933.0,23647.0,23458.0,23303.0,22868,22767.0,22282.0,22315.0,21875.0,21800.0,21653.0,21450.0,21071.0,29296.0,29163.0,29039.0,28810.0,28488.0,28242.0,28043.0,27820.0,27274.0,27112.0,26776.0,26466.0,26327.0,26036.0,25911.0,25368.0,25260.0,25061.0,24708.0,24365.0,24294.0,23832.0,23825.0,23667.0,23840.0,23862.0,23933.0,24377.0,24375,25116.0,25859.0,26146.0,26621.0,27037,27512.0
K,43,31663.0,30864.0,32072.0,29459.0,31045.0,30660.0,30068.0,30175.0,29696.0,29228.0,28949.0,28724.0,28428.0,28275.0,28048.0,27804.0,27632.0,27517.0,27581.0,27089.0,26933.0,26873.0,26312.0,26247.0,25997.0,25785.0,25610.0,25409.0,24732.0,24626.0,24254.0,23933.0,23647.0,23458.0,23303,22868.0,22765.0,22282.0,22315.0,21875.0,21800.0,21653.0,21450.0,21071.0,29296.0,29163.0,29038.0,28810.0,28488.0,28242.0,28043.0,27820.0,27274.0,27112.0,26776.0,26466.0,26327.0,26036.0,25911.0,25368.0,25260.0,25061.0,24708.0,24365.0,24294.0,23832.0,23825.0,23667.0,23840.0,23862.0,23932.0,24377,24375.0,25116.0,25859.0,26146.0,26621,27037.0
K,44,31805.0,31663.0,30863.0,32072.0,29459.0,31045.0,30660.0,30068.0,30175.0,29696.0,29228.0,28949.0,28724.0,28428.0,28275.0,28048.0,27804.0,27632.0,27517.0,27581.0,27089.0,26933.0,26873.0,26312.0,26247.0,25997.0,25785.0,25610.0,25409.0,24732.0,24626.0,24254.0,23933.0,23647.0,23458,23303.0,22868.0,22765.0,22282.0,22315.0,21875.0,21800.0,21653.0,21450.0,21071.0,29295.0,29162.0,29038.0,28810.0,28488.0,28242.0,28043.0,27820.0,27274.0,27112.0,26776.0,26465.0,26327.0,26036.0,25911.0,25368.0,25260.0,25061.0,24708.0,24365.0,24294.0,23832.0,23825.0,23666.0,23840.0,23862.0,23932,24377.0,24374.0,25116.0,25859.0,26146,26621.0
K,45,32611.0,31805.0,31663.0,30863.0,32072.0,29458.0,31045.0,30660.0,30068.0,30175.0,29695.0,29228.0,28949.0,28724.0,28428.0,28275.0,28048.0,27804.0,27632.0,27517.0,27581.0,27089.0,26931.0,26873.0,26312.0,26246.0,25997.0,25785.0,25609.0,25409.0,24732.0,24626.0,24254.0,23933.0,23647,23458.0,23303.0,22868.0,22765.0,22282.0,22315.0,21875.0,21800.0,21653.0,21450.0,21071.0,29295.0,29162.0,29037.0,28810.0,28488.0,28242.0,28043.0,27820.0,27274.0,27112.0,26775.0,26465.0,26327.0,26036.0,25911.0,25368.0,25260.0,25061.0,24707.0,24365.0,24294.0,23832.0,23825.0,23666.0,23840.0,23862,23932.0,24377.0,24374.0,25116.0,25859,26146.0
K,46,33843.0,32610.0,31805.0,31663.0,30863.0,32072.0,29458.0,31045.0,30660.0,30068.0,30175.0,29695.0,29228.0,28949.0,28724.0,28428.0,28275.0,28047.0,27804.0,27632.0,27517.0,27581.0,27089.0,26931.0,26873.0,26312.0,26246.0,25997.0,25785.0,25609.0,25408.0,24732.0,24626.0,24253.0,23933,23646.0,23458.0,23303.0,22868.0,22765.0,22282.0,22315.0,21875.0,21800.0,21653.0,21450.0,21071.0,29295.0,29161.0,29037.0,28810.0,28488.0,28241.0,28043.0,27820.0,27274.0,27111.0,26775.0,26465.0,26327.0,26036.0,25911.0,25368.0,25260.0,25061.0,24707.0,24365.0,24294.0,23832.0,23825.0,23666.0,23840,23862.0,23932.0,24377.0,24374.0,25116,25859.0
K,47,34152.0,33843.0,32610.0,31805.0,31663.0,30863.0,32072.0,29458.0,31045.0,30660.0,30068.0,30175.0,29695.0,29228.0,28948.0,28724.0,28428.0,28275.0,28047.0,27804.0,27632.0,27517.0,27581.0,27088.0,26931.0,26873.0,26312.0,26246.0,25997.0,25785.0,25609.0,25408.0,24732.0,24626.0,24251,23933.0,23646.0,23458.0,23303.0,22868.0,22765.0,22282.0,22315.0,21875.0,21800.0,21653.0,21450.0,21071.0,29295.0,29161.0,29037.0,28809.0,28488.0,28241.0,28043.0,27820.0,27274.0,27111.0,26775.0,26465.0,26327.0,26036.0,25911.0,25368.0,25260.0,25061.0,24707.0,24365.0,24294.0,23832.0,23825.0,23666,23840.0,23862.0,23932.0,24377.0,24374,25116.0
K,48,34444.0,34152.0,33843.0,32610.0,31805.0,31663.0,30863.0,32071.0,29457.0,31045.0,30660.0,30068.0,30175.0,29695.0,29228.0,28948.0,28724.0,28428.0,28275.0,28047.0,27803.0,27631.0,27517.0,27581.0,27088.0,26929.0,26873.0,26311.0,26246.0,25997.0,25785.0,25608.0,25408.0,24732.0,24626,24251.0,23933.0,23646.0,23458.0,23303.0,22868.0,22765.0,22282.0,22315.0,21875.0,21800.0,21653.0,21450.0,21071.0,29295.0,29161.0,29037.0,28809.0,28488.0,28241.0,28043.0,27819.0,27274.0,27111.0,26775.0,26465.0,26327.0,26036.0,25911.0,25367.0,25260.0,25061.0,24706.0,24364.0,24294.0,23832.0,23825,23666.0,23840.0,23862.0,23932.0,24377,24373.0
K,49,34871.0,34444.0,34152.0,33843.0,32610.0,31805.0,31663.0,30863.0,32071.0,29457.0,31044.0,30660.0,30068.0,30175.0,29695.0,29228.0,28947.0,28724.0,28428.0,28275.0,28047.0,27803.0,27631.0,27517.0,27581.0,27087.0,26929.0,26872.0,26311.0,26245.0,25997.0,25784.0,25608.0,25408.0,24732,24626.0,24251.0,23933.0,23646.0,23458.0,23303.0,22868.0,22764.0,22282.0,22315.0,21874.0,21800.0,21653.0,21450.0,21071.0,29294.0,29161.0,29037.0,28809.0,28488.0,28241.0,28043.0,27818.0,27274.0,27111.0,26775.0,26465.0,26327.0,26035.0,25911.0,25366.0,25259.0,25061.0,24706.0,24364.0,24294.0,23832,23825.0,23666.0,23839.0,23862.0,23932,24376.0
K,50,35676.0,34871.0,34444.0,34151.0,33843.0,32610.0,31804.0,31663.0,30863.0,32071.0,29457.0,31044.0,30660.0,30068.0,30174.0,29695.0,29228.0,28947.0,28724.0,28428.0,28275.0,28047.0,27802.0,27631.0,27516.0,27580.0,27087.0,26928.0,26871.0,26310.0,26244.0,25997.0,25784.0,25608.0,25408,24732.0,24626.0,24251.0,23930.0,23646.0,23457.0,23303.0,22868.0,22764.0,22282.0,22314.0,21874.0,21800.0,21653.0,21450.0,21071.0,29294.0,29161.0,29037.0,28809.0,28487.0,28241.0,28043.0,27818.0,27274.0,27111.0,26775.0,26465.0,26327.0,26035.0,25911.0,25365.0,25258.0,25061.0,24705.0,24364.0,24293,23831.0,23825.0,23666.0,23839.0,23862,23931.0
