sex,alder,pop_2023,pop_2084,pop_2085,pop_2086,pop_2087,pop_2088,pop_2089,pop_2090,pop_2091,pop_2092,pop_2093
K,0,18690.0,18640.0,18431.0,18339.0,17986.0,17897.0,17861.0,17698.0,17570.0,17601.0,17399.0
K,1,18901.0,18735.0,18682.0,18480.0,18381.0,18031.0,17947.0,17908.0,17737.0,17616.0,17642.0
K,2,18944.0,18949.0,18778.0,18728.0,18534.0,18434.0,18087.0,17989.0,17952.0,17782.0,17664.0
K,3,19573.0,18990.0,18994.0,18813.0,18771.0,18574.0,18483.0,18126.0,18030.0,17983.0,17830.0
K,4,19480.0,19613.0,19035.0,19044.0,18862.0,18812.0,18617.0,18529.0,18176.0,18073.0,18022.0
K,5,19701.0,19527.0,19675.0,19098.0,19108.0,18914.0,18859.0,18650.0,18585.0,18219.0,18124.0
K,6,19983.0,19751.0,19579.0,19721.0,19148.0,19160.0,18963.0,18902.0,18703.0,18631.0,18279.0
K,7,20137.0,20025.0,19805.0,19638.0,19767.0,19207.0,19201.0,19005.0,18952.0,18746.0,18682.0
K,8,20392.0,20192.0,20072.0,19859.0,19681.0,19824.0,19248.0,19244.0,19050.0,18998.0,18785.0
K,9,20554.0,20444.0,20253.0,20131.0,19907.0,19743.0,19891.0,19287.0,19294.0,19095.0,19050.0
K,10,20840.0,20618.0,20495.0,20307.0,20200.0,19960.0,19788.0,19950.0,19353.0,19335.0,19145.0
K,11,20967.0,20892.0,20676.0,20552.0,20376.0,20244.0,20006.0,19842.0,19993.0,19410.0,19382.0
K,12,21035.0,21018.0,20948.0,20729.0,20599.0,20425.0,20309.0,20051.0,19890.0,20046.0,19468.0
K,13,21236.0,21102.0,21071.0,21003.0,20788.0,20654.0,20481.0,20368.0,20099.0,19934.0,20088.0
K,14,21330.0,21304.0,21153.0,21135.0,21061.0,20836.0,20709.0,20544.0,20427.0,20143.0,19986.0
K,15,21643.0,21375.0,21358.0,21213.0,21196.0,21107.0,20890.0,20757.0,20592.0,20474.0,20192.0
K,16,21781.0,21713.0,21435.0,21408.0,21286.0,21255.0,21161.0,20928.0,20827.0,20645.0,20520.0
K,17,22004.0,21841.0,21770.0,21495.0,21461.0,21334.0,21313.0,21210.0,20984.0,20874.0,20698.0
K,18,22135.0,22056.0,21900.0,21832.0,21547.0,21518.0,21383.0,21365.0,21266.0,21040.0,20912.0
K,19,22313.0,22188.0,22125.0,21955.0,21880.0,21596.0,21584.0,21439.0,21410.0,21317.0,21103.0
K,20,22370.0,22371.0,22234.0,22184.0,22033.0,21926.0,21657.0,21636.0,21486.0,21452.0,21364.0
K,21,22691.0,22430.0,22425.0,22289.0,22263.0,22095.0,21984.0,21714.0,21698.0,21561.0,21510.0
K,22,22930.0,22740.0,22483.0,22480.0,22338.0,22321.0,22156.0,22041.0,21778.0,21758.0,21615.0
K,23,23099.0,22995.0,22798.0,22548.0,22537.0,22379.0,22372.0,22209.0,22082.0,21845.0,21820.0
K,24,23179.0,23169.0,23049.0,22865.0,22604.0,22599.0,22439.0,22424.0,22262.0,22140.0,21902.0
K,25,23649.0,23239.0,23231.0,23102.0,22927.0,22665.0,22666.0,22501.0,22491.0,22312.0,22204.0
K,26,23656.0,23705.0,23298.0,23295.0,23177.0,22991.0,22735.0,22728.0,22573.0,22556.0,22374.0
K,27,24155.0,23722.0,23767.0,23350.0,23353.0,23244.0,23052.0,22792.0,22792.0,22635.0,22614.0
K,28,24302.0,24195.0,23782.0,23843.0,23419.0,23412.0,23305.0,23106.0,22848.0,22854.0,22698.0
K,29,24735.0,24373.0,24264.0,23842.0,23898.0,23481.0,23473.0,23366.0,23179.0,22894.0,22921.0
K,30,24876.0,24797.0,24451.0,24326.0,23916.0,23969.0,23546.0,23541.0,23441.0,23250.0,22950.0
K,31,25095.0,24940.0,24867.0,24517.0,24392.0,23967.0,24028.0,23598.0,23603.0,23506.0,23316.0
K,32,25336.0,25169.0,25010.0,24932.0,24580.0,24449.0,24030.0,24090.0,23668.0,23668.0,23562.0
K,33,25725.0,25408.0,25239.0,25083.0,24999.0,24639.0,24507.0,24094.0,24155.0,23736.0,23731.0
K,34,26062.0,25786.0,25488.0,25309.0,25170.0,25074.0,24704.0,24562.0,24158.0,24214.0,23794.0
K,35,26252.0,26141.0,25857.0,25550.0,25370.0,25239.0,25140.0,24775.0,24632.0,24229.0,24269.0
K,36,26905.0,26311.0,26201.0,25922.0,25605.0,25429.0,25288.0,25201.0,24831.0,24681.0,24292.0
K,37,27088.0,26980.0,26387.0,26259.0,25986.0,25673.0,25483.0,25349.0,25251.0,24892.0,24732.0
K,38,27240.0,27148.0,27043.0,26452.0,26336.0,26059.0,25737.0,25544.0,25410.0,25306.0,24958.0
K,39,27522.0,27307.0,27217.0,27106.0,26511.0,26401.0,26131.0,25803.0,25609.0,25461.0,25364.0
K,40,27775.0,27590.0,27374.0,27281.0,27163.0,26573.0,26461.0,26187.0,25852.0,25666.0,25515.0
K,41,27781.0,27843.0,27661.0,27441.0,27340.0,27210.0,26638.0,26534.0,26247.0,25901.0,25730.0
K,42,28385.0,27848.0,27908.0,27730.0,27509.0,27400.0,27279.0,26714.0,26584.0,26309.0,25965.0
K,43,28449.0,28433.0,27916.0,27965.0,27784.0,27563.0,27452.0,27336.0,26780.0,26633.0,26355.0
K,44,28625.0,28510.0,28482.0,27974.0,28045.0,27841.0,27626.0,27504.0,27384.0,26839.0,26706.0
K,45,29079.0,28685.0,28566.0,28546.0,28021.0,28090.0,27886.0,27695.0,27552.0,27446.0,26905.0
K,46,28958.0,29139.0,28743.0,28633.0,28605.0,28077.0,28145.0,27935.0,27753.0,27607.0,27495.0
K,47,29135.0,29013.0,29192.0,28801.0,28683.0,28668.0,28140.0,28206.0,28002.0,27814.0,27665.0
K,48,29379.0,29205.0,29078.0,29242.0,28868.0,28744.0,28732.0,28190.0,28257.0,28056.0,27861.0
K,49,29570.0,29444.0,29268.0,29140.0,29292.0,28937.0,28817.0,28780.0,28233.0,28320.0,28111.0
K,50,29736.0,29648.0,29501.0,29321.0,29199.0,29352.0,28992.0,28882.0,28832.0,28286.0,28365.0
K,51,30069.0,29809.0,29729.0,29553.0,29386.0,29269.0,29398.0,29045.0,28941.0,28895.0,28339.0
K,52,30277.0,30141.0,29877.0,29801.0,29603.0,29448.0,29325.0,29464.0,29102.0,28998.0,28945.0
K,53,30429.0,30347.0,30196.0,29945.0,29877.0,29669.0,29508.0,29399.0,29527.0,29159.0,29056.0
K,54,30648.0,30493.0,30403.0,30259.0,30002.0,29939.0,29737.0,29568.0,29451.0,29574.0,29209.0
K,55,31150.0,30697.0,30535.0,30461.0,30324.0,30069.0,29989.0,29799.0,29617.0,29504.0,29628.0
K,56,31613.0,31219.0,30760.0,30594.0,30523.0,30389.0,30130.0,30053.0,29851.0,29681.0,29560.0
K,57,31565.0,31693.0,31277.0,30813.0,30652.0,30581.0,30445.0,30187.0,30112.0,29915.0,29748.0
K,58,32124.0,31623.0,31757.0,31343.0,30879.0,30698.0,30644.0,30490.0,30247.0,30175.0,29979.0
K,59,32531.0,32181.0,31685.0,31816.0,31403.0,30934.0,30766.0,30696.0,30549.0,30295.0,30222.0
K,60,30925.0,32586.0,32240.0,31750.0,31862.0,31445.0,30992.0,30797.0,30731.0,30604.0,30342.0
K,61,33484.0,30978.0,32651.0,32308.0,31798.0,31904.0,31495.0,31048.0,30839.0,30785.0,30649.0
K,62,32266.0,33536.0,31010.0,32708.0,32353.0,31846.0,31944.0,31543.0,31092.0,30888.0,30824.0
K,63,33079.0,32329.0,33600.0,31057.0,32748.0,32397.0,31895.0,31998.0,31593.0,31124.0,30943.0
K,64,33229.0,33129.0,32372.0,33652.0,31095.0,32796.0,32439.0,31946.0,32047.0,31636.0,31182.0
K,65,33855.0,33134.0,33012.0,32281.0,33530.0,30988.0,32697.0,32332.0,31849.0,31931.0,31551.0
K,66,34929.0,33741.0,33058.0,32926.0,32196.0,33425.0,30893.0,32594.0,32240.0,31726.0,31843.0
K,67,35113.0,34818.0,33615.0,32977.0,32833.0,32107.0,33323.0,30777.0,32493.0,32140.0,31622.0
K,68,35154.0,34999.0,34690.0,33533.0,32856.0,32751.0,32038.0,33247.0,30687.0,32418.0,32039.0
K,69,35364.0,35039.0,34901.0,34585.0,33435.0,32749.0,32655.0,31940.0,33153.0,30581.0,32300.0
K,70,35857.0,35101.0,34745.0,34606.0,34290.0,33174.0,32494.0,32410.0,31699.0,32883.0,30322.0
K,71,35539.0,35573.0,34773.0,34483.0,34340.0,34026.0,32920.0,32202.0,32161.0,31455.0,32638.0
K,72,36293.0,35260.0,35297.0,34488.0,34200.0,34072.0,33768.0,32650.0,31949.0,31922.0,31216.0
K,73,36254.0,36035.0,34966.0,34979.0,34237.0,33924.0,33833.0,33498.0,32367.0,31704.0,31695.0
K,74,35642.0,35966.0,35746.0,34697.0,34724.0,33947.0,33648.0,33559.0,33228.0,32114.0,31438.0
K,75,34256.0,35028.0,35330.0,35106.0,34147.0,34083.0,33335.0,33068.0,32986.0,32656.0,31584.0
K,76,33696.0,33691.0,34440.0,34720.0,34495.0,33555.0,33483.0,32779.0,32479.0,32434.0,32107.0
K,77,32671.0,33096.0,33110.0,33857.0,34164.0,33920.0,32995.0,32899.0,32175.0,31956.0,31940.0
K,78,32114.0,32102.0,32546.0,32501.0,33281.0,33594.0,33323.0,32427.0,32335.0,31594.0,31405.0
K,79,31148.0,31603.0,31551.0,31985.0,31907.0,32692.0,33003.0,32774.0,31852.0,31780.0,31138.0
K,80,29814.0,30073.0,30446.0,30435.0,30879.0,30750.0,31540.0,31823.0,31584.0,30708.0,30629.0
K,81,29062.0,28713.0,29024.0,29354.0,29314.0,29754.0,29684.0,30396.0,30644.0,30500.0,29648.0
K,82,29024.0,28071.0,27670.0,27950.0,28299.0,28287.0,28734.0,28635.0,29326.0,29532.0,29455.0
K,83,28170.0,27972.0,27046.0,26652.0,26927.0,27265.0,27329.0,27726.0,27648.0,28297.0,28493.0
K,84,27031.0,27151.0,26951.0,26104.0,25690.0,25937.0,26262.0,26373.0,26728.0,26681.0,27291.0
K,85,25834.0,25085.0,25223.0,25005.0,24238.0,23893.0,24140.0,24437.0,24468.0,24891.0,24826.0
K,86,24670.0,24002.0,23289.0,23465.0,23162.0,22490.0,22150.0,22378.0,22703.0,22763.0,23098.0
K,87,22917.0,22887.0,22337.0,21617.0,21751.0,21480.0,20866.0,20622.0,20797.0,21171.0,21190.0
K,88,21588.0,21230.0,21219.0,20746.0,20111.0,20184.0,19900.0,19318.0,19183.0,19322.0,19725.0
K,89,20062.0,20045.0,19693.0,19646.0,19339.0,18688.0,18758.0,18532.0,17991.0,17845.0,17961.0
K,90,20358.0,20069.0,20048.0,19697.0,19653.0,19344.0,18695.0,18767.0,18536.0,17996.0,17847.0
K,91,15500.0,15256.0,15006.0,15044.0,14744.0,14762.0,14490.0,13983.0,14027.0,13877.0,13465.0
K,92,11713.0,11587.0,11464.0,11243.0,11328.0,11057.0,11113.0,10923.0,10551.0,10503.0,10467.0
K,93,8655.0,8842.0,8733.0,8569.0,8375.0,8398.0,8266.0,8328.0,8194.0,7885.0,7840.0
K,94,6308.0,6448.0,6662.0,6555.0,6468.0,6325.0,6309.0,6221.0,6226.0,6174.0,5981.0
K,95,4574.0,4701.0,4809.0,4980.0,4899.0,4791.0,4720.0,4685.0,4646.0,4649.0,4537.0
K,96,3296.0,3430.0,3539.0,3619.0,3722.0,3683.0,3567.0,3562.0,3509.0,3488.0,3523.0
K,97,2378.0,2436.0,2564.0,2669.0,2700.0,2794.0,2733.0,2660.0,2669.0,2602.0,2645.0
K,98,1741.0,1777.0,1810.0,1897.0,1955.0,1994.0,2093.0,2050.0,1990.0,1976.0,1915.0
K,99,1312.0,1300.0,1296.0,1337.0,1418.0,1481.0,1512.0,1572.0,1548.0,1486.0,1498.0
K,100,1002.0,995.0,1000.0,973.0,1017.0,1063.0,1114.0,1135.0,1170.0,1147.0,1126.0
K,101,360.0,397.0,381.0,391.0,367.0,379.0,395.0,418.0,429.0,447.0,439.0
K,102,136.0,133.0,157.0,148.0,156.0,140.0,147.0,145.0,154.0,167.0,161.0
K,103,41.0,54.0,59.0,62.0,52.0,53.0,53.0,47.0,52.0,50.0,56.0
K,104,21.0,17.0,20.0,24.0,23.0,22.0,22.0,24.0,17.0,19.0,23.0
K,105,7.0,10.0,5.0,10.0,7.0,10.0,13.0,10.0,8.0,11.0,10.0
K,106,1.0,2.0,4.0,2.0,2.0,2.0,3.0,7.0,5.0,3.0,4.0
K,107,,1.0,1.0,2.0,1.0,1.0,,,2.0,1.0,
K,108,2.0,,,,,,1.0,,,1.0,1.0
K,109,,1.0,,,,,,,,,
M,0,18776.0,18521.0,18406.0,18182.0,18312.0,18061.0,17856.0,17687.0,17730.0,17469.0,17315.0
M,1,19082.0,18803.0,18564.0,18458.0,18224.0,18361.0,18101.0,17896.0,17751.0,17764.0,17522.0
M,2,19294.0,19135.0,18862.0,18603.0,18516.0,18272.0,18409.0,18144.0,17942.0,17798.0,17805.0
M,3,19188.0,19342.0,19178.0,18903.0,18630.0,18564.0,18328.0,18444.0,18185.0,17991.0,17838.0
M,4,19563.0,19232.0,19403.0,19214.0,18948.0,18664.0,18611.0,18377.0,18488.0,18216.0,18031.0
M,5,19793.0,19611.0,19280.0,19447.0,19273.0,19005.0,18725.0,18668.0,18428.0,18539.0,18261.0
M,6,19960.0,19842.0,19656.0,19330.0,19496.0,19304.0,19051.0,18777.0,18719.0,18481.0,18582.0
M,7,20245.0,20014.0,19889.0,19696.0,19382.0,19535.0,19348.0,19102.0,18821.0,18767.0,18533.0
M,8,20516.0,20293.0,20068.0,19957.0,19739.0,19435.0,19590.0,19396.0,19140.0,18861.0,18814.0
M,9,20690.0,20562.0,20343.0,20114.0,20010.0,19800.0,19486.0,19649.0,19438.0,19192.0,18893.0
M,10,20762.0,20747.0,20632.0,20393.0,20177.0,20065.0,19857.0,19526.0,19696.0,19497.0,19243.0
