sex,alder,pop_2023,pop_2024,pop_2025,pop_2026
K,0,25310.0,23372.0,23511.0,23225.0
K,1,28037.0,25496.0,23564.0,23589.0
K,2,26820.0,28210.0,25672.0,23653.0
K,3,27466.0,27026.0,28417.0,25752.0
K,4,27692.0,27663.0,27218.0,28511.0
K,5,28546.0,27912.0,27876.0,27316.0
K,6,29714.0,28750.0,28143.0,27977.0
K,7,29958.0,29925.0,28962.0,28244.0
K,8,30221.0,30180.0,30122.0,29043.0
K,9,30613.0,30461.0,30391.0,30243.0
K,10,31377.0,30822.0,30729.0,30510.0
K,11,31526.0,31608.0,31077.0,30825.0
K,12,32628.0,31761.0,31837.0,31188.0
K,13,33044.0,32849.0,31970.0,31947.0
K,14,32594.0,33291.0,33079.0,32066.0
K,15,31915.0,32845.0,33523.0,33173.0
K,16,32102.0,32153.0,33105.0,33636.0
K,17,31505.0,32334.0,32388.0,33201.0
K,18,31573.0,31736.0,32550.0,32479.0
K,19,31441.0,31796.0,31986.0,32668.0
K,20,31111.0,31702.0,32026.0,32099.0
K,21,31588.0,31347.0,31942.0,32137.0
K,22,32878.0,31812.0,31588.0,32042.0
K,23,33088.0,33118.0,32039.0,31706.0
K,24,33364.0,33324.0,33366.0,32138.0
K,25,34378.0,33635.0,33585.0,33481.0
K,26,35747.0,34655.0,33917.0,33723.0
K,27,35920.0,36007.0,34932.0,34047.0
K,28,36385.0,36185.0,36268.0,35049.0
K,29,36994.0,36615.0,36480.0,36400.0
K,30,37694.0,37275.0,36917.0,36595.0
K,31,38587.0,37979.0,37585.0,37068.0
K,32,39395.0,38882.0,38275.0,37708.0
K,33,38889.0,39683.0,39196.0,38402.0
K,34,38601.0,39186.0,39933.0,39335.0
K,35,37403.0,38898.0,39459.0,40051.0
K,36,36743.0,37660.0,39180.0,39580.0
K,37,36160.0,37025.0,37945.0,39281.0
K,38,35848.0,36425.0,37303.0,38055.0
K,39,35243.0,36110.0,36701.0,37417.0
K,40,35525.0,35525.0,36377.0,36807.0
K,41,34990.0,35811.0,35809.0,36498.0
K,42,35089.0,35236.0,36106.0,35904.0
K,43,34563.0,35363.0,35496.0,36229.0
K,44,34236.0,34837.0,35609.0,35619.0
K,45,33520.0,34506.0,35088.0,35720.0
K,46,34033.0,33750.0,34763.0,35208.0
K,47,35177.0,34306.0,33991.0,34856.0
K,48,36600.0,35406.0,34570.0,34114.0
K,49,36215.0,36848.0,35656.0,34676.0
K,50,37446.0,36511.0,37116.0,35758.0
K,51,37536.0,37707.0,36816.0,37239.0
K,52,37024.0,37835.0,37955.0,36917.0
K,53,37660.0,37284.0,38082.0,38059.0
K,54,37209.0,37923.0,37547.0,38199.0
K,55,36217.0,37485.0,38212.0,37650.0
K,56,35480.0,36479.0,37710.0,38316.0
K,57,34879.0,35743.0,36706.0,37844.0
K,58,34275.0,35121.0,36018.0,36818.0
K,59,33194.0,34518.0,35371.0,36136.0
K,60,32018.0,33433.0,34714.0,35461.0
K,61,31506.0,32223.0,33658.0,34799.0
K,62,31028.0,31721.0,32473.0,33757.0
K,63,30842.0,31237.0,31963.0,32575.0
K,64,30683.0,31069.0,31462.0,32062.0
K,65,29874.0,30602.0,30981.0,31244.0
K,66,30085.0,29808.0,30487.0,30746.0
K,67,29117.0,29936.0,29738.0,30248.0
K,68,28485.0,29067.0,29809.0,29502.0
K,69,27981.0,28390.0,29001.0,29546.0
K,70,27198.0,27595.0,28001.0,28472.0
K,71,25526.0,26783.0,27209.0,27469.0
K,72,25882.0,25154.0,26354.0,26740.0
K,73,25567.0,25517.0,24817.0,25904.0
K,74,25427.0,25196.0,25137.0,24325.0
K,75,25805.0,24460.0,24286.0,24189.0
K,76,26208.0,24892.0,23564.0,23353.0
K,77,23006.0,25246.0,24004.0,22681.0
K,78,21550.0,22241.0,24397.0,23122.0
K,79,18625.0,20809.0,21458.0,23506.0
K,80,16927.0,17155.0,19285.0,19776.0
K,81,14386.0,15607.0,15790.0,17715.0
K,82,14292.0,13301.0,14403.0,14575.0
K,83,13203.0,13267.0,12291.0,13313.0
K,84,12100.0,12176.0,12278.0,11394.0
K,85,10731.0,10232.0,10354.0,10388.0
K,86,9731.0,9118.0,8647.0,8724.0
K,87,8566.0,8239.0,7674.0,7274.0
K,88,7676.0,7308.0,6966.0,6559.0
K,89,6899.0,6544.0,6247.0,5913.0
K,90,6430.0,6926.0,6566.0,6255.0
K,91,5648.0,4856.0,5232.0,4937.0
K,92,4751.0,4309.0,3677.0,3958.0
K,93,3747.0,3568.0,3251.0,2789.0
K,94,3013.0,2863.0,2749.0,2464.0
K,95,2297.0,2299.0,2158.0,2029.0
K,96,1797.0,1748.0,1745.0,1643.0
K,97,1313.0,1375.0,1311.0,1328.0
K,98,991.0,981.0,997.0,974.0
K,99,597.0,750.0,734.0,730.0
K,100,423.0,417.0,550.0,555.0
K,101,256.0,155.0,159.0,211.0
K,102,164.0,95.0,59.0,60.0
K,103,82.0,71.0,37.0,29.0
K,104,39.0,36.0,30.0,12.0
K,105,76.0,21.0,12.0,13.0
K,106,,29.0,8.0,4.0
K,107,,,14.0,5.0
K,108,,,,3.0
K,109,,,,
M,0,26681.0,23657.0,23548.0,23465.0
M,1,29378.0,26863.0,23866.0,23650.0
M,2,27958.0,29593.0,27053.0,23960.0
M,3,28989.0,28190.0,29779.0,27151.0
M,4,29454.0,29170.0,28400.0,29877.0
M,5,30339.0,29687.0,29380.0,28497.0
M,6,31761.0,30559.0,29887.0,29491.0
M,7,31747.0,31977.0,30804.0,29978.0
M,8,31877.0,31986.0,32162.0,30897.0
M,9,31832.0,32071.0,32187.0,32248.0
M,10,33040.0,32101.0,32296.0,32300.0
M,11,33476.0,33257.0,32339.0,32396.0
M,12,34255.0,33720.0,33476.0,32444.0
M,13,34985.0,34493.0,33977.0,33607.0
M,14,34749.0,35210.0,34733.0,34082.0
M,15,33731.0,34976.0,35449.0,34849.0
M,16,33891.0,33986.0,35204.0,35555.0
M,17,32980.0,34112.0,34207.0,35328.0
M,18,33334.0,33216.0,34362.0,34327.0
M,19,32888.0,33564.0,33465.0,34468.0
M,20,32354.0,33138.0,33817.0,33572.0
M,21,33404.0,32615.0,33391.0,33923.0
M,22,35241.0,33613.0,32843.0,33492.0
M,23,35569.0,35470.0,33828.0,32949.0
M,24,35369.0,35800.0,35707.0,33919.0
M,25,36562.0,35641.0,36081.0,35801.0
M,26,37633.0,36859.0,35909.0,36216.0
M,27,37911.0,37916.0,37114.0,36046.0
M,28,38057.0,38183.0,38189.0,37245.0
M,29,38611.0,38305.0,38459.0,38312.0
M,30,39820.0,38906.0,38582.0,38591.0
M,31,40282.0,40100.0,39232.0,38725.0
M,32,40727.0,40569.0,40364.0,39354.0
M,33,40275.0,41033.0,40835.0,40507.0
M,34,40075.0,40562.0,41312.0,40972.0
M,35,38393.0,40341.0,40821.0,41427.0
M,36,38662.0,38643.0,40576.0,40946.0
M,37,37985.0,38918.0,38939.0,40704.0
M,38,37174.0,38271.0,39186.0,39061.0
M,39,37362.0,37423.0,38551.0,39317.0
M,40,37429.0,37620.0,37686.0,38653.0
M,41,36190.0,37715.0,37863.0,37806.0
M,42,36976.0,36449.0,37979.0,37979.0
M,43,36250.0,37267.0,36715.0,38118.0
M,44,36012.0,36515.0,37517.0,36855.0
M,45,34884.0,36245.0,36804.0,37647.0
M,46,35776.0,35161.0,36506.0,36913.0
M,47,36463.0,36055.0,35434.0,36607.0
M,48,37822.0,36726.0,36335.0,35532.0
M,49,38079.0,38060.0,37003.0,36449.0
M,50,39204.0,38378.0,38305.0,37111.0
M,51,38960.0,39453.0,38643.0,38415.0
M,52,38530.0,39229.0,39733.0,38755.0
M,53,39127.0,38792.0,39496.0,39864.0
M,54,38711.0,39410.0,39037.0,39607.0
M,55,37445.0,38954.0,39653.0,39156.0
M,56,37508.0,37699.0,39187.0,39779.0
M,57,36634.0,37760.0,37970.0,39302.0
M,58,35796.0,36911.0,38011.0,38085.0
M,59,33856.0,36029.0,37192.0,38117.0
M,60,33238.0,34078.0,36253.0,37294.0
M,61,32420.0,33458.0,34304.0,36355.0
M,62,31875.0,32666.0,33705.0,34368.0
M,63,31627.0,32110.0,32902.0,33794.0
M,64,30857.0,31848.0,32304.0,32996.0
M,65,29861.0,30729.0,31749.0,32036.0
M,66,29798.0,29759.0,30612.0,31516.0
M,67,28764.0,29664.0,29661.0,30376.0
M,68,27721.0,28649.0,29577.0,29437.0
M,69,26980.0,27608.0,28577.0,29311.0
M,70,26474.0,26570.0,27192.0,28058.0
M,71,25160.0,26071.0,26213.0,26737.0
M,72,25075.0,24845.0,25708.0,25772.0
M,73,24671.0,24810.0,24440.0,25273.0
M,74,24612.0,24332.0,24449.0,23990.0
M,75,24288.0,23693.0,23504.0,23591.0
M,76,24418.0,23399.0,22915.0,22583.0
M,77,20835.0,23547.0,22630.0,22044.0
M,78,19491.0,20093.0,22741.0,21784.0
M,79,16617.0,18814.0,19418.0,21854.0
M,80,14484.0,15361.0,17317.0,17840.0
M,81,11843.0,13384.0,14153.0,15912.0
M,82,11475.0,10938.0,12362.0,13021.0
M,83,10253.0,10607.0,10151.0,11425.0
M,84,9065.0,9475.0,9921.0,9352.0
M,85,7812.0,7705.0,8057.0,8392.0
M,86,6657.0,6667.0,6507.0,6827.0
M,87,5523.0,5626.0,5656.0,5531.0
M,88,4721.0,4729.0,4785.0,4786.0
M,89,4033.0,3982.0,4021.0,4056.0
M,90,3616.0,4054.0,3998.0,4032.0
M,91,2747.0,2696.0,3020.0,2960.0
M,92,2294.0,2089.0,2044.0,2273.0
M,93,1703.0,1743.0,1585.0,1527.0
M,94,1256.0,1274.0,1350.0,1214.0
M,95,887.0,925.0,952.0,1018.0
M,96,692.0,664.0,706.0,727.0
M,97,469.0,525.0,496.0,546.0
M,98,286.0,364.0,399.0,381.0
M,99,174.0,225.0,279.0,296.0
M,100,95.0,124.0,175.0,204.0
M,101,54.0,33.0,42.0,54.0
M,102,32.0,25.0,16.0,16.0
M,103,21.0,14.0,12.0,4.0
M,104,5.0,9.0,6.0,7.0
M,105,28.0,,7.0,3.0
M,106,,10.0,,2.0
M,107,,,4.0,
M,108,,,,4.0
M,109,,,,
