sex,alder,pop_2023,pop_2034,pop_2035,pop_2036,pop_2037,pop_2038,pop_2039,pop_2040,pop_2041,pop_2042,pop_2043
K,0,25696.0,25517.0,25343.0,25370.0,25323.0,25514.0,25158.0,25083.0,25152.0,24636.0,24694.0
K,1,25844.0,25771.0,25599.0,25398.0,25455.0,25402.0,25594.0,25236.0,25154.0,25237.0,24713.0
K,2,26004.0,25921.0,25854.0,25681.0,25495.0,25539.0,25484.0,25675.0,25305.0,25224.0,25297.0
K,3,26293.0,26106.0,26007.0,25926.0,25771.0,25577.0,25627.0,25579.0,25754.0,25374.0,25312.0
K,4,26590.0,26383.0,26187.0,26082.0,26014.0,25856.0,25665.0,25725.0,25662.0,25842.0,25453.0
K,5,26909.0,26673.0,26467.0,26298.0,26176.0,26097.0,25938.0,25748.0,25802.0,25750.0,25922.0
K,6,27391.0,27002.0,26768.0,26539.0,26386.0,26276.0,26178.0,26039.0,25821.0,25874.0,25830.0
K,7,27356.0,27484.0,27088.0,26847.0,26627.0,26469.0,26365.0,26257.0,26126.0,25903.0,25957.0
K,8,27833.0,27451.0,27572.0,27201.0,26937.0,26727.0,26556.0,26456.0,26346.0,26204.0,26001.0
K,9,28167.0,27913.0,27539.0,27653.0,27305.0,27020.0,26814.0,26649.0,26529.0,26419.0,26287.0
K,10,26496.0,28269.0,28010.0,27631.0,27765.0,27405.0,27110.0,26892.0,26757.0,26605.0,26512.0
K,11,29221.0,26619.0,28371.0,28104.0,27726.0,27868.0,27490.0,27201.0,26985.0,26834.0,26692.0
K,12,27980.0,29321.0,26706.0,28455.0,28187.0,27818.0,27960.0,27578.0,27285.0,27093.0,26939.0
K,13,28694.0,28073.0,29438.0,26816.0,28557.0,28276.0,27907.0,28077.0,27658.0,27356.0,27186.0
K,14,28960.0,28779.0,28171.0,29535.0,26925.0,28655.0,28372.0,27973.0,28157.0,27761.0,27442.0
K,15,29790.0,29054.0,28895.0,28274.0,29638.0,27006.0,28750.0,28481.0,28072.0,28241.0,27841.0
K,16,30994.0,29874.0,29145.0,28980.0,28360.0,29721.0,27118.0,28848.0,28574.0,28178.0,28352.0
K,17,31305.0,31089.0,29979.0,29250.0,29076.0,28461.0,29813.0,27235.0,28940.0,28671.0,28270.0
K,18,31562.0,31393.0,31202.0,30080.0,29360.0,29175.0,28556.0,29925.0,27339.0,29068.0,28765.0
K,19,31905.0,31666.0,31486.0,31303.0,30166.0,29458.0,29272.0,28648.0,30016.0,27425.0,29167.0
K,20,32760.0,32003.0,31763.0,31579.0,31414.0,30267.0,29549.0,29351.0,28755.0,30112.0,27537.0
K,21,32876.0,32871.0,32104.0,31841.0,31688.0,31488.0,30357.0,29653.0,29461.0,28840.0,30209.0
