sex,alder,pop_2023,pop_2074,pop_2075,pop_2076,pop_2077,pop_2078,pop_2079,pop_2080,pop_2081,pop_2082,pop_2083
K,0,20277.0,20053.0,19918.0,19761.0,19664.0,19449.0,19317.0,19421.0,18850.0,18852.0,18690.0
K,1,20451.0,20335.0,20115.0,19980.0,19810.0,19715.0,19497.0,19358.0,19467.0,18899.0,18901.0
K,2,20485.0,20506.0,20393.0,20160.0,20036.0,19851.0,19756.0,19544.0,19402.0,19518.0,18944.0
K,3,20670.0,20541.0,20555.0,20435.0,20222.0,20095.0,19908.0,19804.0,19594.0,19440.0,19573.0
K,4,20680.0,20731.0,20595.0,20611.0,20490.0,20279.0,20165.0,19966.0,19873.0,19651.0,19480.0
K,5,21049.0,20739.0,20781.0,20653.0,20660.0,20551.0,20339.0,20223.0,20018.0,19937.0,19701.0
K,6,21175.0,21115.0,20809.0,20834.0,20700.0,20710.0,20604.0,20384.0,20274.0,20078.0,19983.0
K,7,21405.0,21232.0,21169.0,20880.0,20898.0,20758.0,20770.0,20671.0,20442.0,20335.0,20137.0
K,8,21505.0,21466.0,21281.0,21226.0,20947.0,20945.0,20816.0,20808.0,20739.0,20491.0,20392.0
K,9,21685.0,21563.0,21530.0,21343.0,21286.0,21008.0,21009.0,20875.0,20848.0,20790.0,20554.0
K,10,21750.0,21741.0,21643.0,21592.0,21423.0,21344.0,21076.0,21077.0,20927.0,20909.0,20840.0
K,11,22037.0,21816.0,21797.0,21713.0,21643.0,21469.0,21412.0,21141.0,21127.0,20991.0,20967.0
K,12,22300.0,22106.0,21890.0,21854.0,21782.0,21700.0,21543.0,21479.0,21214.0,21174.0,21035.0
K,13,22488.0,22365.0,22175.0,21962.0,21917.0,21838.0,21771.0,21600.0,21538.0,21262.0,21236.0
K,14,22531.0,22569.0,22432.0,22245.0,22023.0,21974.0,21899.0,21827.0,21656.0,21586.0,21330.0
K,15,23006.0,22595.0,22629.0,22495.0,22320.0,22090.0,22045.0,21974.0,21888.0,21718.0,21643.0
K,16,22985.0,23079.0,22680.0,22676.0,22558.0,22378.0,22148.0,22113.0,22025.0,21950.0,21781.0
K,17,23484.0,23056.0,23141.0,22752.0,22744.0,22627.0,22455.0,22200.0,22181.0,22085.0,22004.0
K,18,23670.0,23577.0,23130.0,23219.0,22830.0,22793.0,22688.0,22518.0,22252.0,22245.0,22135.0
K,19,24016.0,23731.0,23636.0,23204.0,23294.0,22898.0,22851.0,22738.0,22578.0,22315.0,22313.0
K,20,24198.0,24102.0,23802.0,23695.0,23265.0,23349.0,22950.0,22911.0,22805.0,22631.0,22370.0
