sex,alder,pop_2023,pop_2064,pop_2065,pop_2066,pop_2067,pop_2068,pop_2069,pop_2070,pop_2071,pop_2072,pop_2073
K,0,21073.0,21120.0,20960.0,20998.0,20808.0,20728.0,20450.0,20501.0,20375.0,20384.0,20277.0
K,1,21452.0,21143.0,21168.0,21014.0,21065.0,20875.0,20794.0,20520.0,20549.0,20429.0,20451.0
K,2,21653.0,21505.0,21212.0,21230.0,21079.0,21121.0,20928.0,20857.0,20572.0,20619.0,20485.0
K,3,21801.0,21710.0,21564.0,21278.0,21304.0,21154.0,21167.0,20984.0,20932.0,20620.0,20670.0
K,4,21876.0,21856.0,21757.0,21624.0,21341.0,21357.0,21228.0,21219.0,21044.0,20982.0,20680.0
K,5,22318.0,21946.0,21934.0,21832.0,21678.0,21406.0,21424.0,21292.0,21283.0,21111.0,21049.0
K,6,22283.0,22374.0,22011.0,22015.0,21893.0,21737.0,21475.0,21482.0,21357.0,21352.0,21175.0
K,7,22768.0,22350.0,22433.0,22069.0,22087.0,21956.0,21801.0,21543.0,21541.0,21428.0,21405.0
K,8,22868.0,22839.0,22427.0,22500.0,22133.0,22144.0,22025.0,21861.0,21606.0,21619.0,21505.0
K,9,23303.0,22955.0,22906.0,22496.0,22565.0,22198.0,22221.0,22093.0,21926.0,21673.0,21685.0
K,10,23461.0,23376.0,23048.0,22976.0,22569.0,22642.0,22259.0,22283.0,22163.0,21977.0,21750.0
K,11,23648.0,23555.0,23446.0,23125.0,23048.0,22643.0,22725.0,22327.0,22361.0,22231.0,22037.0
K,12,23937.0,23723.0,23627.0,23514.0,23201.0,23122.0,22707.0,22800.0,22397.0,22428.0,22300.0
K,13,24259.0,24017.0,23794.0,23705.0,23599.0,23276.0,23195.0,22772.0,22872.0,22474.0,22488.0
K,14,24629.0,24335.0,24093.0,23858.0,23777.0,23665.0,23344.0,23284.0,22839.0,22949.0,22531.0
K,15,24734.0,24698.0,24402.0,24159.0,23917.0,23851.0,23741.0,23427.0,23352.0,22915.0,23006.0
K,16,25410.0,24821.0,24783.0,24469.0,24221.0,23987.0,23931.0,23806.0,23502.0,23413.0,22985.0
K,17,25611.0,25475.0,24913.0,24865.0,24547.0,24299.0,24058.0,24003.0,23872.0,23585.0,23484.0
K,18,25786.0,25694.0,25553.0,24988.0,24929.0,24607.0,24363.0,24139.0,24067.0,23952.0,23670.0
K,19,25999.0,25852.0,25763.0,25634.0,25044.0,25019.0,24684.0,24434.0,24215.0,24132.0,24016.0
K,20,26248.0,26062.0,25922.0,25830.0,25710.0,25112.0,25090.0,24777.0,24504.0,24290.0,24198.0
K,21,26313.0,26320.0,26135.0,25992.0,25921.0,25774.0,25179.0,25152.0,24838.0,24572.0,24355.0
K,22,26875.0,26390.0,26401.0,26205.0,26060.0,26003.0,25846.0,25260.0,25215.0,24923.0,24648.0
K,23,26934.0,26955.0,26457.0,26478.0,26282.0,26127.0,26060.0,25921.0,25334.0,25291.0,24979.0
K,24,27090.0,27008.0,27034.0,26516.0,26550.0,26363.0,26210.0,26123.0,26002.0,25398.0,25361.0
K,25,27581.0,27160.0,27091.0,27121.0,26594.0,26641.0,26441.0,26285.0,26190.0,26086.0,25478.0
K,26,27519.0,27662.0,27236.0,27171.0,27194.0,26657.0,26727.0,26512.0,26349.0,26267.0,26177.0
K,27,27632.0,27601.0,27738.0,27308.0,27267.0,27291.0,26745.0,26805.0,26581.0,26408.0,26338.0
K,28,27806.0,27719.0,27676.0,27830.0,27395.0,27347.0,27357.0,26833.0,26891.0,26666.0,26484.0
K,29,28049.0,27895.0,27786.0,27763.0,27898.0,27473.0,27422.0,27433.0,26895.0,26971.0,26756.0
K,30,28278.0,28129.0,27990.0,27882.0,27847.0,27984.0,27545.0,27511.0,27515.0,26978.0,27049.0
K,31,28431.0,28360.0,28216.0,28083.0,27965.0,27937.0,28067.0,27622.0,27580.0,27601.0,27070.0
K,32,28724.0,28530.0,28463.0,28296.0,28176.0,28055.0,28025.0,28133.0,27709.0,27667.0,27670.0
K,33,28952.0,28817.0,28608.0,28528.0,28378.0,28265.0,28146.0,28097.0,28226.0,27771.0,27733.0
K,34,29228.0,29035.0,28893.0,28710.0,28614.0,28476.0,28342.0,28234.0,28168.0,28317.0,27872.0
K,35,29696.0,29300.0,29118.0,28969.0,28813.0,28696.0,28546.0,28417.0,28307.0,28246.0,28392.0
K,36,30175.0,29782.0,29377.0,29200.0,29049.0,28910.0,28773.0,28630.0,28516.0,28385.0,28308.0
K,37,30070.0,30263.0,29870.0,29470.0,29280.0,29141.0,28991.0,28851.0,28725.0,28596.0,28469.0
K,38,30662.0,30158.0,30352.0,29956.0,29538.0,29371.0,29220.0,29096.0,28922.0,28806.0,28681.0
K,39,31045.0,30737.0,30242.0,30443.0,30034.0,29619.0,29428.0,29307.0,29179.0,29006.0,28891.0
K,40,29460.0,31134.0,30803.0,30329.0,30508.0,30102.0,29680.0,29483.0,29386.0,29254.0,29078.0
K,41,32072.0,29546.0,31199.0,30879.0,30420.0,30578.0,30176.0,29750.0,29562.0,29465.0,29328.0
K,42,30865.0,32129.0,29623.0,31279.0,30962.0,30502.0,30656.0,30254.0,29823.0,29635.0,29547.0
K,43,31663.0,30954.0,32220.0,29703.0,31356.0,31043.0,30592.0,30733.0,30336.0,29895.0,29699.0
K,44,31805.0,31757.0,31047.0,32298.0,29777.0,31438.0,31121.0,30658.0,30808.0,30403.0,29963.0
K,45,32611.0,31886.0,31836.0,31118.0,32370.0,29853.0,31502.0,31201.0,30742.0,30874.0,30458.0
K,46,33843.0,32706.0,31963.0,31912.0,31195.0,32463.0,29926.0,31575.0,31271.0,30817.0,30934.0
K,47,34152.0,33935.0,32793.0,32032.0,31996.0,31270.0,32552.0,30023.0,31645.0,31339.0,30897.0
K,48,34444.0,34244.0,34006.0,32874.0,32105.0,32074.0,31349.0,32634.0,30097.0,31723.0,31411.0
K,49,34871.0,34516.0,34333.0,34084.0,32966.0,32177.0,32136.0,31429.0,32715.0,30167.0,31795.0
K,50,35676.0,34952.0,34600.0,34408.0,34164.0,33041.0,32259.0,32206.0,31498.0,32797.0,30232.0
K,51,35796.0,35783.0,35033.0,34679.0,34496.0,34246.0,33109.0,32343.0,32288.0,31591.0,32860.0
