årstall,0 barn,1 barn,2 barn,3 barn,4 barn eller flere,gjennomsnittlig barnetall,kjønn,alder
1940,"13,6","9,8","35,7","26,5","14,4","2,25",Mannen,50
1945,"13,3","11,5","40,4","24,3","10,5","2,12",Mannen,50
1950,"14,4","12,3","40,7","22,6","10,0","2,06",Mannen,50
1955,"16,6","13,2","37,1","23,3","9,9","2,01",Mannen,50
1960,"19,9","13,0","34,2","23,0","9,9","1,95",Mannen,50
1965,"22,0","13,9","34,2","21,2","8,7","1,84",Mannen,50
1970,"22,4","14,5","35,5","19,8","7,7","1,80",Mannen,50
1974,"23,6","14,6","36,0","18,9","6,9","1,74",Mannen,50
