årstall,0 barn,1 barn,2 barn,3 barn,4 barn eller flere,gjennomsnittlig barnetall,kjønn,alder
1940,28.5,21.1,32.3,13.8,4.3,1.45,Mannen,30
1945,27.0,22.9,35.5,11.9,2.7,1.41,Mannen,30
1950,31.2,24.9,34.6,8.1,1.2,1.23,Mannen,30
1955,39.0,25.6,28.3,6.1,1.0,1.05,Mannen,30
1960,46.2,24.8,22.4,5.6,1.0,0.91,Mannen,30
1965,51.0,23.5,20.0,4.7,0.8,0.81,Mannen,30
1970,55.3,22.9,17.0,4.0,0.8,0.72,Mannen,30
1975,60.6,21.9,14.2,2.9,0.5,0.61,Mannen,30
1980,61.6,21.5,13.6,2.8,0.6,0.6,Mannen,30
1985,63.6,20.4,12.9,2.6,0.6,0.56,Mannen,30
1990,68.0,18.3,11.4,2.1,0.3,0.49,Mannen,30
1994,73.5,15.4,9.2,1.7,0.2,0.4,Mannen,30
