årstall,0 barn,1 barn,2 barn,3 barn,4 barn eller flere,gjennomsnittlig barnetall,kjønn,alder
1935,36.9,31.2,24.2,6.4,1.3,1.04,Kvinne,25
1940,34.8,28.5,26.4,8.1,2.2,1.14,Kvinne,25
1945,33.3,29.4,27.3,8.2,1.8,1.16,Kvinne,25
1950,34.4,32.0,27.4,5.4,0.7,1.06,Kvinne,25
1955,43.2,30.6,22.7,3.2,0.4,0.87,Kvinne,25
1960,52.6,27.5,17.1,2.5,0.3,0.71,Kvinne,25
1965,56.8,26.6,13.9,2.3,0.3,0.63,Kvinne,25
1970,61.9,24.1,11.8,1.9,0.3,0.55,Kvinne,25
1975,68.0,20.7,9.3,1.7,0.3,0.46,Kvinne,25
1980,71.5,18.9,7.9,1.4,0.3,0.4,Kvinne,25
1985,71.7,19.0,7.7,1.3,0.3,0.39,Kvinne,25
1990,76.4,15.8,6.7,1.0,0.2,0.33,Kvinne,25
1995,83.5,11.2,4.5,0.7,0.1,0.23,Kvinne,25
1999,88.5,8.0,2.9,0.5,0.1,0.16,Kvinne,25
