årstall,0 barn,1 barn,2 barn,3 barn,4 barn eller flere,gjennomsnittlig barnetall,kjønn,alder
1935,"11,2","11,9","32,0","26,8","18,1","2,29",Kvinnen,35
1940,"11,0","11,3","34,2","28,0","15,4","2,26",Kvinnen,35
1945,"10,6","12,8","42,2","25,2","9,1","2,09",Kvinnen,35
1950,"11,6","15,0","45,8","21,5","6,0","1,95",Kvinnen,35
1955,"14,5","16,6","42,6","21,0","5,4","1,86",Kvinnen,35
1960,"15,9","16,7","39,3","22,0","6,1","1,87",Kvinnen,35
1965,"17,3","17,5","39,0","20,5","5,6","1,82",Kvinnen,35
1970,"19,6","18,8","38,7","18,3","4,8","1,72",Kvinnen,35
1975,"21,6","19,5","37,9","16,6","4,5","1,65",Kvinnen,35
1980,"22,8","20,9","37,4","14,9","4,0","1,58",Kvinnen,35
1985,"24,7","20,9","37,6","13,2","3,6","1,51",Kvinnen,35
1989,"28,4","20,6","35,6","12,5","3,0","1,42",Kvinnen,35
