årstall,0 barn,1 barn,2 barn,3 barn,4 barn eller flere,gjennomsnittlig barnetall,kjønn,alder
1940,"14,9","10,4","36,2","26,0","12,4","2,15",Mannen,40
1945,"14,9","12,4","41,1","23,3","8,3","2,01",Mannen,40
1950,"16,3","13,9","41,4","21,1","7,4","1,92",Mannen,40
1955,"19,2","14,7","37,4","21,4","7,4","1,86",Mannen,40
1960,"23,3","14,7","33,5","21,2","7,3","1,77",Mannen,40
1965,"25,7","15,5","33,7","19,1","6,0","1,66",Mannen,40
1970,"26,5","16,3","34,6","17,3","5,4","1,61",Mannen,40
1975,"28,8","16,4","34,1","16,3","4,4","1,53",Mannen,40
1980,"30,6","16,8","33,7","14,7","4,3","1,47",Mannen,40
1984,"32,1","16,4","34,7","13,2","3,6","1,41",Mannen,40
