sex,alder,pop_2023,pop_2064,pop_2065,pop_2066,pop_2067,pop_2068,pop_2069,pop_2070,pop_2071,pop_2072,pop_2073,pop_2074,pop_2075,pop_2076,pop_2077,pop_2078,pop_2079,pop_2080,pop_2081,pop_2082,pop_2083,pop_2084,pop_2085,pop_2086,pop_2087,pop_2088,pop_2089,pop_2090,pop_2091,pop_2092,pop_2093,pop_2094,pop_2095,pop_2096,pop_2097,pop_2098,pop_2099,pop_2100,pop_2101,pop_2102,pop_2103,pop_2104,pop_2105,pop_2106,pop_2107,pop_2108,pop_2109,pop_2110,pop_2111,pop_2112,pop_2113
M,97,3331.0,3404.0,3416.0,3529.0,3520.0,3462.0,3528.0,3523.0,3535.0,3454.0,3405.0,3312.0,3329.0,3456.0,3514.0,3613.0,3592.0,3710.0,3821.0,3751.0,3872.0,3910.0,3954.0,4083.0,4112.0,4185.0,4183.0,4107.0,4042.0,3983.0,3950.0,3861.0,3805.0,3649.0,3680.0,3656.0,3490.0,3380.0,3407.0,3502.0,3423.0,3528.0,3445.0,3626.0,3746.0,3661.0,3516.0,3522.0,3345.0,3384.0,3296.0
M,98,2373.0,2394.0,2449.0,2463.0,2556.0,2513.0,2507.0,2525.0,2576.0,2580.0,2536.0,2446.0,2410.0,2400.0,2483.0,2513.0,2615.0,2631.0,2632.0,2761.0,2716.0,2823.0,2843.0,2829.0,2911.0,2964.0,3035.0,2978.0,2995.0,2940.0,2933.0,2881.0,2812.0,2794.0,2676.0,2678.0,2698.0,2541.0,2467.0,2487.0,2551.0,2490.0,2587.0,2523.0,2619.0,2721.0,2671.0,2577.0,2545.0,2408.0,2440.0
M,99,1659.0,1706.0,1726.0,1807.0,1783.0,1879.0,1811.0,1845.0,1879.0,1866.0,1891.0,1882.0,1779.0,1792.0,1741.0,1817.0,1841.0,1881.0,1896.0,1911.0,2025.0,1972.0,2074.0,2068.0,2028.0,2118.0,2178.0,2260.0,2162.0,2176.0,2151.0,2134.0,2091.0,2081.0,2074.0,1958.0,1979.0,1999.0,1877.0,1810.0,1867.0,1882.0,1814.0,1880.0,1862.0,1916.0,2014.0,1941.0,1857.0,1816.0,1710.0
M,100,1174.0,1141.0,1177.0,1229.0,1237.0,1235.0,1285.0,1262.0,1280.0,1306.0,1340.0,1342.0,1316.0,1248.0,1255.0,1232.0,1292.0,1307.0,1330.0,1386.0,1355.0,1456.0,1373.0,1441.0,1479.0,1443.0,1450.0,1550.0,1597.0,1520.0,1531.0,1506.0,1488.0,1455.0,1491.0,1470.0,1369.0,1376.0,1398.0,1287.0,1267.0,1293.0,1328.0,1285.0,1345.0,1282.0,1345.0,1414.0,1370.0,1301.0,1293.0
M,101,423.0,416.0,401.0,412.0,444.0,442.0,447.0,466.0,445.0,448.0,462.0,466.0,481.0,468.0,448.0,453.0,452.0,469.0,464.0,480.0,483.0,479.0,501.0,476.0,512.0,512.0,492.0,514.0,547.0,560.0,549.0,549.0,512.0,511.0,508.0,521.0,516.0,492.0,484.0,470.0,461.0,460.0,451.0,487.0,448.0,487.0,460.0,481.0,503.0,477.0,449.0
M,102,155.0,162.0,156.0,155.0,131.0,155.0,153.0,150.0,160.0,165.0,161.0,173.0,162.0,186.0,174.0,159.0,163.0,169.0,173.0,167.0,169.0,168.0,167.0,178.0,158.0,175.0,183.0,164.0,175.0,195.0,188.0,174.0,190.0,188.0,180.0,189.0,193.0,185.0,182.0,185.0,174.0,167.0,171.0,168.0,189.0,171.0,188.0,166.0,179.0,181.0,162.0
M,103,53.0,46.0,43.0,51.0,50.0,40.0,57.0,47.0,47.0,51.0,52.0,49.0,50.0,47.0,65.0,54.0,61.0,63.0,58.0,54.0,52.0,63.0,65.0,58.0,64.0,59.0,67.0,67.0,64.0,72.0,71.0,78.0,66.0,78.0,63.0,71.0,70.0,75.0,65.0,59.0,57.0,62.0,59.0,47.0,54.0,66.0,50.0,54.0,61.0,54.0,57.0
M,104,16.0,14.0,12.0,11.0,14.0,12.0,7.0,20.0,12.0,9.0,16.0,18.0,16.0,16.0,15.0,25.0,19.0,21.0,24.0,19.0,19.0,21.0,24.0,18.0,23.0,22.0,16.0,22.0,24.0,21.0,27.0,26.0,27.0,25.0,29.0,20.0,22.0,24.0,25.0,25.0,23.0,12.0,17.0,22.0,9.0,19.0,19.0,18.0,15.0,22.0,23.0
M,105,4.0,2.0,4.0,3.0,4.0,8.0,7.0,3.0,9.0,6.0,2.0,8.0,3.0,8.0,5.0,5.0,13.0,9.0,8.0,13.0,8.0,9.0,7.0,7.0,10.0,5.0,9.0,3.0,6.0,4.0,6.0,8.0,8.0,3.0,7.0,9.0,5.0,9.0,9.0,13.0,7.0,9.0,8.0,7.0,10.0,4.0,7.0,7.0,12.0,8.0,10.0
M,106,,1.0,1.0,1.0,,1.0,3.0,3.0,1.0,3.0,,,2.0,,3.0,2.0,1.0,4.0,3.0,4.0,2.0,2.0,3.0,2.0,2.0,4.0,2.0,1.0,2.0,2.0,1.0,2.0,4.0,1.0,2.0,3.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0
M,107,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,1.0,2.0,1.0,1.0,2.0,1.0,,1.0,,,1.0,2.0,,2.0,2.0,,1.0,1.0,,,,,,,,,,,1.0
M,108,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,2.0,,1.0,,,,,,,,,,,,,,
M,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
